,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-0.017566880381946454, 1.3368042124490196]",[-23.40260689],[28.32739311],"[[-1.30179648  2.23099764]
 [ 2.76144028 -0.14638484]
 [ 0.96086621  4.79294479]
 [-4.97971199 -2.50263423]
 [-3.46648455  2.5158453 ]
 [ 2.47556686 -4.79577072]]",578487.8268595261,0,2.3661121003408083,7.1502601654875315,[ 1.7992 -2.308 ],-51.73,"[[[-1.3017964828759432, 2.230997644364834], [2.7614402770996094, -0.1463848352432251], [0.9608662128448486, 4.7929447889328], [-4.979711985215545, -2.5026342272758484], [-3.466484546661377, 2.51584529876709], [2.475566864013672, -4.7957707196474075]], [[-4.130640856339517, -4.572270698439155]], [[0.959843756206073, -4.198605455286252]], [[3.7346873463833496, -5.0]], [[-1.4837147810960742, 5.0]], [[2.9746455916397454, -5.0]], [[5.0, 5.0]], [[0.20277056042763064, 1.0200990985622904]], [[-0.3027209982411659, 2.6589483961385603]], [[0.12254808915417113, -0.019498767456146572]], [[0.8773264815259273, 0.9078495437597818]], [[3.2551516100823514, -3.5325021912055075]], [[-0.017566880381946454, 1.3368042124490196]], [[-0.7655352387849758, -5.0]], [[4.670949949157563, -0.6867258007438141]], [[-2.519897074417474, 5.0]], [[2.7416657222112484, 3.376226410434651]], [[-3.4055194951981993, -0.790483472056828]], [[-1.8679701431018851, -1.606001509026504]], [[1.877513195762365, -3.7272766434520803]], [[1.8676896544060326, -2.1242021730177902]], [[1.501562086175371, -2.052276122924978]], [[0.3645084754542419, -2.69834776009777]], [[-5.0, 5.0]], [[2.115080981277752, 4.985978974681551]], [[4.581952145940939, 2.047796506994141]], [[-3.0198631355345107, -3.4026726448536984]]]"
1,"[0.8017606679361652, -2.1965544948460334]",[50.62298611],[20.65298611],"[[-4.3820207   0.49834156]
 [ 4.6760118  -1.92232549]
 [ 1.33589804  3.35411489]
 [-1.47098869 -4.06895518]
 [-0.04415989  4.73628283]
 [ 0.2630347  -2.68684104]]",881903.3038508856,1,1.1574731271071201,6.505458872526175,[ 0.8744 -1.704 ],29.97,"[[[-4.382020700722933, 0.49834156408905983], [4.676011800765991, -1.9223254919052124], [1.3358980417251587, 3.3541148900985718], [-1.470988690853119, -4.068955183029175], [-0.044159889221191406, 4.736282825469971], [0.2630347013473511, -2.6868410408496857]], [[1.2351715787825492, 1.2984577100312737]], [[1.0309360646886814, 4.976396982484159]], [[-0.03127635047215804, 1.5111198072465113]], [[0.30907528243463706, -2.6537575406436127]], [[1.684674630220949, -5.0]], [[3.3286588724571193, 5.0]], [[0.8017606679361652, -2.1965544948460334]], [[-2.4734239035102155, 5.0]], [[2.7356181214868553, 2.328654322881506]], [[2.697416636409691, 5.0]], [[2.275174714192058, 0.898269888525145]], [[-3.097120947693135, -5.0]], [[4.756060541466621, -3.6072407934614645]], [[-1.9062799761015592, 3.4903762152923203]], [[2.7972277086429296, -1.9192656342834278]], [[-2.2214421737008596, -2.1906934605824704]], [[0.7235320305717111, -2.894461386900969]], [[3.5396613398733763, -4.6944127093279295]], [[3.608736752033799, 3.7729823625319767]], [[-4.890368669728248, -2.589350679647256]], [[1.2558205368244426, -1.2624560742970505]], [[4.106790326611598, -0.21797833470170147]], [[4.279593926583554, 4.016661682699618]], [[-3.466599695412096, 0.8558907308728099]], [[-1.4784225228439762, -0.47223094548623124]], [[0.7510453366036847, -1.6813949294714035]]]"
2,"[2.557641158734624, 2.9900262302092893]",[-41.87383827],[9.83616173],"[[ 2.11633743  4.78655776]
 [-3.27630639 -1.84513867]
 [-1.41506374  1.99978471]
 [ 2.57018805 -4.00461674]
 [ 4.83133793  0.40998638]
 [-1.18599921 -3.74199003]]",333103.44863348315,2,1.724160524230179,7.850275918784135,[2.604  3.1328],-51.71,"[[[2.116337427869439, 4.786557760089636], [-3.276306390762329, -1.845138669013977], [-1.415063738822937, 1.9997847080230713], [2.570188045501709, -4.004616737365723], [4.831337928771973, 0.40998637676239014], [-1.1859992146492004, -3.741990029811859]], [[0.0672874787847843, -3.7526733487434925]], [[3.083103295786419, 1.5691701748469633]], [[2.557641158734624, 2.9900262302092893]], [[-5.0, 0.07454984209615546]], [[-0.028127003436399477, -0.3857596531232849]], [[4.411061680078868, 3.620161180531725]], [[-5.0, -5.0]], [[-5.0, 5.0]], [[1.2373140382147423, -1.2411148048742013]], [[-1.6649303089859848, -1.9612349444244468]], [[3.927542823262241, 3.0453790789263633]], [[1.487157412305972, 2.6252158383553565]], [[-1.751148669069774, -0.26858842193822136]], [[4.104044681383095, 5.0]], [[0.9956447766793376, 3.7445312348871282]], [[1.2998186674256607, 0.28785519349002414]], [[4.566182869605098, -3.244552220419114]], [[3.029180555428074, 3.7771873484929626]], [[-5.0, -3.1418205188686747]], [[-0.22586871406138506, 0.6483948761041252]], [[-3.321091049538112, 4.043119530668287]], [[5.0, 5.0]], [[-2.2070836197340196, -3.996364379685316]], [[-4.690830535650326, 1.9621678875753812]], [[-1.0951748560948191, 5.0]], [[0.14349729050075766, -2.2921805882296455]]]"
3,"[0.5638536991181353, -2.3966744123089683]",[-221.58367397],[58.36632603],"[[-0.34117959 -2.53671269]
 [ 2.15043962  3.74517918]
 [ 3.98681045 -1.17530376]
 [-3.50480989  0.04005969]
 [-4.51466121 -1.58341825]
 [ 2.97449231  2.17192113]]",425017.17476202454,3,2.540247945489779,9.62497102320083,[-3.6176 -3.96  ],-279.95,"[[[-0.34117959439754486, -2.5367126893252134], [2.1504396200180054, 3.7451791763305664], [3.9868104457855225, -1.1753037571907043], [-3.5048098862171173, 0.040059685707092285], [-4.514661207795143, -1.5834182500839233], [2.974492311477661, 2.171921133995056]], [[1.95161670032414, 1.9675631493432686]], [[0.9659067561585802, 2.058948195409794]], [[2.91077195077095, -0.9342153191786546]], [[0.5638536991181353, -2.3966744123089683]], [[-2.4161659480387825, 1.5824859553056125]], [[-3.2815042446524756, 2.5293784621939612]], [[-4.378965359701144, -0.6208905268489603]], [[1.7011423263626895, -2.8257470877383395]], [[-4.1886262035801645, 3.8138301228659213]], [[0.6632460073484584, -2.090679702845257]], [[5.0, -0.44729745735357124]], [[5.0, 5.0]], [[0.7157993568902512, 4.3324818077147835]], [[1.1430215124878433, -1.9352294413746343]], [[5.0, -2.0501644737017615]], [[-5.0, -3.287242566502653]], [[-4.006982035154085, -2.369586050355283]], [[1.5667385070310544, -3.808308169884973]], [[3.823201821117534, -3.109144081579749]], [[5.0, -5.0]], [[-0.5082885938235343, 1.0534359110010088]], [[-1.1100119015690624, -3.424198561069147]], [[4.481563989367483, 2.680099204609568]], [[-3.1961376896539466, -4.565817454169996]], [[0.9530003883659433, -3.2461012471801753]], [[-0.13953596247933397, -0.13342905501789648]]]"
4,"[0.2659165859222412, 1.412217617034912]",[948.23977534],[16.24977534],"[[ 2.53520848 -4.69507908]
 [-4.99322629  3.214975  ]
 [-2.26494819 -0.5607751 ]
 [ 0.26591659  1.41221762]
 [ 1.96835756 -2.00951636]
 [-0.52108198  0.97863317]]",2042577.4886660506,4,1.1958596542258553,6.747345112992571,[1.3384 0.8832],931.99,"[[[2.5352084822952747, -4.6950790751725435], [-4.993226286023855, 3.2149749994277954], [-2.2649481892585754, -0.560775101184845], [0.2659165859222412, 1.412217617034912], [1.9683575630187988, -2.0095163583755493], [-0.5210819840431213, 0.9786331653594971]], [[-1.6222180101800077, 2.4444879982537593]], [[-0.863367422337584, 1.7400330519931635]], [[2.9079653588830636, 1.7452203789483922]], [[0.20790284691330752, 2.0859358005552786]], [[1.871759665069075, 0.9092217326716935]], [[-1.1737649613683052, 4.646400435000031]], [[-4.468143971104703, 1.9217484342036502]], [[-2.2095857111760218, 1.6191486718095778]], [[-5.0, -3.5033431438537845]], [[3.7353276865898164, -0.4542476519837919]], [[5.0, 5.0]], [[-4.8106538043106095, 5.0]], [[3.871222726193079, 3.9768484314488295]], [[5.0, 0.22409826554539222]], [[5.0, -1.541720841806283]], [[1.9391292408524208, -0.6346306280928026]], [[5.0, -3.2772761635312726]], [[3.4789454472640067, -3.499733203813924]], [[0.6283924600130038, 4.882922166381876]], [[-2.574534084712435, -2.0840163053258065]], [[-4.203630578927804, 4.0545762776541565]], [[3.7009075921625074, -1.8998979225819865]], [[1.7985597520660335, 3.2554463879223867]], [[5.0, -0.7243609760085591]], [[0.02380370192071045, -4.087170364335928]], [[-4.469511607833624, 2.6866909755113078]]]"
5,"[3.0875242981546402, 3.5515018109500236]",[134.64122289],[21.33122289],"[[-3.15897479  2.50786524]
 [ 0.00683486 -3.70096222]
 [ 2.99188733  1.9307822 ]
 [-1.10927612 -1.87022775]
 [-1.96720719  0.57668984]
 [ 3.85470092 -0.63694924]]",1210680.1397770331,5,1.502893271330313,7.188853511588169,[2.1352 3.1656],113.31,"[[[-3.158974787220359, 2.5078652426600456], [0.006834864616394043, -3.7009622156620026], [2.991887331008911, 1.9307821989059448], [-1.1092761158943176, -1.8702277541160583], [-1.9672071933746338, 0.5766898393630981], [3.8547009229660034, -0.6369492411613464]], [[1.1550896840962457, 2.0473702717720608]], [[-1.7592060753969814, 0.579633328269694]], [[-3.326684668396531, 0.4411853573777532]], [[-4.377871272131248, -2.708904908757749]], [[1.1968575495814908, 3.1945259152023033]], [[5.0, 5.0]], [[4.451752221998127, -4.848960138193893]], [[-4.145602742937034, -4.4706906525590275]], [[-3.823133899952892, -0.5436251538917203]], [[-4.546764980126905, 1.8368581988010233]], [[1.8351795060292977, 5.0]], [[3.0875242981546402, 3.5515018109500236]], [[5.0, 3.904669604977278]], [[-3.891751360387624, 3.258893285906993]], [[1.504245451768108, -5.0]], [[-2.015919131041516, 5.0]], [[4.144928285465726, 2.4511589220215138]], [[4.516078100776701, 3.493038537671744]], [[2.3773717168171267, 3.4310255124829028]], [[-0.44640744866418686, 2.712176170903734]], [[0.4946174627282466, 3.306648527002308]], [[2.8430740706943443, 2.6355956212080685]], [[-2.3991541787882222, 1.8583398063113128]], [[4.04358795256731, 4.175774326205469]], [[-2.065513097375358, 1.4706004945401843]], [[1.8773511742386053, -1.3529852625043537]]]"
6,"[-2.424664547044634, 0.7721638748664228]",[-294.29326458],[5.72673542],"[[ 4.98820678  4.05719445]
 [-0.99973202 -0.21714985]
 [-3.81125115  1.76718652]
 [ 0.3009057  -3.10291842]
 [ 1.44458354  1.01339638]
 [-2.61205137 -4.82959922]]",477303.06303558516,6,1.0856570750212275,6.311254668919523,[-0.3008  0.6136],-300.02,"[[[4.988206783309579, 4.057194450870156], [-0.9997320175170898, -0.21714985370635986], [-3.811251148581505, 1.7671865224838257], [0.300905704498291, -3.102918416261673], [1.444583535194397, 1.0133963823318481], [-2.6120513677597046, -4.8295992240309715]], [[-2.424664547044634, 0.7721638748664228]], [[-5.0, -4.025469029065162]], [[-2.3809091830893077, 0.833624647666035]], [[-4.5054664850222705, 0.2508191670574615]], [[2.979999652632404, 0.12129845764553301]], [[-2.99805003207656, 0.21308540145354896]], [[5.0, 0.7339572123046147]], [[5.0, -0.8175158158961979]], [[5.0, 2.2323617977620924]], [[-5.0, -1.6916250428384438]], [[-5.0, 5.0]], [[5.0, -2.22198893833551]], [[-1.7256623935327438, 0.6394602636416747]], [[5.0, 1.6308853483276717]], [[-5.0, -1.044165343058204]], [[-3.640762879929259, 4.7548623644981065]], [[5.0, -0.116251771591426]], [[0.7844412900605576, -0.7860265353702913]], [[-5.0, -2.543671365155896]], [[-5.0, 2.9480457141398446]], [[-5.0, 2.169578774560513]], [[5.0, 3.3439784498720284]], [[-3.3870693868387174, -3.634563562416348]], [[-5.0, 2.5613881544455035]], [[-2.5770981815815115, 1.3637803463587979]], [[5.0, -1.3861286518257407]]]"
7,"[2.3036780318498264, -0.4337271115207851]",[70.40908289],[25.69908289],"[[ 2.05055745  0.92911161]
 [-1.5724209  -1.98770404]
 [-3.11369359  3.92049611]
 [ 3.26330841 -2.55718619]
 [ 4.58549798  2.61723697]
 [-4.11560617 -3.99105564]]",461245.98141789756,7,1.6087238333244005,7.773984451058467,[ 2.916  -0.9864],44.71,"[[[2.05055745318532, 0.9291116055101156], [-1.57242089509964, -1.9877040386199951], [-3.113693594932556, 3.920496106147766], [3.2633084058761597, -2.557186186313629], [4.585497975349426, 2.6172369718551636], [-4.115606173872948, -3.9910556375980377]], [[2.228804651286708, -2.485595290501009]], [[4.244772660659709, -0.9383217260544404]], [[2.9123674906147916, -0.06700287333078885]], [[0.6679228534514653, 5.0]], [[4.907534799034636, -5.0]], [[2.662993369098169, -0.21589278526763145]], [[1.2916494699668593, -0.07320184521197136]], [[5.0, -2.9391188708486626]], [[4.229265584566634, -3.1432626126539436]], [[-0.30000383083597526, -5.0]], [[-1.013135866959713, 5.0]], [[-2.5026119336747485, 1.4369000770455091]], [[2.3036780318498264, -0.4337271115207851]], [[-0.21702155386822725, 1.8360583077132846]], [[-1.9882892800355252, 4.01355265919268]], [[-5.0, 5.0]], [[-0.1812005855975911, 0.3839251945917369]], [[2.7030864097598903, 4.575296807184279]], [[2.960753516010032, -1.5921371168603033]], [[1.2632681743781424, 1.5450675609356719]], [[4.323064416003167, -2.4950141578252714]], [[0.584762285374249, 1.5496894975798015]], [[-5.0, 0.2614463719440155]], [[1.6908899853767103, 3.105114543421021]], [[0.3532237433672739, 2.7815906634407948]], [[-4.648836784730099, -4.588543516606375]]]"
8,"[-0.6315046866203188, 4.648097317677806]",[-973.35607254],[26.64392746],"[[-4.91240445  1.29711943]
 [ 1.64368927 -0.79811513]
 [ 2.97167778  4.03071165]
 [-1.0850209  -3.22111502]
 [-2.10408986  3.56331289]
 [ 3.82944524 -4.3119508 ]]",355529.0585691365,8,1.346926089685824,8.929853526082127,[-2.2544  2.2248],-1000.0,"[[[-4.912404445931315, 1.297119427472353], [1.6436892747879028, -0.7981151342391968], [2.971677780151367, 4.030711650848389], [-1.085020899772644, -3.2211150228977203], [-2.104089856147766, 3.5633128881454468], [3.829445242881775, -4.3119508028030396]], [[-0.9073173065979203, 3.269572546705028]], [[3.1319681496465477, 4.1116512430887955]], [[-4.80304925806807, 0.8282050474056843]], [[0.5901537434951915, 3.4000836008632014]], [[-4.550567975360406, 3.0908229969570793]], [[-2.2685831221258668, 1.2282144445243837]], [[-5.0, -3.17676834683749]], [[-1.5938056241677903, 2.601182299678121]], [[-1.4424034871884508, 2.3380835968274742]], [[3.839751514249287, 3.314851497575813]], [[-3.508862120672732, -1.0281999253524057]], [[-2.3060208853146005, 2.604650530995028]], [[-2.850495227445801, 0.15243428119132765]], [[0.3283931324967008, 1.0976855328449069]], [[-5.0, -2.0431574898551625]], [[-5.0, -1.2798175096209006]], [[5.0, 0.30155525916087833]], [[-5.0, 5.0]], [[-4.038119109893669, -2.2477829724988507]], [[-1.5485725654456628, 4.095344826572003]], [[-5.0, -4.951842461378636]], [[-0.5916581238753753, 5.0]], [[-0.6315046866203188, 4.648097317677806]], [[-3.492489847392325, 0.6451988572889572]], [[-1.8945446930554837, -5.0]], [[5.0, -2.028581336347711]]]"
9,"[-4.050534952609747, 3.72278993661374]",[353.48033643],[49.28033643],"[[-0.20857413  0.37784019]
 [ 2.97449172 -1.12182885]
 [ 2.02890933  4.65907097]
 [-4.78574827 -3.84057842]
 [-3.30748811  2.81664491]
 [ 1.16588473 -3.63511741]]",1072956.7014995138,9,1.0263883600121753,8.052352624332645,[-2.5496  3.5088],304.2,"[[[-0.20857413299381733, 0.37784019485116005], [2.9744917154312134, -1.121828854084015], [2.0289093255996704, 4.65907096862793], [-4.785748273134232, -3.8405784219503403], [-3.307488113641739, 2.8166449069976807], [1.1658847332000732, -3.6351174116134644]], [[4.443397539999674, 3.478088647293257]], [[-4.872135661634161, -2.9736719248623444]], [[3.3919819026622497, -1.453696737033607]], [[-0.49320070153599005, -0.19988130199259135]], [[0.039570568444252704, 0.36567396670151925]], [[-1.7175577893644534, 2.311128956035504]], [[2.9004842825604267, 1.4712794549777923]], [[-2.88503669217844, -5.0]], [[0.3984050790375686, -2.303117164218744]], [[0.6505367369158506, 2.597475666615617]], [[-3.585909038558593, 2.63908027028915]], [[2.038583404377335, 1.5969736398681924]], [[-4.050534952609747, 3.72278993661374]], [[-4.9767721815350825, 0.2918377964699425]], [[-3.466128954040659, 4.3746571645509436]], [[-2.1060558317508025, 3.89919420778726]], [[5.0, 2.1607904978315]], [[1.7240166564919988, 4.246529035987547]], [[4.687162828052007, -4.962758651479452]], [[-5.0, 1.429822174562237]], [[-5.0, 4.174343185753446]], [[-1.8992414366747679, 4.682164503159839]], [[3.8336817996733092, -0.5786906979870441]], [[4.00115291186586, 4.980797304310435]], [[-1.13147141909932, -2.232967241711253]], [[-3.994761558182658, 2.046333118656979]]]"
