,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[1.9760908586820392, -2.7328680308118747]",[-43.64483795],[8.08516205],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",584304.9766498468,0,1.977872363506443,8.319935152007218,[ 1.7992 -2.308 ],-51.73,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[0.5306815757913983, -1.6633030738465222]], [[-1.7402750136405567, 2.1534156901370425]], [[1.7639727342590372, 0.33338081068717207]], [[2.3370135532605936, -5.0]], [[5.0, -5.0]], [[0.784317040684692, 4.1256042756700175]], [[1.7061593642396136, -2.5079801150620153]], [[5.0, 5.0]], [[1.9760908586820392, -2.7328680308118747]], [[-5.0, -5.0]], [[2.2693260303992244, -2.7557339687962803]], [[-2.917583870374437, 3.9654480897109887]], [[0.45703090181985145, 1.5655991878936653]], [[1.8016106488322463, -3.6820796309562565]], [[-2.5723693426843757, 4.77052614941866]], [[1.7542319366984378, 2.4481858113926314]], [[1.41451154483688, -2.9613819920976967]], [[4.00375766050958, -5.0]], [[-0.1926650316141261, 2.9660706168485693]], [[-2.4236718970463182, -5.0]], [[4.348586415187703, -2.0009982751874817]], [[2.8412285480156596, 5.0]], [[0.036544841031496585, 0.8930155234025915]], [[0.3186064554573388, -5.0]], [[3.718794511482137, 1.579780147298491]], [[-5.0, 5.0]]]"
1,"[-0.2334048542968604, -5.0]",[69.84875],[39.87875],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",885777.4248493714,1,1.6075974967139008,7.365999634922152,[ 0.8744 -1.704 ],29.97,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[4.12492555903134, -4.128892177931558]], [[0.5110212377796988, -4.944366228377761]], [[2.3685401733929687, 5.0]], [[3.654589457873021, 5.0]], [[-0.015489630360483782, -5.0]], [[1.0721989729880717, 5.0]], [[-4.930821224431124, 0.7265787993780878]], [[2.204058538044937, 1.8352972838788746]], [[-0.2334048542968604, -5.0]], [[5.0, 5.0]], [[2.829205782313139, 2.481843170449263]], [[2.0838633839073326, -1.379843415951665]], [[-4.547840131349571, 2.747177239942676]], [[1.5895448129250913, 1.0209361258278582]], [[1.7779407645808412, 1.5622511982378415]], [[0.08873881398929476, -3.430523181849285]], [[-2.704005835301771, -5.0]], [[-0.44090207768599843, 3.44905788892323]], [[4.455588470899068, 2.4068252895994497]], [[0.7155509929926182, -1.4646956291532671]], [[1.2734397150585568, 1.8197999814948385]], [[-2.4114323156995883, -1.2090468954526052]], [[4.980392094359663, -4.614120021715308]], [[0.4284889861812786, 0.5586101002092194]], [[1.286397396308944, -4.064701952900874]], [[4.951214236666079, 0.13975971903506235]]]"
2,"[1.6534424233112386, 1.9156207142995594]",[-26.12607911],[25.58392089],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",331791.25176655693,2,4.211880757585731,7.51447849912804,[2.604  3.1328],-51.71,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[-4.4001797659539, 0.24096038604377235]], [[-3.1541465779690068, -0.07184540173749067]], [[1.0793161086413416, -4.619641146024588]], [[-3.7897310405997353, -3.150093196192652]], [[0.3892928655939486, 1.0012831459989824]], [[5.0, 5.0]], [[3.346952032408988, 5.0]], [[1.7265668385838833, 0.35928024700624067]], [[4.874971464441143, 3.4558325820954385]], [[4.811425936968099, -2.373320519762104]], [[4.202240537795664, -4.530236492867931]], [[4.46035549767382, 3.6337575181771626]], [[-0.10819508647894768, 0.35322947678001665]], [[1.1986619014118383, 2.6701173126647992]], [[0.14112633845241507, 1.6612286682968878]], [[1.6534424233112386, 1.9156207142995594]], [[-5.0, -5.0]], [[2.024653637631033, 2.231455068592094]], [[-2.662205704863998, -5.0]], [[0.9067991345431468, 4.8887636947948]], [[-3.458438909105709, 3.396241029474286]], [[-0.22815692651030872, -1.5129349331359432]], [[3.796108979789204, 2.039189156253773]], [[-4.41911456017691, -4.250878632634115]], [[-4.261533371931156, 3.5456799090490936]], [[-2.3613010845800297, 1.5027500076747726]]]"
3,"[-1.8256723070989704, -3.3142143549854612]",[-269.88112751],[10.06887249],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",421097.91287642985,3,3.5385026125186547,9.266563103924108,[-3.6176 -3.96  ],-279.95,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[-0.6970895749426975, -1.843446513749274]], [[-3.3271045930007217, 2.077389040362596]], [[5.0, 2.217076545381855]], [[-1.3921110802646446, -4.390826724657479]], [[-1.3123418709406083, -3.087417129112135]], [[-4.584096234167097, -3.3453080116793252]], [[5.0, -5.0]], [[5.0, -0.5335896249452451]], [[-1.8256723070989704, -3.3142143549854612]], [[4.28307589294058, -2.4550958882921026]], [[-3.7914148579416067, -4.576427593498864]], [[-2.114983131080612, -3.5163920846178534]], [[5.0, 5.0]], [[5.0, 0.6466836801669115]], [[1.063592133594773, 2.6398969213117005]], [[-2.162090362853248, -3.1235965689390786]], [[1.9027451262360449, -5.0]], [[-2.8838066097767743, -4.810739075574383]], [[2.6102412654694227, -0.9346523170837031]], [[-0.04525716821586527, -1.3658720598497696]], [[-0.2052805517832271, -3.3253688587216135]], [[3.1461993735374905, 0.9424955399904011]], [[1.7148618283157573, -2.424325091138814]], [[2.6443043898233736, -1.7465819309272013]], [[-5.0, 5.0]], [[-5.0, -4.900504711260006]]]"
4,"[1.7762452535173818, 0.7208938646000006]",[936.17536101],[4.18536101],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",2043094.2554321499,4,2.4112707097221704,5.560367919878386,[1.3384 0.8832],931.99,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[-0.3979849592708775, -0.6133948735158644]], [[0.17519596773352175, -3.356772720473142]], [[1.5897047750825983, -0.8051521296830471]], [[-0.006374789545146265, -0.8837524094200357]], [[-1.604894651608055, -3.006254633959104]], [[5.0, 1.623293240071191]], [[0.6540490428255974, 1.0541512870130738]], [[-1.0086209452363877, 2.1163004628345976]], [[-5.0, 2.67492664867039]], [[4.378406568987052, -4.538175502039338]], [[2.368775107145117, 0.3850919867620758]], [[1.7609139741197473, 1.5360103092610284]], [[-0.5477272731824587, 1.4593471571327594]], [[1.6718908499112337, 0.6724572834647808]], [[-1.1748700305214788, 3.343012312491073]], [[-5.0, -5.0]], [[5.0, 5.0]], [[5.0, -0.19076722987938602]], [[-5.0, 4.072795258169159]], [[-2.2833113876268323, 3.4601306487438728]], [[4.374514342805529, 3.7752929535481226]], [[3.4744002857914444, -0.3372040676380108]], [[-4.782884463117665, -2.8313535055256684]], [[-3.3186170895277733, 1.8274916117187443]], [[1.7762452535173818, 0.7208938646000006]], [[5.0, -1.9048867549428228]]]"
5,"[2.04801806228562, 3.179483351301102]",[123.69714646],[10.38714646],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",1191424.1547624455,5,3.7803158374526955,7.114785734539358,[2.1352 3.1656],113.31,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[3.7473961469406607, 1.6783615623200152]], [[0.4094547468853911, 0.35565459419937273]], [[-1.345178382347143, 0.08360068578801094]], [[-2.3331722790131093, 4.842944580117645]], [[-0.17726330757232397, 2.271354395156719]], [[-5.0, -5.0]], [[-3.4374980973146654, 1.995403416755678]], [[5.0, 4.222770458291266]], [[2.04801806228562, 3.179483351301102]], [[1.758575482753879, 4.955449987762261]], [[5.0, 3.739709365149386]], [[4.260952395786624, -0.35282356432575845]], [[-1.9970343575997695, -4.854815561547774]], [[3.535874144240088, 3.136534847263624]], [[-5.0, -2.0996271788658967]], [[4.514991059865345, 4.742777695119694]], [[2.406489112164866, 3.652788411355771]], [[-5.0, 0.7513883485558951]], [[-1.3586390359972305, 2.870060946801852]], [[-2.632021361346636, -4.12885502330155]], [[1.3274487503651158, 2.605641833532586]], [[-1.4798472960457907, 1.4548847228400805]], [[1.2423967376527347, -1.3283070931210563]], [[-0.21494303122989966, 1.948921110461624]], [[-3.864179969765572, 0.24295863149164826]], [[-1.5467685766266077, 2.0267656139396477]]]"
6,"[-5.0, 0.9221434208699295]",[-266.81270112],[33.20729888],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",475092.12136220594,6,1.1924579396513357,5.419530569065928,[-0.3008  0.6136],-300.02,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[4.653548986047066, -0.4052264718004038]], [[3.67317077152804, -1.4451258270610998]], [[4.033964845687751, 1.4249879596602741]], [[-3.8296605297242903, 1.675474541738016]], [[3.6866508749425115, 1.9449156414516033]], [[0.1419985538644939, 2.8892707620141085]], [[5.0, 0.17729327047354607]], [[5.0, 0.38408474372406276]], [[5.0, -5.0]], [[-5.0, 3.778629675641632]], [[-5.0, 0.9221434208699295]], [[0.14419289348185435, 0.38688897267753136]], [[-5.0, 1.0448412961196967]], [[-5.0, 0.7666971653856363]], [[-0.6431260771324563, 0.8582888584419157]], [[-5.0, -2.5279339094238416]], [[-5.0, -4.000039804759778]], [[5.0, -0.9900450713326492]], [[-5.0, 0.24353584532920203]], [[-5.0, 4.308782331273313]], [[-5.0, -1.129639619603758]], [[5.0, 3.345981595754756]], [[2.932182762150668, 2.088785701969225]], [[2.6156152112696205, 0.23278179260468654]], [[-3.705198497986043, 0.9582014009051514]], [[-5.0, -4.527762267632431]]]"
7,"[3.332499135450905, -1.6504012619541604]",[56.42290372],[11.71290372],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",450835.79633988993,7,2.28216044225545,7.860097292519751,[ 2.916  -0.9864],44.71,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[3.1169326400578257, -3.1201244219330126]], [[5.0, 1.139342183107914]], [[5.0, -5.0]], [[3.8324765315457294, -5.0]], [[4.981720780143245, -2.7632316656044598]], [[3.433193902351884, -1.4175090739575964]], [[2.1492095449886834, 1.416661698327362]], [[4.726521416027877, 4.144633416185101]], [[1.5861084411668929, 5.0]], [[1.3007907846429865, -1.3126391866680487]], [[3.233070111061436, -0.8902263972816207]], [[4.945454960821239, -1.5526463224949716]], [[0.19612853039273254, 2.585502029163626]], [[-5.0, -5.0]], [[-0.153890107080171, -5.0]], [[1.2179793925894444, 3.0889632548481383]], [[0.9939144306117611, 1.201280698754824]], [[3.332499135450905, -1.6504012619541604]], [[-0.33403820158296627, 1.3259926423710784]], [[4.313338992537997, 2.2145004166813376]], [[-2.350639556936475, -1.3026063141557174]], [[-2.8282321373857853, 1.0109493071241449]], [[0.19079397389701738, 4.231007182311921]], [[-2.009136790509863, 2.7961623504857727]], [[-2.9187927431526894, -3.2243298804632605]], [[3.8842963499404686, -1.872646674122672]]]"
8,"[-2.027816994360698, 2.825877511128127]",[-969.82337071],[30.17662929],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",362409.1776123835,8,2.776264140662141,7.945858448805478,[-2.2544  2.2248],-1000.0,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[2.0450449132581343, 5.0]], [[-5.0, -3.0082024744516493]], [[-3.0351320628414955, 0.5288929919885444]], [[-0.7971294928376846, 3.4754242711642767]], [[-5.0, 0.2955855416992019]], [[-3.7191172691909307, -0.9483124172969989]], [[-3.6378118686395937, 1.4256167447516526]], [[5.0, 5.0]], [[5.0, 1.5327808131427199]], [[-2.6541089340523967, -3.0819224852357676]], [[-3.7481616014004304, 0.2850655516690206]], [[0.2001341329227638, 5.0]], [[-5.0, -5.0]], [[0.6976524941263066, 3.0244650966563076]], [[-3.1387394084567415, -4.671645851901114]], [[-1.6257971960594155, 2.1101025200853094]], [[-1.8758596377933547, 3.147044258223129]], [[-2.027816994360698, 2.825877511128127]], [[5.0, -0.7619459227133332]], [[-2.2547565918534636, 2.710556552912919]], [[-5.0, -1.442484089767037]], [[-3.488979851389153, -0.005206331164792046]], [[5.0, -5.0]], [[1.3685994812726185, 0.7901572477778762]], [[1.2496688946052394, -0.15976393749500328]], [[0.3793448018508852, 4.677374181191184]]]"
9,"[-1.299106843744504, 3.027377742980851]",[319.42348463],[15.22348463],"[array([-0.60934463, -0.53824901]), array([ 3.57933552, -3.17003053]), array([-1.18097613,  4.98047291]), array([-2.17753949,  5.        ]), array([-4.10475949, -0.25245231]), array([-0.71669831, -1.93372999])]",1067635.0861809815,9,1.5369145931477526,9.064801584684863,[-2.5496  3.5088],304.2,"[[[-0.6093446283517567, -0.5382490136093294], [3.5793355166348433, -3.1700305265695423], [-1.1809761328941453, 4.980472911946979], [-2.1775394852574097, 5.0], [-4.104759489370505, -0.252452313733617], [-0.7166983130449893, -1.9337299929617182]], [[-2.763189974178187, 0.32152602317197837]], [[-0.256503003818053, 0.739699259241838]], [[-5.0, 3.4051060116277005]], [[-1.3827685898079367, 2.785058703152632]], [[5.0, 3.0836565741518136]], [[-3.7770386329970416, -3.8822768423482312]], [[0.8431707234355423, 2.2633491807431145]], [[-3.2600532422052635, 2.281971750327947]], [[3.648275833341052, 1.8171909911012396]], [[-0.5854754589057066, 3.146937621322422]], [[-0.9253647401719837, 2.8110307042356375]], [[-5.0, 5.0]], [[-3.04556027342331, 4.350459951624433]], [[5.0, 0.07394834188647842]], [[5.0, 5.0]], [[-0.5419048598358959, 2.465536990822388]], [[-5.0, 4.398684578300396]], [[-5.0, 1.3551625691293279]], [[0.8396827105892692, 2.7178698147368623]], [[2.085473069179124, 1.1089392802047582]], [[-1.299106843744504, 3.027377742980851]], [[2.325798651265771, -0.588505782783643]], [[0.4539714638153001, -5.0]], [[2.812487491655789, 2.6590910925133273]], [[2.9387091020688363, -1.4110401982681569]], [[-5.0, -5.0]]]"
