,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-4.050755340945452, 3.3877616476672805]",[-357.38158704],[2.05841296],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",963826547.326174,0,1.0195861649747904,7.297698205476024,[-0.30217356  0.63928956],-359.44,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[-0.23018792278484312, -2.068310076755685]], [[-1.2678135336472842, 5.0]], [[0.7047714173242728, -3.5350717507757246]], [[-3.0452967431216287, 3.8691221788235515]], [[-1.0672293886770907, -5.0]], [[-2.4977290547708675, 5.0]], [[-2.009209309693203, -5.0]], [[-2.25742818598696, 5.0]], [[-3.000546049056358, -1.0115879505625323]], [[5.0, 0.595553216212516]], [[-2.041895956834069, 2.2681568675639343]], [[-5.0, 2.7703458927826623]], [[5.0, -4.30785940691139]], [[5.0, -2.7301911068981184]], [[-5.0, 0.15489506300076505]], [[-1.560910679331233, -2.10068095073489]], [[2.837983232116992, -1.8970135997451025]], [[-4.050755340945452, 3.3877616476672805]], [[1.5710672306768232, -0.5406182732408599]], [[-0.7992433504947614, -0.33161689036460246]], [[-1.0095307282184993, 1.5415034725885466]], [[-2.8178157509693578, -0.44238448859239515]], [[3.2890379699774286, 1.6701471623012507]], [[-3.414371498641814, 3.026086597369449]], [[-5.0, 3.985581989386082]], [[3.725425974425043, -2.9523167276923608]]]"
1,"[-0.18311930015017716, -0.18733503886820957]",[124.11216959],[0.28216959],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",1470738007.0905027,1,0.7595935754110871,7.524190671771651,[-0.03006086  0.70646751],123.83,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[1.1973749974407886, -1.0246346680942908]], [[1.1463151583622013, -4.150000944581087]], [[0.6617132329175719, 2.638778953079644]], [[0.7944362877828557, -0.23494399338217994]], [[1.0616257491598589, 5.0]], [[2.330393052389909, -0.505832021778778]], [[1.5876061754274629, -0.49689420155157044]], [[4.650819447598924, -1.4239224136530757]], [[-0.7716924230196925, -1.2221742240727411]], [[3.111882947531006, 2.1755608505040405]], [[-3.7915312467658913, -2.4006010754174025]], [[-0.18311930015017716, -0.18733503886820957]], [[-0.04971820147263662, -1.1107511222220798]], [[-5.0, 5.0]], [[-3.722160059369327, -4.569645402977515]], [[4.531501168831583, 0.7215971817305922]], [[4.505594340751563, 5.0]], [[-0.48994679463681207, -2.48096755417952]], [[-5.0, -0.1285293090882811]], [[-5.0, -4.197019074484939]], [[5.0, 2.0021792943126524]], [[2.5269905802498536, 5.0]], [[5.0, -5.0]], [[5.0, 3.756850337524043]], [[-1.0212921590831465, -4.0114919807409315]], [[1.616946352738903, 4.479499420724422]]]"
2,"[3.4830613887965765, -1.7689959616995927]",[49.27996373],[1.76996373],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",1802054698.4378827,2,1.261808941635207,7.493739955520187,[ 0.70421685 -0.06386419],47.51,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[2.4396784851023687, 0.8125066504169669]], [[-2.825168337805003, -2.4440422318865767]], [[-5.0, -0.7380407241919524]], [[-5.0, 1.7012422005974142]], [[5.0, -1.6287985393107602]], [[-5.0, 5.0]], [[5.0, -2.9279209086319415]], [[5.0, 4.681875753218114]], [[-3.9820786047634162, 0.3308657931613515]], [[3.6321813608738474, 2.1392160651529184]], [[-1.4138626327069712, -1.2223080704044513]], [[0.9042975465702198, 0.4979122255718625]], [[-3.8410228584131914, -3.8882835121811787]], [[-0.41400968402290705, 2.9992973432500634]], [[1.3115724706026184, 2.7430619706221733]], [[1.1048095393200534, -4.352996618055561]], [[0.20847453263319335, -2.0311406314658527]], [[-3.6402550042316335, 3.9089077996545183]], [[5.0, -5.0]], [[3.6594429493007086, -3.5286497576178992]], [[3.4830613887965765, -1.7689959616995927]], [[1.2816729423201632, -3.819170900107156]], [[1.7686341818244031, 2.1840223467062723]], [[4.158418714846414, -1.3424237630241038]], [[-4.939495405579169, 4.986674083393667]], [[-0.47378962989219997, -5.0]]]"
3,"[0.55636942467734, 1.1892530984353158]",[59.19817478],[3.85817478],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",1099379964.5565765,3,1.8584003672479195,6.415184834968588,[-0.67832142 -0.1996999 ],55.34,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[5.0, -1.553292458570971]], [[5.0, 1.7456592141425638]], [[-1.2038129017085923, 5.0]], [[2.2054269817306156, -5.0]], [[5.0, -5.0]], [[-1.3671163894552283, 1.3219977731945562]], [[-2.516337517572185, 5.0]], [[-2.0462939016800146, 3.1617435933886684]], [[0.4683867483369261, 5.0]], [[2.839930571727355, -0.477521447013558]], [[-5.0, 5.0]], [[-0.19836933604140092, -1.7377786921710014]], [[2.675467361838731, 0.847644832105126]], [[1.4530968157010076, 0.9256117064176272]], [[-2.115930007452668, -0.6022685496021891]], [[4.6224419714109715, -2.7930055127349647]], [[2.6701398889538357, -1.378573843040296]], [[-5.0, 0.6576662979090501]], [[-4.33001530787868, 3.41492145442912]], [[-4.223155295376672, -0.30051633414429113]], [[-3.1194411022862636, -0.5394839972938854]], [[3.4708239001680785, 3.680371946318411]], [[4.049159823111149, -4.273753459146601]], [[-3.900185484514241, 5.0]], [[-0.8439327766243058, -5.0]], [[-4.149581689210438, 5.0]]]"
4,"[-5.0, 2.605213092474929]",[-58.0330049],[32.2969951],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",778773020.7593684,4,1.1808489933442023,7.14517301596529,[-0.43917136  0.55419177],-90.33,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[-0.1967923023166751, 2.101341787619071]], [[1.87435663650116, -2.6340668170797574]], [[-2.6586956147718133, -4.562505719431339]], [[0.4280621766674092, 1.2291772256428843]], [[-2.6123181473677084, 0.9299371355152913]], [[3.0240493015713694, -2.893663129722804]], [[0.16687594268666495, -3.4762031463227316]], [[-2.364136978551542, -2.346113992661304]], [[-3.354160726944374, 1.5281553327979613]], [[-1.8540956494225425, -3.905264778952901]], [[4.909511784704866, 2.8919668264430953]], [[-5.0, -0.6068065104414743]], [[-4.548170056505404, -1.0488405703258343]], [[-5.0, 5.0]], [[-5.0, 1.154986703774461]], [[5.0, 4.49217030358383]], [[4.461304000238199, -5.0]], [[3.879539419678519, 5.0]], [[-4.295674325143991, 0.8034210092778099]], [[4.933569160676667, 0.9533243476890328]], [[2.4471740886911464, -2.515545469700697]], [[0.8561954568736665, -2.123683550840113]], [[-2.2738464850498863, 3.05804243020025]], [[5.0, -0.8458983826725383]], [[-5.0, 2.605213092474929]], [[-5.0, -2.676030185615822]]]"
5,"[-0.8018401470700439, -2.6468383359906134]",[69.2774338],[3.6674338],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",672873287.1686332,5,2.0138217487412464,6.329690013920742,[-0.40073477 -0.58259046],65.61,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[4.661173952184736, -4.324034929197849]], [[3.8604190434435632, -1.0877725873820114]], [[-1.3533212510324175, -5.0]], [[4.967991219413732, 5.0]], [[4.338694203198775, 3.1298518251717438]], [[3.502858279283409, 0.23235875672662237]], [[-1.5623542636318628, -3.315344891990792]], [[2.2886068130877018, -0.34892550362318625]], [[0.8215729040738962, 1.4173763465435492]], [[3.6876222486334274, 1.4779738263520474]], [[-1.8639026362776943, -0.7243170018625775]], [[3.249286926326453, -0.9524543154059419]], [[0.3044976815395453, 4.224319637562988]], [[-1.0001262704000187, 3.9049494761497843]], [[2.621911505594226, -1.5522472200098587]], [[2.4777315585183106, 1.5671341901568294]], [[2.86094041726601, 2.1008948302023844]], [[-0.08688458212454053, -3.3297130226995666]], [[-1.152489481968233, 3.8929110794839143]], [[-0.48907729619323115, 2.8392967163193403]], [[-0.2872319286801654, -3.848247182770893]], [[-2.840520935928265, -2.67857888095486]], [[-0.44640798326869174, 1.2990402394199263]], [[-4.011946379988823, 5.0]], [[-0.8018401470700439, -2.6468383359906134]], [[2.4888664172978894, -5.0]]]"
6,"[-0.6265461830779091, 0.3757212842554256]",[-289.60139931],[0.47860069],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",761876524.7013776,6,1.4475492021248964,6.868556647223445,[-0.61821562  0.3432338 ],-290.08,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[-2.3891245569768307, 0.6178179767279577]], [[1.8927732559908534, -0.6611636523314077]], [[-5.0, -4.1446898476453145]], [[-5.0, -2.3105902063546484]], [[5.0, -3.9341635305633553]], [[-5.0, 5.0]], [[-5.0, 3.122761184981094]], [[-5.0, -3.2942661084841958]], [[0.6954221356004789, -4.224033519750168]], [[-2.1141768746248313, 0.6954502646380797]], [[2.16626267757407, -0.5006297599165664]], [[-2.2391264167626868, -2.136961968328476]], [[-0.294067314584678, -0.5191780725813634]], [[0.6151687428682759, -0.5209269264629522]], [[5.0, 3.1417144948526183]], [[-0.6265461830779091, 0.3757212842554256]], [[-3.876025006200191, -4.328140857776369]], [[-5.0, 0.2847279954083301]], [[-5.0, 0.66538620166851]], [[-3.393983483967896, -3.676528877005707]], [[-5.0, 1.8393157801487092]], [[5.0, 1.6430575934679645]], [[-3.7926808590376115, -1.0576067162162426]], [[0.7039525332051568, -2.076265755402698]], [[-3.2629404575466077, -2.899801550851486]], [[5.0, 0.568967057513687]]]"
7,"[-0.07775295546275046, -2.0341194010258925]",[30.59931109],[5.49931109],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",1315949683.2936726,7,1.5943641871929104,6.705712719251509,[-0.68234872  0.18547298],25.1,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[0.8458535385446986, -4.3484119201506575]], [[-4.915726568038129, -4.921181345213114]], [[-0.4578716308229526, 1.5380869419742875]], [[-2.0702063453129007, -1.328058837806341]], [[-2.8079671935765296, -1.5637651846294445]], [[-3.2007223560925953, -5.0]], [[2.7900292012531747, -0.21288328733864115]], [[-5.0, 5.0]], [[5.0, -4.489583867167544]], [[5.0, 2.2642608708701912]], [[5.0, 0.7279729743345886]], [[3.485438165601143, 1.465326353925971]], [[-5.0, -0.691948445754709]], [[-3.108225734401495, -0.1624304115559895]], [[-0.07775295546275046, -2.0341194010258925]], [[5.0, 4.572204451912617]], [[3.6948575219879283, 3.0477112666962016]], [[4.670728161729764, 3.783041678729644]], [[-1.4819730963472717, -5.0]], [[0.9882238930475925, -0.446486002957732]], [[4.116073820949776, -2.0797776074358043]], [[-5.0, 0.2084867722310636]], [[-1.3466104704422353, -3.9919579746861023]], [[2.9336856844366768, -1.7689647918265408]], [[0.045567180790301975, 3.053843630786899]], [[-2.9648241673816287, -4.519406311118746]]]"
8,"[-1.8748146997493953, -0.45083530336540856]",[-78.48995474],[9.07004526],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",1435122664.7162662,8,0.6858105223942349,7.589024986304205,[0.07234558 0.70339613],-87.56,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[-1.4233804081540682, 2.0663359163264285]], [[-2.050328737258064, 5.0]], [[1.0082967684402073, -5.0]], [[-1.9185235759657755, 2.3252044905841798]], [[-0.505952849956104, -5.0]], [[-0.43613258997466875, 5.0]], [[-2.867219018846709, 5.0]], [[-2.5141130677388577, 3.625971835408821]], [[2.7024428301189287, -5.0]], [[-1.4923306918113428, -1.2461735878788576]], [[5.0, -5.0]], [[5.0, -1.503081916831117]], [[-5.0, 5.0]], [[2.2386352360133595, -2.1484024789547362]], [[-0.7127619532327041, 3.3065594880429616]], [[-1.8748146997493953, -0.45083530336540856]], [[-5.0, 2.9795328681109567]], [[1.8596405498721094, -3.4807481845007597]], [[1.5853366760949386, -0.25836420146216676]], [[-0.27481729742321054, 2.3634075571056568]], [[-5.0, 1.6773768200186867]], [[-4.267723765852113, 1.832131426549823]], [[-4.740381318838494, 4.813062980474573]], [[-1.8993084733191103, -1.2183007806990858]], [[-2.153675185051531, 3.9087472792676294]], [[2.3766655938990136, -1.6167339293975704]]]"
9,"[-2.7357372607410837, -0.23520365947643718]",[60.59956379],[0.52956379],"[array([-2.20748452,  1.1438268 ]), array([-2.32699392, -3.25908601]), array([1.09275869, 2.47608271]), array([0.55636942, 1.1892531 ]), array([-4.93410753, -5.        ]), array([2.06349494, 3.78118668])]",957638176.1024351,9,1.9014552216465281,6.374036064418594,[-0.64858395 -0.28167155],60.07,"[[[-2.207484520159686, 1.1438267956361647], [-2.326993918153807, -3.2590860071651546], [1.0927586859140304, 2.4760827147323012], [0.55636942467734, 1.1892530984353158], [-4.934107534861957, -5.0], [2.063494939613895, 3.7811866773602123]], [[0.9962090040461181, 2.530629627301806]], [[3.7284519603328055, -2.2406041804381176]], [[5.0, -1.5590670782441982]], [[5.0, 0.04911543223092001]], [[-5.0, -1.929000331985868]], [[-5.0, 2.767050035512383]], [[5.0, 1.0170556619963291]], [[4.314544979538783, -2.545653169337468]], [[2.579073057616771, 2.026768484623231]], [[4.5687354920874, 0.31160752316659207]], [[3.3964814896333175, -1.155696456626931]], [[-0.08766468912528802, -3.8288363524216034]], [[-1.2275039644255579, -2.873709166655846]], [[1.7452322750491471, 1.5227773884611122]], [[-5.0, 5.0]], [[-2.2081716067093438, -3.603450983261985]], [[0.895336746030325, 3.465815263663025]], [[-4.902846378607891, 4.095008384468784]], [[2.2180686719946046, -3.6523882141543815]], [[-2.7357372607410837, -0.23520365947643718]], [[-5.0, -0.7243509936489664]], [[-1.6346698129175443, -0.9235876445332838]], [[-2.8427251398051063, 5.0]], [[-2.258582064256105, 3.457458995959453]], [[-0.9962515106300459, 2.588671562375596]], [[-3.31620944724179, -0.9235514311792112]]]"
