,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-2.682153530681584, 2.5161913473197557]",[-358.49156757],[0.94843243],"[[-4.67556839  4.21079034]
 [ 4.08360362 -0.70228189]
 [ 0.68180382  0.98429859]
 [-0.55904716 -3.86766329]
 [-1.72047168  2.04869211]
 [ 1.99963152 -3.05723414]]",1059628937.283562,0,1.0427093146534767,5.646432516991611,[-0.30217356  0.63928956],-359.44,"[[[-4.675568388774991, 4.21079033985734], [4.083603620529175, -0.7022818922996521], [0.681803822517395, 0.984298586845398], [-0.5590471625328064, -3.8676632940769196], [-1.7204716801643372, 2.0486921072006226], [1.9996315240859985, -3.057234138250351]], [[4.452826654233364, -4.790695239865318]], [[-1.90389566671888, 3.978342643940797]], [[-4.141384366175496, 2.1875430624588885]], [[-0.38177803950532496, 0.18990619333110992]], [[-1.0710820787281072, 4.299402335833268]], [[4.369963592299801, -1.8710783289027768]], [[4.636153630201298, -2.4785389468499086]], [[-3.9012065079453304, 3.607860810078403]], [[-2.4609884998700613, -2.6884562623472883]], [[3.3033443724079845, -4.298456329961197]], [[0.06919329362499038, -0.15785304898161456]], [[-3.9256671817128668, 3.6774257069342338]], [[1.76210129154888, -0.30383451323394023]], [[-2.429659532037554, 1.1165746912068295]], [[-4.369150733398006, -3.9173052755583018]], [[-5.0, 2.925545979074509]], [[-2.682153530681584, 2.5161913473197557]], [[5.0, 5.0]], [[1.4743230320216743, -5.0]], [[-5.0, -0.8845375948840362]], [[-1.5168023001004438, -1.6105150415768918]], [[-3.6278281541078967, -0.9650329290786832]], [[5.0, 2.1300514769895234]], [[-0.22954184302280425, 1.014749132361308]], [[0.9138151734534569, -0.26374790940367104]], [[1.2557915626583092, 5.0]]]"
1,"[2.2063012207176484, 5.0]",[159.14473576],[35.31473576],"[[ 3.87255297  2.35401791]
 [-3.70391756 -2.20541388]
 [-1.16600871  3.25156271]
 [ 1.25661492 -3.40017095]
 [ 0.31871915  4.63647723]
 [-2.10358977 -4.4738299 ]]",1700817787.0463464,1,2.787092950798786,5.57987486062463,[-0.03006086  0.70646751],123.83,"[[[3.8725529704242945, 2.3540179058909416], [-3.7039175629615784, -2.2054138779640198], [-1.166008710861206, 3.251562714576721], [1.2566149234771729, -3.4001709520816803], [0.31871914863586426, 4.63647723197937], [-2.1035897731781006, -4.47382990270853]], [[-1.0125284868372935, -4.750168852220761]], [[-3.5921841802403693, 2.5307807664730055]], [[-4.6056778105056315, -4.577157319392508]], [[-4.893366523503384, -0.9643957815577506]], [[0.532902108500819, 3.4641947887381583]], [[0.17542016702858287, 4.858497451460252]], [[2.890234033973439, 4.5880067915034015]], [[5.0, -0.19177222704176156]], [[-1.553674948819006, -2.3329581339884116]], [[5.0, 3.7249381294034904]], [[5.0, -5.0]], [[1.5900081288875025, -1.0466933748735556]], [[0.19871290536853234, -2.6929434313856135]], [[5.0, 5.0]], [[-0.47157790100740576, 0.28757642597290467]], [[2.639890828179678, 0.47263744407963665]], [[-0.5912415512103952, 1.0010378614395536]], [[-3.2292464127963765, -3.5749802712519285]], [[-0.9293329751111767, -0.5351911468969237]], [[-4.164135779623301, -4.702239928586195]], [[2.2063012207176484, 5.0]], [[-0.8901579096754242, 3.6059730876863085]], [[-4.616059967131328, -2.748161331795984]], [[-4.611422999213214, -2.3195476896898044]], [[0.7738875768453237, -2.8057103167576547]], [[-0.054986046684359025, 3.2255540519237]]]"
2,"[2.334858829474174, -1.0177268448653731]",[48.5907326],[1.0807326],"[[ 4.40411194 -1.86928296]
 [-0.05963296  4.64434385]
 [-4.48474165 -3.11499625]
 [ 0.1549089   0.8791852 ]
 [ 2.42352068 -4.12884191]
 [-3.09369057  1.8965739 ]]",1682018323.1700928,2,1.0913667486904235,6.019526320806843,[ 0.70421685 -0.06386419],47.51,"[[[4.404111942276359, -1.8692829553037882], [-0.059632956981658936, 4.644343852996826], [-4.484741650521755, -3.1149962544441223], [0.1549088954925537, 0.8791851997375488], [2.4235206842422485, -4.128841906785965], [-3.093690574169159, 1.8965739011764526]], [[-2.9807793239120848, -4.5002726839504925]], [[4.697527763820105, -2.12240261071707]], [[5.0, 0.854791191134653]], [[2.5913258359342586, -2.367399880362216]], [[-1.6436907946541175, 0.7867008300449179]], [[-1.253447110725253, 1.6149283621816743]], [[-5.0, 4.704280055827651]], [[5.0, -5.0]], [[0.772665999074679, -0.36803247101840836]], [[-0.5487919859361596, 0.7086522237131803]], [[-5.0, 0.9385070563195513]], [[2.334858829474174, -1.0177268448653731]], [[1.0304903407675268, -5.0]], [[3.8140612838251977, -2.3108492351365615]], [[5.0, 5.0]], [[-2.385964685497743, 5.0]], [[-0.3829537138416048, -3.558000381249696]], [[-1.3665641696663269, -1.5144074014695785]], [[2.3758497203043563, -4.028304728442549]], [[-0.18738940734842857, -2.2491645596144685]], [[2.027257821198792, 1.3124054599553956]], [[-1.55999391306896, 1.4220272212768634]], [[2.0472960181368727, 0.14188587035185635]], [[0.5101045509727662, 4.035307461862175]], [[-1.0811503762130683, -0.582007109596443]], [[3.929469803239998, -5.0]]]"
3,"[0.44416654399504213, 1.2548363338314603]",[58.856776],[3.516776],"[[ 2.07684578 -4.62719427]
 [-1.5742746   4.40762639]
 [-4.50081479 -1.70753568]
 [ 4.3114382   1.76141202]
 [ 3.15722823 -0.02104551]
 [-3.03540051  0.24062812]]",1270924868.7401063,3,2.3978554189353876,5.36131150809897,[-0.67832142 -0.1996999 ],55.34,"[[[2.076845783740282, -4.62719427421689], [-1.5742745995521545, 4.407626390457153], [-4.500814788043499, -1.7075356841087341], [4.311438202857971, 1.7614120244979858], [3.1572282314300537, -0.0210455060005188], [-3.0354005098342896, 0.24062812328338623]], [[-0.16164277508996872, 0.11919559068655247]], [[-1.8653855414342644, 3.690224678129527]], [[3.2599226151456278, 3.033284257285801]], [[2.666284076427344, 3.9941895769505837]], [[-3.152654585743747, 3.573182824820492]], [[-1.9083148232383111, 1.0842119970127286]], [[1.865545810275484, -0.8574730535469328]], [[1.6082622549422854, 0.36183554872112045]], [[-5.0, 1.0621862252478451]], [[-3.207159111696817, 5.0]], [[-5.0, -5.0]], [[5.0, -5.0]], [[5.0, -2.353031757028337]], [[-5.0, -0.3792702072053964]], [[-0.9263466479064913, -1.6476437417193022]], [[2.4174440601901432, -2.710610093355495]], [[0.046554323377327025, 2.153345771475679]], [[-1.6879575857947937, -0.3583445888927711]], [[-5.0, 5.0]], [[0.44416654399504213, 1.2548363338314603]], [[1.3551732694707583, 1.7269529124295957]], [[0.3730966845254373, 1.17396491509288]], [[5.0, -3.6700028873037773]], [[0.689332610419882, 1.8393181927424163]], [[5.0, -1.4718578391126103]], [[-5.0, 2.725768182165774]]]"
4,"[0.17451345920562744, -0.3894743323326111]",[-82.60324522],[7.72675478],"[[ 2.55352069 -4.61909901]
 [-0.93368083  1.70123458]
 [-3.80195677 -1.93168283]
 [ 2.18455791  4.24834609]
 [ 0.17451346 -0.38947433]
 [-3.2347919   3.29269052]]",713550832.1192261,4,1.1256619242846508,5.976549439814498,[-0.43917136  0.55419177],-90.33,"[[[2.5535206869244576, -4.619099013507366], [-0.9336808323860168, 1.7012345790863037], [-3.8019567728042603, -1.931682825088501], [2.1845579147338867, 4.2483460903167725], [0.17451345920562744, -0.3894743323326111], [-3.2347919046878815, 3.2926905155181885]], [[-4.150076417590004, -1.3842004495670301]], [[-2.899569132120434, -1.191627834412356]], [[-2.661105240296567, -1.7694125002071508]], [[-2.2994697597355342, -3.3474327042532948]], [[-3.163402717782826, -1.2321970112607297]], [[2.737504602899747, 0.5110509722774251]], [[-2.5984384563027008, 2.650825951471602]], [[3.7114132266913384, 2.050515939941581]], [[-3.9315786807553375, -3.7780497538281463]], [[1.4395998458796047, 2.9579007774127954]], [[0.10560225360452803, 1.1581538149498343]], [[2.412344972310549, 3.530463958345444]], [[0.5427636857318228, 1.4520881752373214]], [[-0.22586870524923366, 0.8286221324896773]], [[-2.4249030341550046, -0.6773268168419975]], [[3.576291538865791, -4.127021905112986]], [[-3.569720172957878, 0.142662239842773]], [[1.4071274047344848, -2.5133160983737417]], [[-5.0, 2.0944054958009115]], [[-5.0, 1.2630645076619937]], [[-2.678501967377551, 1.3944343826869021]], [[-1.2830415492183658, 3.6831301571656727]], [[1.4210340131096024, 2.2207807696594353]], [[-0.16691918825561486, -0.47434125996500903]], [[-0.7037464246171243, 0.8910455183772212]], [[1.1197865855566587, -2.0961578210193235]]]"
5,"[0.935026349616241, 0.4153583443444073]",[67.87253181],[2.26253181],"[[ 3.19632949 -4.71970524]
 [-1.27411067  2.61802793]
 [-4.99335245 -1.38020813]
 [ 0.57023704  0.95762014]
 [ 2.33031511 -1.10971391]
 [-2.92640775  1.55243993]]",655634024.8158658,5,1.8207237466001929,5.4822066704057555,[-0.40073477 -0.58259046],65.61,"[[[3.196329493075609, -4.7197052370756865], [-1.2741106748580933, 2.618027925491333], [-4.993352452293038, -1.380208134651184], [0.5702370405197144, 0.9576201438903809], [2.330315113067627, -1.1097139120101929], [-2.926407754421234, 1.5524399280548096]], [[-2.576381362676483, -3.476153443453376]], [[5.0, 5.0]], [[-0.2685921138285959, -5.0]], [[0.582012911325028, -5.0]], [[-0.1357812679800398, 5.0]], [[2.765420361629227, 5.0]], [[2.357351866310652, -5.0]], [[1.5853939261051062, 5.0]], [[0.7157993568902512, 4.3324818077147835]], [[-0.04535305072369589, -0.6592851778657369]], [[2.9450873107614313, -2.758331663380959]], [[3.0925458136537394, -0.010009262205437963]], [[5.0, -5.0]], [[0.985861535699122, -1.668832181819275]], [[0.935026349616241, 0.4153583443444073]], [[-2.562942250363626, -4.048284490206152]], [[4.642889553354402, 3.401999915469076]], [[4.175394094345844, -1.7131083865408137]], [[0.22160687004272386, -2.8487166124780865]], [[-1.4819134194078065, -1.7890172759720329]], [[2.065046878432782, 2.2021901590066055]], [[-2.656230464621767, 5.0]], [[-5.0, 5.0]], [[5.0, -1.2470788219731388]], [[-1.5033964858007491, 5.0]], [[4.159196812966846, -5.0]]]"
6,"[-0.9328150437021936, -2.4045461382863316]",[-270.51604971],[19.56395029],"[[-0.44169572  1.04405534]
 [ 1.690014   -0.33206373]
 [ 3.97871912  2.75297642]
 [-2.72826314 -3.29155684]
 [-3.91654298  4.96661961]
 [ 2.66821623 -4.26259592]]",745134183.216341,6,0.7227102468872145,5.679318593071687,[-0.61821562  0.3432338 ],-290.08,"[[[-0.44169572181999683, 1.0440553352236748], [1.6900140047073364, -0.3320637345314026], [3.978719115257263, 2.752976417541504], [-2.7282631397247314, -3.2915568351745605], [-3.9165429770946503, 4.966619610786438], [2.6682162284851074, -4.262595921754837]], [[0.05073558507406259, 0.7261624105294402]], [[5.0, 1.9476531135832942]], [[-5.0, -2.2582911796161107]], [[-5.0, 2.1193789164448655]], [[5.0, -2.892892051423667]], [[-5.0, 3.4287915056570766]], [[-5.0, -1.2297258116790546]], [[-5.0, -0.2910727932514521]], [[5.0, 0.9243396161211994]], [[5.0, -0.7032587094183128]], [[-5.0, -0.707146003969784]], [[-5.0, 0.8845677850634972]], [[-5.0, -3.354400403839015]], [[5.0, -3.6496120058436157]], [[-2.830580297063188, -3.8848430732755768]], [[2.26585264957291, 1.2397444168197969]], [[-3.5177443988299593, -3.311504774198222]], [[1.7993737320710208, -1.3975767267711257]], [[4.307524085525683, 3.2849237384833927]], [[-4.370234911264225, 0.7770749560184376]], [[4.472765388210558, 3.01066827890061]], [[3.7064456805017927, -3.993893930712802]], [[-0.9328150437021936, -2.4045461382863316]], [[0.48480031790728384, 2.5794186650227777]], [[-3.1714252981905102, 3.161761536663976]], [[-4.754876417826291, 1.38598817489998]]]"
7,"[-0.3830390674128103, 0.2740731481641425]",[27.83655048],[2.73655048],"[[ 0.35122665  2.31709946]
 [-4.36184287 -3.38586256]
 [-1.88417345  4.19707358]
 [ 3.41431916 -0.2559185 ]
 [ 3.84576738  3.22468638]
 [-0.20135194 -2.47826397]]",1457358536.4915953,7,2.3689891256661646,5.453499197529605,[-0.68234872  0.18547298],25.1,"[[[0.35122664645314217, 2.3170994594693184], [-4.36184287071228, -3.385862559080124], [-1.8841734528541565, 4.197073578834534], [3.414319157600403, -0.2559185028076172], [3.845767378807068, 3.22468638420105], [-0.20135194063186646, -2.4782639741897583]], [[0.6905427143756082, 2.3275635711247706]], [[4.544202661407882, -1.3469806314188475]], [[2.887847895362472, 0.46128746465500525]], [[0.23142073651121547, -2.8747260856867602]], [[-3.2811086472738826, -0.09604970239155985]], [[5.0, -5.0]], [[-5.0, 1.1104648780604935]], [[5.0, 2.427261731364497]], [[-0.3830390674128103, 0.2740731481641425]], [[-5.0, -5.0]], [[-5.0, -1.048707801227178]], [[-2.2667714876505256, -5.0]], [[5.0, 5.0]], [[-1.8652076261850132, -3.916257549983017]], [[-3.234695304962833, -5.0]], [[-5.0, -0.6899309014642255]], [[3.4836842455041435, -0.0155251729692365]], [[-1.196774954643006, 0.7812648807580235]], [[-0.5376908547507261, -0.8470121477992829]], [[0.7457238882163503, -1.205269458071551]], [[-2.539510523786444, -4.5795442887713245]], [[-0.9123071065644967, -3.360846091144129]], [[-2.594303824426716, 1.6476189803955386]], [[-2.5892009507323266, -1.3671215276477389]], [[3.675687889037123, 4.7598387912591456]], [[-3.552364669439049, -4.990639919964538]]]"
8,"[0.29195650671374174, 0.33719697890021266]",[-78.26040499],[9.29959501],"[[-0.32139126 -0.38272654]
 [ 0.29592156  2.08155632]
 [ 4.02330577 -4.80553661]
 [-4.11472224  2.79297113]
 [-3.68067071 -3.2308726 ]
 [ 3.18614483  4.30424452]]",1808413276.8631773,8,1.1552883416791542,6.779264438060818,[0.07234558 0.70339613],-87.56,"[[[-0.321391262114048, -0.38272653706371784], [0.29592156410217285, 2.0815563201904297], [4.023305773735046, -4.805536605417728], [-4.114722236990929, 2.792971134185791], [-3.6806707084178925, -3.2308726012706757], [3.1861448287963867, 4.304244518280029]], [[-1.5325545167662513, 0.780569246423017]], [[2.767402240410629, 2.848202159186462]], [[0.7333851494753008, -1.0731313740248538]], [[0.216112662252953, 1.665413932147871]], [[-4.496680621862094, 5.0]], [[2.2200584342209573, 0.9554110086118014]], [[-1.0003073876876112, 0.8983192722992623]], [[-1.2337966174513098, -5.0]], [[-1.3361845771452991, 5.0]], [[-2.0536225964375676, 3.3092196596778494]], [[1.170499086132862, 5.0]], [[0.3958088809609691, -5.0]], [[4.569568299477761, -5.0]], [[5.0, -1.5720931361891237]], [[-1.9097921531561084, -1.3539892906613287]], [[-1.993329762777313, 2.2246271775836535]], [[1.0976750859609283, -2.4613717995945246]], [[5.0, 1.0379424220038889]], [[3.2048992241904775, -2.970978570612675]], [[-5.0, 3.480918908209191]], [[-5.0, 0.48040926956236446]], [[-5.0, 1.860893476027928]], [[2.485595529068697, -5.0]], [[0.08550625652166133, -4.373273448475953]], [[-2.128664237161072, 5.0]], [[0.29195650671374174, 0.33719697890021266]]]"
9,"[-1.2802667456668007, -0.2986526236183465]",[60.19362787],[0.12362787],"[[-0.9688809  -1.12944424]
 [ 3.05566549  2.40614295]
 [ 1.7204535  -3.39690775]
 [-4.80455052  4.66872394]
 [-2.79405639 -4.03291196]
 [ 0.68162143  2.74644732]]",934213290.9197112,9,0.906260818520805,6.463626979084296,[-0.64858395 -0.28167155],60.07,"[[[-0.9688809048384428, -1.1294442415237427], [3.0556654930114746, 2.4061429500579834], [1.7204535007476807, -3.3969077467918396], [-4.8045505210757256, 4.668723940849304], [-2.794056385755539, -4.032911956310272], [0.6816214323043823, 2.7464473247528076]], [[-0.19981826537676506, 3.9495933808304224]], [[4.405913560791486, 0.5465056099084454]], [[-1.329139437317586, -2.239266749468635]], [[-4.4609670567395625, -0.7084659728439808]], [[3.8196904462479617, -0.07244184596087162]], [[5.0, 1.7346599764962434]], [[0.9907195177634888, 0.137000716678715]], [[-0.7866315361319118, -1.1215134053499798]], [[-3.1016626739491207, 4.101999509771632]], [[0.29443996420973695, 5.0]], [[-2.3570013912760905, 3.024704548251238]], [[4.867731011605019, 4.402822590245736]], [[5.0, -5.0]], [[-5.0, 1.0841058788312259]], [[-3.8579690785254432, -0.1687432858122443]], [[-5.0, 0.07310858930863728]], [[2.4062077117833804, 0.5047059208780081]], [[5.0, -3.023403080448649]], [[5.0, -1.6228057601615309]], [[-4.273293058970034, 5.0]], [[-4.332553618007682, 0.6880798392758264]], [[-1.2802667456668007, -0.2986526236183465]], [[0.22687109223366297, -0.24141423125104092]], [[-5.0, 3.1058938140865933]], [[-4.2117249148201354, -2.5306493039499776]], [[2.3457901245035595, -2.17136188550276]]]"
