,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[0.2628760342760999, -0.699007540671936]",[-358.2817395],[1.1582605],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[4.69729734e-06],0,2.802967057075596,6.278556065150253,[-0.30217356  0.63928956],-359.44,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[2.1455838664819895, -3.6448173086440008]], [[-1.4295001088496835, 3.2866374667667246]], [[-5.0, 2.6488852123132753]], [[-0.862327501159565, -0.1834010886841509]], [[-3.1651690320232784, 1.184543684949609]], [[-3.128521270934128, 2.7203210531889646]], [[1.4940441614904776, -1.6892770209182089]], [[-5.0, -0.750175237209258]], [[-5.0, 5.0]], [[5.0, -0.7247981232212294]], [[-1.04253447583868, 1.4735657991652438]], [[-3.409947541117056, -0.7158670070064068]], [[5.0, -5.0]], [[-0.31973868212382145, -5.0]], [[-1.0103427759912127, -1.4919930512649735]], [[5.0, 1.050222146503932]], [[-2.15810149863692, 2.221971340399086]], [[-0.7748222808532299, 2.147088243841954]], [[-5.0, -1.233067142359261]], [[0.4104658547073594, 0.014858112037504185]], [[-1.433890410111295, 1.0480602324898385]], [[-3.351380583357253, -2.40028181412109]], [[0.15121622306794988, 1.026241457669368]], [[0.2628760342760999, -0.699007540671936]], [[-0.04092729836257277, -1.3041015874618624]], [[-5.0, 0.22384929932899444]]]"
1,"[0.04390987440723693, -0.8951081411609829]",[127.3315883],[3.5015883],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[1.12736602e-05],1,2.661392861186721,6.518086948405485,[-0.03006086  0.70646751],123.83,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[4.899420980512716, 2.687559050764742]], [[-2.062303692791877, -4.3929835935786326]], [[4.834498142494481, 3.670984951857735]], [[3.5710112404563947, 3.8202574856605036]], [[0.04390987440723693, -0.8951081411609829]], [[3.0481072307898174, -2.1261132120075437]], [[1.608042479457211, -3.173650061639519]], [[1.3560032480306083, -1.2605786581640466]], [[1.031606362449547, 1.4015602406771226]], [[-2.0718083831399468, -2.586077437862488]], [[1.4992210792001455, 5.0]], [[-3.3756399772090737, -5.0]], [[1.5244308100758202, -0.2512813714768218]], [[1.6670389028343489, 3.363768770728268]], [[3.65814032911985, 1.8397940448759673]], [[-0.5747100627424351, 0.14167283243917458]], [[-0.9975442012609232, -1.182310992925727]], [[-3.1969512830540663, -3.3525495174387325]], [[0.3525428731816296, 1.5675384321647663]], [[-5.0, 5.0]], [[-2.152527439379669, 0.8845384471008292]], [[-0.32340826121591015, -3.499699031995715]], [[-5.0, -1.6360848299827297]], [[-0.8019457255822494, 1.72872382309686]], [[4.349511664030047, 0.1820939536053485]], [[3.583202004141404, 0.029484950179376357]]]"
2,"[2.8483683740397905, -1.2428342336943143]",[57.35507478],[9.84507478],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[3.06208497e-05],2,1.9549744339612456,6.588273036412139,[ 0.70421685 -0.06386419],47.51,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[-2.1193720625197976, -3.412980276416891]], [[-2.474905266879646, 5.0]], [[1.0094778430449447, -3.091419772284738]], [[-1.9585090129785514, 0.47149213112891086]], [[2.6440345724533914, -5.0]], [[4.7158352365110465, 5.0]], [[2.5349105291944736, -2.2545461564778218]], [[5.0, -5.0]], [[-0.23252718189978466, -0.24815574090215597]], [[-5.0, 3.579897926613839]], [[1.2943996017204162, 0.15443325009268427]], [[-5.0, 1.8450313573109889]], [[-0.9458350471743223, -2.197978326301585]], [[-0.08606561168229727, 1.4050571183349325]], [[-0.06546665635846437, -5.0]], [[3.5918413316320823, -1.2530407258542926]], [[1.96005504031469, -1.6714894610421274]], [[0.9663907912361811, -5.0]], [[-3.8213818085812226, 2.361202742700308]], [[2.8483683740397905, -1.2428342336943143]], [[-0.6892323079426342, 5.0]], [[-4.2271964572645055, 5.0]], [[-3.9630008219254287, -2.3368304483786084]], [[-1.0769051580561473, 0.420040149557641]], [[-0.24399241408479996, 0.4444785489710654]], [[5.0, -2.765746661255722]]]"
3,"[-5.0, 0.6170736436524106]",[68.94313706],[13.60313706],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[5.37844719e-05],3,2.537715377372329,5.4239481851519376,[-0.67832142 -0.1996999 ],55.34,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[5.0, 5.0]], [[-0.5196929179449271, -5.0]], [[4.093891989023406, 5.0]], [[-5.0, 5.0]], [[-2.2017710243866646, 5.0]], [[3.253346665765821, 1.3212773235859148]], [[-3.0740136665540114, 4.141831000060133]], [[0.5620814211428772, -1.855571790047484]], [[-0.267865263180147, -0.992477526799996]], [[1.4769949664360047, 0.884552466379376]], [[3.6811739998070596, -1.6388860580090685]], [[-5.0, 0.6170736436524106]], [[5.0, -1.6229025389686556]], [[-3.40023319231254, 0.49630628593636733]], [[-5.0, 2.2698408143289774]], [[-2.4072692762337473, -0.26792710078059184]], [[0.5161745253572982, 2.1823263505268486]], [[1.3428156369536592, -0.8656142142812935]], [[5.0, -2.5776019346455157]], [[-4.119765082057553, 5.0]], [[-1.725140186527827, -5.0]], [[3.040467367416114, -5.0]], [[-4.08664341846064, -5.0]], [[2.207529068532199, 5.0]], [[-2.3048105566582167, 2.4099560621319456]], [[-1.6228981305403114, 3.259064310898431]]]"
4,"[-2.3469090012731506, 1.5046531271407586]",[-89.71642233],[0.61357767],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[3.82591577e-06],4,2.8327119173307453,6.122168471570888,[-0.43917136  0.55419177],-90.33,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[-3.7981946191376323, -1.3523908972292804]], [[4.937729790791608, 1.877573830092595]], [[-5.0, -5.0]], [[5.0, 0.027472506529915678]], [[-5.0, 2.027716429760564]], [[-1.1353118331173535, -0.2901336355859668]], [[-5.0, -2.552864290609181]], [[-5.0, -2.005060701816301]], [[-5.0, 0.6614283632274531]], [[-5.0, 2.6695429384814138]], [[-2.497903561078482, -2.058552919578122]], [[5.0, -3.6211000415855144]], [[-2.1304594363983447, -1.8234403781828536]], [[-0.11914603947080901, 0.12284903829319795]], [[3.4896911428790798, 2.6406551680866075]], [[-5.0, 3.0813645360211663]], [[-2.0948250569474616, 1.1995575676638752]], [[-2.5476921131100614, -2.94056069046783]], [[0.2547409127751603, 1.605200922264566]], [[5.0, -1.2454971097590595]], [[-0.8587959056447126, 0.21148167341502253]], [[0.5152111842837018, -0.6816655256899292]], [[-2.3469090012731506, 1.5046531271407586]], [[-1.3774912530268055, 1.2356563440695605]], [[-1.213851599942306, -3.8299907461663274]], [[-0.7392473915243236, 0.6978573198606393]]]"
5,"[-0.7835019880759821, -2.7633599112196845]",[66.67842719],[1.06842719],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[8.50893191e-06],5,2.6276455107703702,5.390618664295228,[-0.40073477 -0.58259046],65.61,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[-5.0, 5.0]], [[5.0, 1.179830265948698]], [[-5.0, 3.5550265895791555]], [[1.5993664001407308, -5.0]], [[-0.10462399214241837, -5.0]], [[-2.3481824091263133, 5.0]], [[3.607620678380205, 5.0]], [[3.0564288078305015, -5.0]], [[4.446149083677056, -5.0]], [[1.6679293690199075, 5.0]], [[-3.471691030267487, 5.0]], [[3.8866283275328843, -0.1734505791865928]], [[0.4545027290416208, -1.6286376976142065]], [[4.346505721874188, 2.303254747097818]], [[-4.401712771269439, -2.7399019508299216]], [[1.9750476446798126, -3.910078759255505]], [[1.5172689032120843, 2.2731371195491423]], [[3.9438704398125584, -5.0]], [[-0.7835019880759821, -2.7633599112196845]], [[4.906801493173479, -0.23327615994031792]], [[0.4264550900970834, -1.9872330961596854]], [[-1.8657089346468054, 1.7669526459107914]], [[-1.0765218898095925, -4.167000496737699]], [[2.5242825862301603, -1.6012342694667043]], [[-0.15579065739431788, 0.27000044370904375]], [[1.930660023612052, -0.7114362568840156]]]"
6,"[0.3693130642102912, -0.8678769720471357]",[-284.27371203],[5.80628797],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[3.55745415e-05],6,2.8961153998239375,5.846015392407982,[-0.61821562  0.3432338 ],-290.08,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[1.9877838845219529, -2.966809091682875]], [[-1.156902122688558, 3.1599726673216173]], [[4.386467135819704, 1.7952278873768155]], [[-2.876489636839355, -0.4426959346297089]], [[-2.259521898570462, 2.272670297637926]], [[5.0, -5.0]], [[4.5211844503687395, -0.9371837046637764]], [[-4.0592957580209665, -3.0403881533465893]], [[0.3693130642102912, -0.8678769720471357]], [[-0.7431690233460054, 1.1097926195444947]], [[-2.35499548717928, -3.4891523518881735]], [[1.1496496924599784, 1.8474624114686742]], [[-1.9066166384786898, 0.3148878514036033]], [[-0.921845237536302, -2.296080413412255]], [[-4.9090266443892805, 0.6825435292050622]], [[4.960007290610324, 4.377653238170614]], [[-5.0, -5.0]], [[-3.7923384913651486, -3.180517102177225]], [[4.87766903321409, 5.0]], [[-0.11157405719850445, 0.7161540744366391]], [[2.1234882188786903, -1.5738499121004785]], [[-5.0, 2.4276494857173643]], [[0.9565168944299054, 0.3711775873247996]], [[4.361963626217044, 2.3079848163219507]], [[-4.064692352642862, 0.5604211593709694]], [[-4.0589089368258815, -5.0]]]"
7,"[0.6398983154965494, -0.727519619308732]",[28.28817762],[3.18817762],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[1.23615116e-05],7,2.7483703905560746,5.688326317255237,[-0.68234872  0.18547298],25.1,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[2.4838683537016792, 1.9413262851882183]], [[-3.698406426959615, -2.5983307977579835]], [[-2.4503834675894067, -2.263509892399619]], [[0.2798393693368009, -0.06339852046996988]], [[5.0, 2.3865306235788983]], [[-0.16857674620776306, -0.5486477819983955]], [[2.5320400490844786, 1.0165667892342571]], [[1.129043179705095, 0.050686050267224336]], [[-1.9272462427246144, -5.0]], [[0.7026467950769214, -5.0]], [[-5.0, 0.32432029561944853]], [[5.0, 4.507382155451506]], [[0.6398983154965494, -0.727519619308732]], [[-3.2845442930291298, -5.0]], [[-2.8102440815864025, 0.004097332805415668]], [[-2.6371658654872183, -4.372960033570941]], [[-3.7324967002234164, 4.497022561207473]], [[2.346532273641007, 4.661145846298498]], [[-0.3332172329855482, 1.4085156914363517]], [[-1.44134129011775, 0.28959778832539784]], [[4.3997513414726335, -4.573960187404176]], [[-5.0, -0.8673807368710891]], [[0.7713911421081301, -2.6720515985434767]], [[0.30240515715341676, 0.9341082073378173]], [[-3.75949465836292, 2.905423307144245]], [[-2.172029916863474, 0.7606630206847429]]]"
8,"[-0.7559848446243189, -0.8321312168116576]",[-84.78251076],[2.77748924],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[9.09420528e-06],8,2.5594338958693936,6.5893834666229685,[0.07234558 0.70339613],-87.56,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[3.1333651871475565, 2.0755816588448046]], [[0.5990074819896299, 4.888727632006082]], [[4.942034105896841, 2.8973941823115323]], [[1.648596894807564, -4.559150200912341]], [[-3.6221170959945623, 0.05855470461124656]], [[-3.103573954625315, 3.7909487491417613]], [[-2.4422565471235402, 1.089979805783247]], [[3.5695484906762807, -5.0]], [[-0.061510981370513314, -0.44678692599347214]], [[0.24468331592456133, 1.3929153796594766]], [[1.3218329853232278, -0.724656424604975]], [[-0.7517258406882457, -5.0]], [[-2.1429833846309894, 5.0]], [[-5.0, 5.0]], [[-5.0, 2.1834795269911362]], [[2.8512164197715486, -3.2696830849983876]], [[5.0, -5.0]], [[-1.7421676088277376, -0.7465943943877976]], [[-4.186703134658889, 1.9531133744725582]], [[-2.9807357860900026, 0.22196105352592177]], [[-0.0029334690967272085, -2.217500825775903]], [[-4.438511010432819, 1.3887987288702455]], [[-0.5300734958819003, 1.2992635899761162]], [[-0.7559848446243189, -0.8321312168116576]], [[-1.5309222980252448, -2.735865338353448]], [[0.6285232165683565, -3.7360864611921984]]]"
9,"[-1.8240373773639957, -0.26410356251570166]",[61.1995751],[1.1295751],"[array([ 3.81537132, -2.25215555]), array([0.67872627, 3.86894295]), array([2.61014304, 0.37130287]), array([-2.87200333, -1.47553649]), array([-1.38993684,  3.22258113]), array([-4.67863124, -3.8625861 ])]",[5.51949108e-06],9,2.52366940367593,5.391125128141462,[-0.64858395 -0.28167155],60.07,"[[[3.815371320825978, -2.2521555536321314], [0.6787262656087458, 3.8689429535401647], [2.610143040393983, 0.3713028733617163], [-2.8720033325186516, -1.4755364931673483], [-1.3899368439851485, 3.2225811335370818], [-4.6786312375112455, -3.8625860991487975]], [[-2.652503144619225, 2.1676503473798903]], [[-1.2305798746785899, 1.001434239668493]], [[5.0, 2.9854395051670024]], [[-5.0, 5.0]], [[1.6331513460158753, -0.9261389882848269]], [[-5.0, 0.03880383994769416]], [[-5.0, 3.8366526215324104]], [[-1.8240373773639957, -0.26410356251570166]], [[5.0, -1.5406895327513568]], [[-5.0, -0.6374085763168376]], [[-3.6657376229058825, -0.14335471033741515]], [[0.4428040042028062, 1.426847784058308]], [[-3.0507661771665653, 4.795227955489021]], [[-1.1029003399518018, -0.7839107417166199]], [[5.0, -5.0]], [[0.9382317195992419, 0.25985845465406066]], [[5.0, -3.0787770494157956]], [[-3.4647853066386327, 4.347646465748712]], [[1.0785284264057955, -0.03934362913374181]], [[-0.8490042186880574, 2.3749659652634914]], [[0.31255046579664575, 1.0439120628103848]], [[1.336784021351437, 1.0740117839916943]], [[-2.5645303472684655, -4.296032147724968]], [[3.2876918924514555, -0.7899447498353327]], [[-3.204146956745001, 1.0408744378482777]], [[-2.3125726839808074, 3.580043062155254]]]"
