,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.1296402631914404, 2.5598270487038657]",[-129.40382952],[5.72617048],"[[ 4.59061534  2.62155841]
 [-1.92571883 -0.23591216]
 [ 2.58748897 -2.71229877]
 [-4.24926422 -4.6245816 ]
 [ 1.17099841  0.28136306]
 [-0.47222713  4.24765223]]",21940782081.515736,0,2.54525142955973,8.934896102313118,[-2.592  -2.6928],-135.13,"[[[4.59061533738463, 2.6215584066467716], [-1.9257188345412457, -0.23591215901535278], [2.587488966325811, -2.712298767186989], [-4.24926421575639, -4.624581602264916], [1.170998408336125, 0.2813630614013256], [-0.47222713426831664, 4.247652231365635]], [[-1.972472928745215, -0.322651511451671]], [[-3.2628593884836232, -5.0]], [[0.7373961722984308, 3.4186850261458637]], [[1.8041540577569304, 2.444956174784264]], [[-1.1296402631914404, 2.5598270487038657]], [[-5.0, 5.0]], [[-5.0, -2.1375762300335146]], [[-4.713497341815036, -5.0]], [[-2.7269525820535803, 5.0]], [[-5.0, -5.0]], [[0.06431253356180192, -5.0]], [[-3.723842454902289, 5.0]], [[-1.3277538326041587, -5.0]], [[-0.7456103534734108, -5.0]], [[3.650133525444816, 3.7948153314472663]], [[-4.41507610470842, 3.2067768148052433]], [[-3.702610201882228, -5.0]], [[-2.608572900765225, -5.0]], [[0.12199528046612683, 5.0]], [[-2.8282421702840077, 3.6817294281122246]], [[4.752184259880202, 1.3643955066605216]], [[0.5467533835816791, 1.8120493507436342]], [[4.135136078638332, -4.333312699566556]], [[1.5724293089838612, 0.6664513394341167]], [[-3.40112449665342, -2.124561140506737]], [[-4.534710676198277, -2.99883910725735]]]"
1,"[0.25344386989213963, 0.175913188731879]",[151.99540531],[2.84540531],"[[-2.65112285  0.52696555]
 [-4.88300096 -3.63106339]
 [ 4.26136469 -2.70483982]
 [ 0.31604474  4.71254135]
 [-0.05077828  2.01768561]
 [ 3.28464039 -0.52529511]]",1079497151.9114401,1,2.3884896993705214,5.825545424964458,[-0.0552 -0.3708],149.15,"[[[-2.6511228534927747, 0.5269655521945582], [-4.883000959331818, -3.631063393561801], [4.261364687992989, -2.7048398168207384], [0.31604473959954404, 4.712541354461546], [-0.050778277790975324, 2.017685606482021], [3.284640387858474, -0.5252951121638052]], [[2.0196163286111837, 3.027532299602644]], [[1.9907418488864472, 2.9592621941469366]], [[-1.659492033874898, 0.6894237976951173]], [[-3.131326491901988, 5.0]], [[-0.77462093574611, -0.22396347041668208]], [[-2.297360314906499, 5.0]], [[1.8657618461462426, -5.0]], [[-1.6893766132054397, -5.0]], [[-2.952166796596093, -5.0]], [[-0.03861534025981221, -5.0]], [[-4.444535729983814, 5.0]], [[2.1243219692443422, -2.6330400073250826]], [[-2.0963686257727923, -1.0493816747120757]], [[-4.648160677895522, 3.19264507344473]], [[3.6553705266880794, 2.6113282572765897]], [[0.8009032744097685, 1.7495607592564002]], [[-2.403478952930109, 0.5093758141350544]], [[0.25344386989213963, 0.175913188731879]], [[-1.132961286576025, -1.672282592989664]], [[-0.43775942000364154, -1.2394151796495814]], [[-3.204887583850243, 3.3519488216404625]], [[0.9664215341160646, 1.2827397231453168]], [[1.361321021937368, 5.0]], [[-3.726375811544008, 5.0]], [[0.5611893089571328, 0.373927072328283]], [[-4.722932796590212, -2.3483268999045572]]]"
2,"[-4.599656321736819, 0.9326691740161779]",[-993.26967192],[6.73032808],"[[-3.3839464  -3.41796842]
 [ 4.74168296 -2.27683243]
 [ 2.15026923  3.40874563]
 [-2.17442726 -0.69139629]
 [ 0.58348393  2.45383291]
 [-1.47020157  1.18107353]]",37782139169.233215,2,1.378005686679034,8.338616129115696,[-2.8482  1.1766],-1000.0,"[[[-3.383946400032344, -3.4179684189115482], [4.7416829612911435, -2.2768324349335134], [2.150269230020129, 3.408745630446999], [-2.174427264049629, -0.6913962882868301], [0.5834839311147721, 2.4538329099375664], [-1.4702015747320023, 1.181073530895568]], [[-0.5725673710409496, 1.7372445002883405]], [[-5.0, 2.507146755199853]], [[-5.0, -1.4838351350920809]], [[-0.06696321963952064, 5.0]], [[-5.0, -5.0]], [[-3.876015411664001, 0.7107914991913206]], [[-1.3544635345772678, -5.0]], [[-4.5331591328631395, 0.9591189698996535]], [[-2.5763674747167973, 5.0]], [[-4.599656321736819, 0.9326691740161779]], [[-5.0, -3.6597358764379124]], [[-1.2400072017309136, 3.7775247038868702]], [[-3.0553869208679907, -3.735560098188672]], [[-1.4439294669274416, 5.0]], [[1.3094769097515915, -5.0]], [[-1.820733499414433, 5.0]], [[3.086150860841597, -5.0]], [[-1.482414435456879, 4.396818720796357]], [[0.11919807651434461, -5.0]], [[-2.701035178273002, 2.4646249841536325]], [[-3.587537580032149, -5.0]], [[-3.0387403214607187, 0.0014819376420374137]], [[-0.8950534646001312, -2.8265841400187335]], [[1.6928381002231259, 1.2572505642655054]], [[-1.8201375185212034, -5.0]], [[-4.410087436842583, -0.7845149400089221]]]"
3,"[-1.5384563953243542, -2.086058871715462]",[99.16652168],[0.54652168],"[[-1.5384564  -2.08605887]
 [ 0.2447291  -0.50833713]
 [ 3.39995589 -3.93743145]
 [ 2.58413612  4.36773304]
 [-4.73461254  1.33883464]
 [-2.33887737  3.19637463]]",2825926563.1965938,3,1.1907958060208463,6.473693227911339,[-0.8052 -1.1478],98.62,"[[[-1.5384563953243542, -2.086058871715462], [0.2447291004115204, -0.5083371251424209], [3.3999558948139867, -3.9374314462068867], [2.584136121243896, 4.367733035558441], [-4.734612542639466, 1.338834638455392], [-2.338877369763921, 3.196374631921513]], [[-2.7783475727662843, 2.2635568641856225]], [[4.463713042512574, -1.475956974731997]], [[-0.18361701171526007, 0.24791563764993685]], [[1.564569598095353, 3.186002164936297]], [[-0.9276703003216209, 2.0011984186886442]], [[-3.907110609140276, -3.186554023511617]], [[-4.408519639909602, -2.3941466533361404]], [[1.9948287754314642, -1.7323156803932667]], [[1.0315261884010607, 3.723611512216184]], [[-5.0, -5.0]], [[-3.3743221924966367, 5.0]], [[-0.5303748629082138, 4.667304525869166]], [[1.267351215014399, 0.18958275304917416]], [[-1.9007147939691296, 3.5778206146844123]], [[5.0, 3.034279726044898]], [[0.6921633122004404, -1.5170851878091622]], [[-3.6339905540255857, -3.6987332151539425]], [[0.029031826145319645, 4.252788244892346]], [[-3.438158593618814, -1.4311462136834763]], [[-2.3968583216848467, -1.8763353051547285]], [[-0.5530394559320406, -3.028780287144169]], [[-4.50805260695675, 5.0]], [[-5.0, -4.6386628883247685]], [[-2.905240606176679, -5.0]], [[-5.0, 5.0]], [[-1.9909895671388074, -5.0]]]"
4,"[-3.559856021925447, 3.2306436145397908]",[-36.33674625],[10.81325375],"[[ 4.22574258 -0.44870596]
 [ 2.47153895  2.86611302]
 [-0.42117839 -2.89933831]
 [-2.02801174  3.86158873]
 [ 0.96229175  0.69648789]
 [-4.81582741 -3.41881213]]",1527022105.648706,4,1.9783930522243565,5.193284637762191,[-0.3306 -0.801 ],-47.15,"[[[4.225742575377323, -0.44870595951312175], [2.4715389487082264, 2.8661130227618328], [-0.42117839475760466, -2.8993383089306795], [-2.028011742271697, 3.861588733174198], [0.962291750405444, 0.6964878933811622], [-4.815827414832882, -3.4188121334519597]], [[1.660046281512084, -0.8248791857991968]], [[0.2634726618456995, -0.9486638152596794]], [[-1.3084028403421695, 4.5038283388934754]], [[1.1206458028450772, 5.0]], [[-3.221075749868162, -5.0]], [[0.6478874071003479, 5.0]], [[0.0504291161708102, -5.0]], [[-0.8188190981297667, 3.321502741123046]], [[-3.85229122906216, -4.489918456842278]], [[-1.7138055596398496, 3.7394691222652465]], [[3.109253059675713, 1.0627107068843482]], [[-4.2961194519608625, -1.4813384765536697]], [[-4.217187362829034, -3.06920108112155]], [[1.4943207727385843, -0.44492628900027054]], [[5.0, 4.509617713435269]], [[-2.548147990462067, -1.1834682244612844]], [[-2.3921905033513977, 0.9959421230720921]], [[2.159379502180935, -2.4025556052430304]], [[-2.7999117488260046, -0.35299807128983496]], [[2.7534989067340843, -3.015549343410253]], [[-2.994800986098005, 5.0]], [[-2.2310282299928303, 3.9632885323566995]], [[-3.559856021925447, 3.2306436145397908]], [[-1.2466365627268716, -5.0]], [[-3.2547916038566673, 1.6448240791368505]], [[1.9254007543656304, 5.0]]]"
5,"[3.3183128871536285, 0.2895742454533465]",[38.91092575],[1.39092575],"[[-2.73500534  0.7999656 ]
 [ 4.39299071  2.88747221]
 [ 1.71035347 -1.17711883]
 [ 1.06494187  4.17203404]
 [-4.89929565 -4.77734162]
 [-0.16506312 -3.06056112]]",1724222462.954082,5,1.1114141006819798,7.904894027960027,[ 2.49   -1.9692],37.52,"[[[-2.7350053382358706, 0.7999655993539445], [4.39299070999289, 2.887472209729146], [1.7103534651414973, -1.177118827469139], [1.0649418706889948, 4.172034044204008], [-4.899295652350697, -4.777341619546489], [-0.16506311956668096, -3.060561119276239]], [[-4.90479004659215, 1.8793196290076217]], [[1.6370559210511542, -1.5599071232035535]], [[-2.5489774216524714, 0.7336256430231225]], [[0.5488939253055442, -2.509847381847563]], [[4.2414044547279035, 5.0]], [[-2.059447657697881, 5.0]], [[5.0, -5.0]], [[0.6094643147675022, -5.0]], [[4.119482261875726, -2.6433563608658064]], [[3.6243613643498804, 2.044724991411576]], [[3.3183128871536285, 0.2895742454533465]], [[-5.0, -2.577430006954277]], [[2.8957792974799728, 5.0]], [[-1.1581066208939144, 5.0]], [[-1.2236646714906079, 3.5106740638875125]], [[4.716018371149451, 5.0]], [[0.7707108650763727, -2.902126462748835]], [[2.2305900064104023, 0.777532080550646]], [[-1.6919811836007543, 3.886467253241504]], [[4.859822288032355, 2.0048314067915243]], [[2.3176246075304943, -4.67259941284998]], [[5.0, -1.3183933121447082]], [[1.5698031169572761, -5.0]], [[-0.35584856484640826, 1.1878511280984823]], [[3.2238500609192937, -2.5278992946630643]], [[-1.881765337116407, 0.392563812512463]]]"
6,"[-3.633928495857606, 3.5256729360855865]",[-419.96169988],[5.78830012],"[[-0.22553822  4.63639765]
 [ 2.3006901  -2.17249804]
 [-2.42475261  0.82282092]
 [ 3.83487412 -0.27218484]
 [ 0.94658315  3.32909251]
 [-4.57460246 -3.63563018]]",8470125854.211116,6,2.0725388344707376,7.280579253680232,[-1.3248  2.8794],-425.75,"[[[-0.225538217289194, 4.636397653231439], [2.300690104514108, -2.1724980413563575], [-2.4247526055042257, 0.8228209226682717], [3.8348741207595403, -0.2721848406600653], [0.9465831528558466, 3.3290925146332064], [-4.574602456091152, -3.635630181472908]], [[-4.541034105981701, -3.22884695905528]], [[-3.4541361635460475, -1.9907055134245955]], [[-1.421219683894798, 5.0]], [[-1.9793955747354282, -0.6211414560201932]], [[4.638706925252559, -2.2941639456718663]], [[-3.1322753900778877, 0.629976834811762]], [[-0.2722283381609657, 2.999216941670459]], [[0.3657260797268484, 0.3851200531609851]], [[-4.60600979357157, -0.3038330185465776]], [[-4.48196985758839, 5.0]], [[-2.8594292277471935, -5.0]], [[-3.633928495857606, 3.5256729360855865]], [[2.6362476908786476, 1.7096158231691616]], [[0.5871218062152611, -4.135428065238788]], [[-1.784393722129375, -4.730284710924868]], [[0.35462242864013477, -4.435318575458303]], [[5.0, 3.8206318693612675]], [[-2.7768882633366667, 0.7268201708167197]], [[-2.6103081292598995, 4.269317838640536]], [[3.156675937516086, 2.194973260589169]], [[-4.015239419615303, -5.0]], [[-0.9416111592689435, -5.0]], [[1.3582574169010184, 5.0]], [[-0.6696494996487431, 5.0]], [[-2.188940272282158, -5.0]], [[1.7860553012506712, -5.0]]]"
7,"[-0.2502196022681485, -0.7247902398171993]",[-220.25918947],[0.64081053],"[[-2.28303195  1.11083228]
 [ 3.14600994  2.36468984]
 [-3.82748899 -2.14514466]
 [-0.87484452 -1.34607373]
 [ 3.87197956  3.68730757]
 [ 0.18877438 -3.52678099]]",1069413907.9193921,7,1.3383538515927178,5.587606169854817,[-0.0522 -0.2904],-220.9,"[[[-2.2830319520685203, 1.1108322782319782], [3.146009940298365, 2.3646898370902134], [-3.8274889872452653, -2.145144658326816], [-0.8748445208367457, -1.346073730093888], [3.8719795574401576, 3.687307569740188], [0.18877437941910102, -3.5267809947353914]], [[-4.485915601996555, -3.013902209430701]], [[1.3524518826033312, -3.8273059510082907]], [[-3.178758944298627, -0.20452017849489584]], [[-0.31703418023043833, 5.0]], [[1.4386581368585518, 5.0]], [[1.256011033870653, 2.298729958766219]], [[-1.8476237274452758, -5.0]], [[-2.9025609776905736, 5.0]], [[-0.2502196022681485, -0.7247902398171993]], [[-2.624339582111023, 1.2619873003367434]], [[-2.146330607645772, 5.0]], [[1.0986604457996103, 4.130179804664939]], [[4.248306983327048, -4.185600118946731]], [[-3.8634369931053687, 5.0]], [[-2.4662178621691013, 4.98812570723012]], [[-0.5620291440300553, -4.5348409769505595]], [[1.5518011000990357, 3.1801685318392185]], [[-0.6293077801690097, -4.5676835919495495]], [[-3.557740104623011, 3.064440043129951]], [[-1.5053566081377185, -1.504125172350085]], [[0.15555505724640106, 4.475439068251847]], [[-3.4730447817653625, 2.1074737507007937]], [[-2.7095224216589884, 0.36800639414737457]], [[-4.622371319131306, 1.130941768581569]], [[-3.0877856439436977, 0.9686696133327519]], [[0.21156804237392812, -2.5785915575326945]]]"
8,"[-3.583146930740684, -3.602117152489198]",[-353.88554205],[5.59445795],"[[ 0.03413873  4.93110712]
 [-2.41151996  1.84244639]
 [ 2.04690104 -1.28263923]
 [-4.02212756 -2.13999799]
 [ 4.73334041  1.58478556]
 [-1.20970577 -4.96722551]]",31432003516.558094,8,1.1696486033568698,8.648862870134078,[-2.9022 -2.4774],-359.48,"[[[0.03413872546186969, 4.931107118424032], [-2.411519962953692, 1.8424463941209588], [2.0469010384447515, -1.2826392290287836], [-4.022127559861957, -2.139997990527147], [4.733340414178375, 1.5847855607336054], [-1.2097057736262586, -4.967225506145251]], [[-4.12662698520356, -3.8370534744202422]], [[-3.0651841082290203, -0.8019212115060669]], [[2.458024592909851, 2.6430105479382506]], [[2.1215755583032188, -2.7311246395536872]], [[-1.2786179146536418, -4.970981688888026]], [[-1.0821433563694447, 5.0]], [[-5.0, 5.0]], [[-5.0, -5.0]], [[-3.2397177895731213, 5.0]], [[-4.550640750913023, 0.4743293627340692]], [[-1.4487073678577687, 1.3256767767864148]], [[-4.437830276734325, -5.0]], [[1.728750824255723, 3.1390800365206832]], [[3.0425795966995723, 5.0]], [[-0.5866250245597214, 5.0]], [[-2.7503302016744517, 5.0]], [[-3.6239041128566427, -3.1223928159306267]], [[2.4677732761433475, 1.8682822323004356]], [[-3.583146930740684, -3.602117152489198]], [[-4.783558899529813, -5.0]], [[-2.5435093297404237, -5.0]], [[-2.039054422192048, -2.0954243922950053]], [[-5.0, 3.160042830423012]], [[-0.4184756938093303, -0.03556062653850753]], [[-2.849251613208198, 3.815835740640172]], [[0.06874550134193484, 1.295069234033621]]]"
9,"[3.201959673819664, 3.5336388675466774]",[27.87668644],[0.39668644],"[[-4.40256908  2.80333636]
 [ 2.78693831 -4.37532822]
 [-0.69907307  3.9474665 ]
 [ 1.34794455 -0.94802589]
 [-3.32408857 -1.67323837]
 [ 4.43174824  0.31283526]]",3226116845.6766872,9,2.489883775156463,7.0725300745767905,[2.6274 2.0286],27.48,"[[[-4.402569077178431, 2.803336361421234], [2.7869383072161096, -4.375328222752404], [-0.6990730742492302, 3.9474665044037245], [1.3479445473598535, -0.9480258895965559], [-3.324088567028678, -1.6732383711314047], [4.431748236456215, 0.31283525639884324]], [[3.03673842171648, -1.177044361070311]], [[1.2279633176657363, -0.3124835052047885]], [[-1.5259617946821478, -0.9164354626169104]], [[-0.2104538303311996, 1.7207756214118413]], [[3.6950956338950083, 2.759892307945876]], [[1.9117257815507411, -2.4077672052650936]], [[5.0, 5.0]], [[2.7054905263703044, 5.0]], [[-0.06177988406843159, 5.0]], [[0.7944362750477758, 0.4041861100469557]], [[0.990014675778736, 4.474826543032326]], [[5.0, 1.8527270796210893]], [[-0.6241187723063122, 1.1604568757845508]], [[4.9819410280084275, 3.4450829666340184]], [[3.891253143545308, -2.9928025359274657]], [[-0.12317025425778502, -5.0]], [[3.4071898590848337, 4.293144114332165]], [[2.804576712962681, 1.004168308672995]], [[1.3535040019040014, -5.0]], [[0.31680301999666294, -0.2573899640030754]], [[2.616598617277431, 2.791642022016941]], [[-0.08444624341975793, 4.114418852776277]], [[0.3401470000182413, -3.2778754247471626]], [[3.201959673819664, 3.5336388675466774]], [[3.4939424214129073, 4.0622466569159625]], [[-1.2131871567147692, 0.22066753847567044]]]"
