,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-4.125073936966293, 2.465825443697775]",[310.70786877],[0.08786877],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.00118621],0,1.8573400614655289,8.806473821133476,[-3.58617067  2.49428077],310.62,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[-1.1900977765105516, -4.569930711734868]], [[3.614599422548398, -4.244289512353674]], [[1.3379751667492192, 1.836119404699385]], [[-1.7936549201063843, 0.7322088881425697]], [[-3.4560847582399483, 2.0574891573304566]], [[-2.89078497138357, -0.45491405084774045]], [[2.833962443663382, 4.052404968494896]], [[-4.167217320542351, 2.757846802450647]], [[4.330764993048574, -1.0142233415684598]], [[-3.5296504069389254, -0.7023478612028915]], [[-2.25344973339383, 0.09489331556789103]], [[-4.125073936966293, 2.465825443697775]], [[-2.0681306721108195, 2.1814458237697925]], [[-1.0178275476141658, -1.8714808660230784]], [[-3.265547020588751, 4.519779750582602]], [[-3.9613184193379882, -3.693681649652848]], [[1.1421934662863196, -2.502471650092413]], [[1.0077487607265623, -4.830110719759694]], [[1.7003688042670881, -2.060285624432906]], [[2.194900346928359, -0.10715774124865479]], [[0.3010401145073789, 4.757988300413581]], [[-0.42075121972658974, 1.1791783191340848]], [[-2.653032798076217, 0.11492208400058247]], [[-3.0169719498418197, 2.5745619619646356]], [[-1.8041847244208369, 1.6501326889926646]], [[-5.0, -1.0888491975769097]]]"
1,"[-2.145952722542995, -1.8487997971811398]",[42.01095502],[1.23095502],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.01810382],1,2.7609104806135534,7.504961231295386,[-2.51487651 -1.78747656],40.78,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[-0.12011582899058572, -2.919795229680569]], [[2.6074159391360903, 2.237977370941696]], [[4.220495407767141, -0.948938908542545]], [[4.75036274492114, -1.9574973508194453]], [[-4.997132284979824, 0.16024223909815213]], [[5.0, 1.0354134165550275]], [[-1.1901871877820909, -2.7865107474734336]], [[1.6497203710930677, 3.232180373379747]], [[0.8997359648334389, 1.796917518705844]], [[2.1811356945018985, 1.089339787870129]], [[-5.0, -5.0]], [[1.056071797460315, -5.0]], [[3.4134420444364135, 5.0]], [[-0.6816620349424299, 5.0]], [[4.936394679528338, 5.0]], [[-2.9032986622993344, -2.8664805480082047]], [[2.681055350939168, 5.0]], [[-0.7077196366049828, -0.9894473742292038]], [[0.3861300682596881, 4.01873498733134]], [[1.5376302844575558, 1.9693406585719908]], [[-2.145952722542995, -1.8487997971811398]], [[2.290160969572746, -5.0]], [[-2.104808206518345, -2.8085936643162777]], [[-2.336148788358705, -2.0200319807706557]], [[-2.21717222463874, 5.0]], [[-2.12083683917001, -2.179590952797457]]]"
2,"[0.31213331516596104, -2.213193613506465]",[-0.02373772],[1.57626228],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.02262767],2,1.26650916779551,8.379165635285831,[ 1.12844842 -2.01250113],-1.6,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[-2.804473226958451, -2.3332508773602965]], [[-1.231033170664793, -2.1307779807716902]], [[-0.7635157124245625, -2.4954739169671063]], [[-2.101491240083785, -3.1816985741152632]], [[1.9553136123094292, -5.0]], [[-0.4858011854126869, -2.9894638511271188]], [[0.6144642904477078, -3.4648163931608478]], [[-2.242483836826099, -2.1693653829707906]], [[-0.05821366249066125, -1.0806984205338943]], [[2.002664650760835, 4.568927570751785]], [[-2.791191109697889, -3.1992738401265397]], [[-3.0817542735026167, 2.468135647409257]], [[-1.4180386222763193, 3.724552521435628]], [[2.909882168425049, -3.7716579896938565]], [[-1.1330731039738495, 0.8237810203970048]], [[0.6542262690385259, -4.771931203681242]], [[3.0742396157054697, -2.269896064142908]], [[1.3597553874071793, -2.52318629829129]], [[-2.6721277459854114, -2.770728275746386]], [[3.6117025039572157, -1.9809947683175742]], [[-3.622993032597482, -2.111595740862967]], [[-2.3198781996498155, -3.4887042186863413]], [[3.569144233753697, -2.476829487183856]], [[-0.5586237029199854, 0.5953802246499064]], [[0.31213331516596104, -2.213193613506465]], [[-0.35629432354354285, 0.946000118639708]]]"
3,"[3.165919163387203, 4.228497854682539]",[-369.03139994],[1.80860006],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.02263812],3,1.8168463642092587,9.1665009370705,[ 3.11464116 -0.80875318],-370.84,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[-3.935071498187166, 1.4295937265033531]], [[-1.2269081191339204, 0.467921215300324]], [[1.1806649274218153, -4.107190409925389]], [[-1.4974831915115399, 1.7754693585419232]], [[-2.871269024665731, 0.6029510650554022]], [[-0.7162764553462597, 1.247257560168232]], [[-1.8350158753751742, -3.658168309664349]], [[-1.5645479647087701, -4.986924408003038]], [[-0.004760514942392802, -5.0]], [[2.549250762641177, -1.7840063139755555]], [[5.0, 3.220362632407076]], [[-0.8527196369642043, -1.6234096618368086]], [[3.0546794397238504, 5.0]], [[-4.845697785375138, -2.0280305779445698]], [[5.0, -2.730392165614108]], [[4.957670568385738, 5.0]], [[4.460402988939677, 4.589558847117456]], [[5.0, 4.692624726386945]], [[3.165919163387203, 4.228497854682539]], [[-5.0, -1.1188163208468243]], [[1.546544788661029, 3.689795698907446]], [[-2.8778700260518466, -2.221343542117359]], [[-5.0, -3.420925145041364]], [[1.2689422569220914, 4.113456368813503]], [[-4.990576934436177, -4.506843467710941]], [[2.340688845034851, 3.666572474140822]]]"
4,"[-0.8837860654073322, 1.0911232131657458]",[-30.39494893],[2.16505107],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.03196009],4,1.1033396745351385,9.268009870016582,[ 1.05007547 -3.25449816],-32.56,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[-3.6380434425615507, 3.518763520380428]], [[-5.0, 2.1348513173430717]], [[-3.737760833244714, -5.0]], [[-1.8700826313403494, 2.197805332486822]], [[1.6706001085479099, 3.806987864650853]], [[-5.0, 0.9223817013604052]], [[-5.0, 2.7044717855217364]], [[5.0, -4.0142018164681]], [[3.0320237699877968, 4.3364749320153555]], [[-3.3296042738737333, 1.2181946227997402]], [[0.6093724633501786, 5.0]], [[-1.370251599155388, -5.0]], [[5.0, 5.0]], [[1.0713303885523753, 3.339085666174059]], [[-2.8142449874684314, 2.5079165405740853]], [[-3.9846117201553537, 2.254358161824158]], [[-1.529371664413948, -0.15088173278840872]], [[-5.0, -3.8250645074667666]], [[-4.007341709183445, 5.0]], [[-3.458059933610359, 2.590589599998324]], [[-3.1603082016000297, -0.019937243457315863]], [[-0.09315646518608878, 1.65621298140886]], [[-3.063815969019679, 0.6468404340747994]], [[-0.8837860654073322, 1.0911232131657458]], [[-1.6115274014640253, 4.9728581831497145]], [[0.5307951295767833, -5.0]]]"
5,"[2.559330600410281, -5.0]",[520.65003456],[5.25003456],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.07095967],5,2.353923192794526,8.30336150431655,[-3.47257317 -0.72865779],515.4,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[-0.009485926204726365, -2.8044928993302225]], [[-4.918041425358252, 2.900135856037175]], [[-2.5028978077199815, -2.2707601602452083]], [[-5.0, -2.508824448495507]], [[-1.2378629830616155, -1.8986312162150754]], [[-2.84395026592946, -4.272375243362426]], [[0.03413018368034004, 1.8837436274494297]], [[-2.815800403976659, -1.1981064315027095]], [[2.559330600410281, -5.0]], [[2.8550454001388634, -2.4514254796012813]], [[2.1936818479093736, -5.0]], [[-3.9699271586330283, 5.0]], [[-4.040148547932644, 0.980691438262823]], [[2.4108940659183937, -3.7438279088466286]], [[-2.494533251628361, -5.0]], [[3.0096584946023675, 5.0]], [[3.3319508253065564, -5.0]], [[-2.643524893092737, -2.993514378142798]], [[-3.026960253880944, -2.9403403090707205]], [[2.632756035643887, -1.3149371155916727]], [[-4.297587155573267, 5.0]], [[1.8960354364027294, -5.0]], [[-2.368607230849922, -3.2415947993487486]], [[-2.4935514386438546, 2.207624906112022]], [[0.28306769737899357, -5.0]], [[-3.789157050254273, 5.0]]]"
6,"[-4.135955925537613, 3.731329863385459]",[987.59489514],[1.36489514],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.01987361],6,3.079407076658421,9.07629555958005,[-3.60340225 -3.56066289],986.23,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[-0.6837415561072008, 3.9173632303067727]], [[-5.0, 2.305494165884654]], [[-0.9311955955875248, -5.0]], [[-0.7466897257738623, -3.2382935357166653]], [[-4.142277370982864, 5.0]], [[-4.601424067364972, -0.15618491373049262]], [[-0.6807644122781399, -5.0]], [[-4.993713301938947, 4.853756582502155]], [[-4.617131783426719, 2.5612416432470497]], [[-0.6727764061552715, -3.8604670182959535]], [[-0.5266731052432247, -3.2111924406936034]], [[-1.3966267715880427, -3.4847253818034845]], [[2.7833711922916766, 2.9023950129313616]], [[-0.9991317556526144, -3.847259369897628]], [[-1.1948326842115418, -3.137069076454467]], [[-0.0815583187143188, -4.458947394205495]], [[0.54833643663227, -1.801081955036307]], [[1.2967293928289532, 1.471799734887469]], [[-4.516700774163629, 3.5180487027532643]], [[2.109501024575372, 1.2571316438615157]], [[-4.135955925537613, 3.731329863385459]], [[0.9319103324274034, 2.0113536655079476]], [[0.5158514719209277, 1.2659768991834706]], [[-3.8768355824105587, 3.2621523334298184]], [[0.6408705029639012, 0.7135881664220113]], [[1.731248062544196, -2.6869901387840676]]]"
7,"[-2.668617120327003, -0.8998605992102298]",[124.22854179],[0.14854179],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.00225276],7,2.2508108344378,8.344064372798057,[-3.52272698 -0.56982016],124.08,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[1.5225234482760799, -5.0]], [[2.007380056003689, -1.3337237750422457]], [[-2.8494878543761852, -0.0017487296200571984]], [[1.3873482627510483, -3.138279398475842]], [[1.8603107844679385, -4.782530018418901]], [[-2.752730397551419, -0.06424611674112951]], [[2.3618513327241253, 2.1304699317942433]], [[-1.3264822476279634, -2.8632746768198225]], [[0.29875761841451254, 2.143168041228974]], [[0.8101434412841125, -2.6961878870894997]], [[0.7395525638940629, -5.0]], [[0.9882626460340808, -5.0]], [[2.029570125744405, 0.6666488028641483]], [[2.1017395306836075, 2.7232823575032894]], [[0.18990464711970023, -3.675503617812052]], [[-3.0823152300416194, -1.0931506313268395]], [[-2.451706139056631, -1.390546769365528]], [[-3.1644995893995542, -1.9633446406142063]], [[-2.668617120327003, -0.8998605992102298]], [[-1.4229140339872186, -1.269818917171263]], [[-3.979032312017708, -0.5555779555875384]], [[-2.4291508986165478, -5.0]], [[3.348576821916123, -2.1002481945840983]], [[-3.0033520610239752, 2.8630138392293225]], [[0.533461108014942, -1.481434400990943]], [[-5.0, -0.33521339418443297]]]"
8,"[-2.8890909469882673, 0.9418759576468992]",[-468.29118089],[0.01881911],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.0002334],8,0.7133352897196159,7.79184655720984,[-2.88663302  1.04807323],-468.31,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[1.7837755778668674, 2.229239398386471]], [[-3.2228868126690347, 1.9480720203951822]], [[-4.423949695138003, 1.562483213731972]], [[-0.6993214062795983, -0.6283198278096065]], [[0.7503478798555463, 0.46117199706772966]], [[3.0583712579365985, -1.026741221751918]], [[-1.1155910463050287, -2.2352491842494038]], [[-1.7661002892836712, -1.7830895314580517]], [[4.528840265822133, 3.2448181767633715]], [[-0.825350177781782, 5.0]], [[-5.0, -0.41484032605038335]], [[0.7375715338109556, 1.731351701915648]], [[4.77828923234928, -1.9557513617214821]], [[4.00548378317071, -0.5883878331931862]], [[-2.93753584557114, -0.930048585633088]], [[5.0, 1.931387340005123]], [[0.7372884250794389, 0.06427168357507425]], [[-1.0100001646158405, -1.1145762498761118]], [[2.1409075282869736, 1.4389701019679209]], [[1.9984619676984205, 0.8824461356073222]], [[-4.9789874309641515, -2.4832881853993904]], [[0.2522006595700442, -0.804522748029221]], [[-1.570225161464674, -0.6149354132509478]], [[-4.002658458221735, 1.465005630874602]], [[-2.8890909469882673, 0.9418759576468992]], [[-2.538982010296796, 0.22998893861113173]]]"
9,"[4.550619329646692, 0.2950072959730635]",[-59.19592587],[1.42407413],"[array([-2.20365861,  1.25396932]), array([1.9309995 , 2.16282391]), array([ 0.08176727, -2.72559583]), array([-0.60359439, -4.25629267]), array([-4.66191138,  4.04407795]), array([ 4.81120139, -0.15866543])]",[0.02087334],9,2.3068926793472606,8.941957984539775,[3.78616363 3.53399854],-60.62,"[[[-2.203658611737027, 1.2539693153278915], [1.930999501163421, 2.162823905212554], [0.08176727483277357, -2.7255958255612542], [-0.603594392401261, -4.256292665491407], [-4.661911384256047, 4.044077945418339], [4.811201392864085, -0.15866543153847168]], [[3.3903775368103943, 4.956006547809199]], [[0.5639716885512991, -3.4426457002786295]], [[2.288940315922108, -1.8840169293513354]], [[3.0211413786196033, 0.6696843874475364]], [[4.875988721415515, 1.2091948551454044]], [[0.026593485591299457, -3.210264085301389]], [[4.620132390711654, 4.182189004356812]], [[0.5189477570505332, -4.952849831846521]], [[-0.16818238090185103, -2.3663897335320434]], [[0.08963674186001463, -1.3332089137515477]], [[2.1201375089145404, 0.8396453156971001]], [[5.0, 0.26570487641796914]], [[-5.0, -0.7366477423734864]], [[5.0, -2.524987662095422]], [[-4.174828869199367, -2.2751409877226476]], [[3.1466084526510847, 0.10404345571703111]], [[3.1596982364778143, 1.2902836399436097]], [[-0.7668467379534036, 2.0997042572340896]], [[5.0, -0.7230127977959884]], [[1.531693215232751, -2.581848915084919]], [[-0.41520811142776165, -2.666311606668885]], [[4.550619329646692, 0.2950072959730635]], [[3.868486766142631, -2.4338381086250536]], [[-1.9359217185845956, 2.0573105008810497]], [[1.345243544704329, 1.7520954889979081]], [[1.2716034711230282, 2.563220135126399]]]"
