,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-0.8566671995304314, -3.7668999662865916]",[312.66010097],[2.04010097],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.02749769],0,1.1104056295240672,8.716889381772765,[-3.58617067  2.49428077],310.62,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[2.468928581806777, -4.744566179035403]], [[0.6019564118901286, 4.315915014979948]], [[-1.9408997457385202, -4.728577312313246]], [[1.698548547798364, 0.2070261100337606]], [[-1.4667400807791278, 1.266248874630501]], [[-3.868511248000033, 3.0096278216312196]], [[-5.0, 4.9339836091373925]], [[-3.3514752730430826, -5.0]], [[0.5177192363814337, -1.2497410186407658]], [[-1.9725328612772868, -5.0]], [[-2.573505976974954, -0.13324651884964117]], [[3.5689050440998424, 5.0]], [[-2.1286213021313625, -2.6260880686600174]], [[-1.752145316789398, -5.0]], [[-2.928046990379468, -1.6221144006386037]], [[3.0353297260114633, -5.0]], [[-2.5080767771180064, 3.502063427767011]], [[1.4417078459140629, 3.8909183748997176]], [[-3.5908704321350107, -2.081746203169245]], [[-1.0886308561601274, 1.2956227214901037]], [[1.3984410909301905, -2.162669757233743]], [[2.9729853687336942, 3.4895202523767965]], [[-0.8566671995304314, -3.7668999662865916]], [[-4.4077875825560415, -5.0]], [[-0.7289576297440018, -1.300722904739174]], [[-3.5797780690479972, -5.0]]]"
1,"[1.3032425501483151, 1.2783778564498232]",[42.78135011],[2.00135011],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.02958273],1,2.5524241087319446,8.535468629732453,[-2.51487651 -1.78747656],40.78,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[-1.0474355791020509, 4.121607477458674]], [[4.658275034519223, 4.455660412161202]], [[-4.036791622931509, -3.215305998258513]], [[-1.1804237973703602, -3.0727399101084782]], [[-0.91188056233199, -0.38828759277707353]], [[5.0, 1.6741283755268759]], [[3.0563158783676982, -2.9844701088745786]], [[-4.957056424538586, -0.5739455713201046]], [[5.0, -3.150957947296831]], [[-5.0, -3.266808499115103]], [[-5.0, -3.035127561667605]], [[-1.6261731720185486, -3.917951192571783]], [[-0.923814413374558, -3.489995814826077]], [[0.8265114459933788, 1.2416802039325603]], [[-4.073741779682992, -3.65657912919989]], [[1.3032425501483151, 1.2783778564498232]], [[-0.4654898017904549, -3.1398511697393285]], [[0.9153852425367414, 1.4079479280697371]], [[1.0622725437246099, 0.7694338756338478]], [[-3.2798491974965933, -3.0643206869961146]], [[-0.527707504380926, -0.08494845276253461]], [[5.0, 3.2945720759037886]], [[4.3150649233149965, 3.3692084523656836]], [[5.0, -0.31527656403111715]], [[5.0, -0.6446329940816591]], [[-1.400065287442518, -0.15318654918281516]]]"
2,"[2.1768530638307246, -2.147859776403568]",[-1.28745266],[0.31254734],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.00448499],2,2.340340494363985,6.1277656961126015,[ 1.12844842 -2.01250113],-1.6,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[4.796775833758815, 4.119375138805545]], [[-2.709723260786694, 1.3326110578478951]], [[-1.1239382491625367, 3.298924465409081]], [[-0.571628994640344, 2.5167268560501035]], [[-0.7886717533757759, 3.4845529596138647]], [[0.5697909641287117, 2.302739268495635]], [[-4.753121867050644, 1.5211889565993373]], [[-1.3386808978568667, 3.9523646804910912]], [[-0.981908612165041, 2.9245905603180926]], [[0.2554721028369301, 1.0631296055436712]], [[-0.4255372845936599, 0.7745158842952728]], [[-1.3082445091819694, 2.594689838858042]], [[-0.059817321105342734, -0.07071079781177769]], [[3.878099277868495, 2.021472008020083]], [[-3.760884243383584, 0.2196977112321578]], [[3.613937087372858, 2.62335744918879]], [[3.461818427109987, 1.5291682103160078]], [[-3.9676261388895036, -0.38895349669283225]], [[2.4826347450241046, -2.399589873914581]], [[-3.620399711803777, 0.5182230074741384]], [[2.1623641118625114, -1.791810360639366]], [[2.041560469776423, -2.6625189222265884]], [[-3.440202685770997, -0.32488068460040376]], [[2.4572606773021843, -1.7500838629360653]], [[2.8023607061699587, -3.194445157117157]], [[2.1768530638307246, -2.147859776403568]]]"
3,"[3.154385430551683, -0.8408472253078288]",[-370.8399787],[2.12971548e-05],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[2.66143268e-07],3,0.05108458292707994,7.3988480261909695,[ 3.11464116 -0.80875318],-370.84,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[1.345755872522262, 1.4568958024793197]], [[2.7271931427734533, -0.550999946437192]], [[3.0293141940516644, 1.5561354597056911]], [[2.7938801052648268, -1.0872379625720971]], [[-0.70022222582027, -3.471996021804337]], [[2.109723792261028, 0.056668296038082724]], [[-1.8429499372375204, -4.542930272326452]], [[1.8903670963911083, -0.8380291356738512]], [[2.99595244963075, -0.616679589869493]], [[-0.6594364730130601, -4.395230157245395]], [[0.13385598923150469, -4.5522768077059395]], [[0.7954315976335956, 0.7444698616760298]], [[3.6106666794488276, -1.3712987075580334]], [[-0.23990890289024386, 0.47181524929870144]], [[-0.621449191900717, -4.945701817416616]], [[-2.6993483672994656, -3.3416891482022755]], [[4.123182563794201, -2.0952714989934367]], [[-3.9397094037796077, -3.132793593364918]], [[-3.459957828866676, -2.686646672729852]], [[-3.9360094463110276, -3.745667015378133]], [[-4.794952422130666, -2.7632267059914697]], [[3.3266822250913948, -1.0859396233317002]], [[-2.4920892631682685, -1.4269616115303874]], [[-3.901063158412809, -1.1993154003494513]], [[-3.127014514564497, -0.5922744102230568]], [[-5.0, -1.473836812829292]]]"
4,"[1.1573553967714676, 1.5501627088818606]",[-31.13341887],[1.42658113],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.02097469],4,2.4701580726529198,7.163606397033279,[ 1.05007547 -3.25449816],-32.56,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[-4.64599135756627, -1.9015236302776426]], [[-1.564092688808567, 2.6048290108882077]], [[-2.237795976213597, 2.290338401660491]], [[1.163593496339036, 1.5931639386011998]], [[0.5320064015703575, -2.112840198559739]], [[-3.6203209274032258, -1.7178906377906467]], [[2.5286662120790036, -3.7332521416187614]], [[-2.8388746443791626, -1.5142995338780987]], [[1.7776539004221084, -4.915957186426233]], [[-1.8913873582397345, -0.42739169128295695]], [[3.6388046409432886, 2.1002080271575596]], [[-0.2874048720745497, -4.018741299055683]], [[3.7981392976158994, -4.720894010365575]], [[-0.018114213756317415, 1.9938081709253608]], [[3.2183850625588764, 5.0]], [[-0.334710124800776, 1.9958484958618055]], [[-3.230657954565584, -5.0]], [[1.060214067054876, 4.765363507690639]], [[0.7393152024761653, 1.780470791183753]], [[2.052819415428319, 1.0649164999784262]], [[-0.8663201524259497, -0.8924625165095006]], [[2.188333601192123, 2.553228054157546]], [[-3.4708193783515084, 0.44689176491444765]], [[-1.464224854932522, 0.4406004381504645]], [[-0.2764851683803049, 5.0]], [[1.5426025228659759, 1.359257428219531]]]"
5,"[-3.5670149815348124, -0.7766691609039833]",[515.40008021],[8.02129631e-05],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[1.08117551e-06],5,2.2170976428699345,8.84966194632253,[-3.47257317 -0.72865779],515.4,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[-3.7886341703116746, 1.4900287722261878]], [[1.485971865912533, -2.3547044765221403]], [[-3.472579248960519, 4.243723270561919]], [[1.927236900942869, -2.252132346225338]], [[5.0, 4.7488599719762075]], [[4.280252071005122, -2.9712238093696604]], [[-2.010735951910101, 3.1372532340272734]], [[1.6518523053180452, -2.249611505640613]], [[-3.2057690419738285, 1.8067441659526113]], [[-4.335137967448514, 1.6726333048891595]], [[2.3776628119931305, -0.1864109050894059]], [[-2.442424245298295, 3.1267244882007525]], [[-2.2232119444558474, 2.1597672849612852]], [[-0.07298741499878214, 3.526889601681532]], [[-0.47534177268911815, -4.172679899186243]], [[3.69145218569176, -2.759622987806814]], [[4.461544721886936, 0.5006959477883811]], [[-5.0, -4.772289092801614]], [[-1.8941083635398968, -2.74917121650208]], [[-3.4046430233700176, -0.6704923746322262]], [[-3.3269653334414673, 0.47552401087278234]], [[0.85439022770321, -2.0767378850742886]], [[-3.2012778788304384, -1.0734833661262824]], [[-3.7396565900208696, -0.69545541505445]], [[-3.5670149815348124, -0.7766691609039833]], [[0.4996529742443309, 2.527883141280688]]]"
6,"[3.2881383248806486, -2.000783660973787]",[988.53887249],[2.30887249],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.03361195],6,2.3552778956056226,10.465607169445544,[-3.60340225 -3.56066289],986.23,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[4.059409705420139, 1.842208654215243]], [[-2.9143909408818476, -0.16520112666440445]], [[3.6575887327357353, -3.8321975877336873]], [[-1.7734738907960093, -4.196721414336658]], [[-3.9430788726302928, -1.1797782031803112]], [[0.5568078898764313, 0.637857489923403]], [[2.5682208399772843, -1.6667940229828595]], [[2.5807215833016226, -4.1668659931902585]], [[-4.552162526093112, 1.9045024344155426]], [[3.2881383248806486, -2.000783660973787]], [[4.24997465590838, 4.722685189563423]], [[1.5549995726493506, -0.6152797260561638]], [[0.5399615976563021, 3.958049862342815]], [[-2.434963601871616, 3.5574200954171538]], [[-4.190033535044618, 2.502433491899695]], [[3.2965069137280185, -3.8123299126206787]], [[-4.8119546104587085, -2.3923782814098526]], [[-4.61520493199936, 4.45910170353941]], [[1.0963490426788653, 1.5243059669213563]], [[-1.7445032351987082, -2.4970482241922807]], [[0.8876971529318729, 2.5249187596154496]], [[-3.7876218475248202, 0.24999856823789593]], [[-2.6389751275480355, -1.37568735611328]], [[-1.7570061780581518, -3.3687499198198285]], [[-0.7977507675985477, -2.46873976712245]], [[3.977636227862056, -1.45096799591637]]]"
7,"[-2.4876188276636557, -1.1850738101300442]",[124.64597806],[0.56597806],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.00857517],7,2.051360430423445,8.829932533991974,[-3.52272698 -0.56982016],124.08,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[1.825598540847854, -0.625655051068696]], [[-1.2884671110487522, -3.53793445152236]], [[0.23037197872231463, 3.29570440471897]], [[-1.251056988477343, 3.5380100625602675]], [[0.9070550930021986, 3.6523580343089646]], [[-0.24318495979816085, -3.980207335961717]], [[-5.0, 0.8132595790308047]], [[0.813472833094387, 3.1841786901928733]], [[-4.883320715394998, 2.1295477944317884]], [[-2.4823191098875164, 1.8049340014523754]], [[-1.6113491118971757, -4.819658749417162]], [[-2.693747742324127, 0.8880674775502917]], [[-2.6215678739074715, -3.828225911149969]], [[1.500719482284216, -1.688560410546769]], [[0.40046087748345527, 2.9818235860576667]], [[1.6703579877251917, 4.699290796666988]], [[4.011235142213121, 5.0]], [[-5.0, -1.6785771211620102]], [[-5.0, 5.0]], [[3.7866843203982357, 4.639324343789643]], [[-2.4876188276636557, -1.1850738101300442]], [[5.0, 1.0742522143348234]], [[5.0, 4.890267606873411]], [[-2.876953582142386, -1.5181160922760764]], [[1.7277528541887393, -4.7872952050329065]], [[-1.8880294414464902, -1.1930070254176866]]]"
8,"[-3.8559618870969103, 1.3065925975762946]",[-468.04871588],[0.26128412],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.00325233],8,1.1184676064130277,7.693220677078825,[-2.88663302  1.04807323],-468.31,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[0.309786051502325, -4.810062178974241]], [[3.58539016123688, -2.621808675532934]], [[-4.6704143285074196, -2.1702419177399612]], [[-3.334883482806998, 4.007441935734004]], [[-2.08709457707661, -4.5641249182008305]], [[-0.20145895254768398, 2.314413431861734]], [[-4.1629303419608545, 2.6890435891433833]], [[-0.5299033114871938, -1.7038668779256372]], [[1.581011227297796, 2.780836407849927]], [[-2.782584324525491, 4.86203448848654]], [[-5.0, 2.439353826330692]], [[-3.8080859392126043, -4.4982281005889115]], [[-5.0, 1.7903962143386236]], [[-2.5108993082076414, 1.4016816321058383]], [[-3.6075535146072433, 0.8906384157581583]], [[-3.652316086444819, 1.616597522731476]], [[-3.386948929834748, -1.4387192292240683]], [[5.0, -3.91027196376237]], [[-3.8559618870969103, 1.3065925975762946]], [[-5.0, -1.2138436328487014]], [[-5.0, 3.2243140814919786]], [[2.5123929646978387, 0.011409117706061853]], [[-3.2768193590949584, 2.3828284347438435]], [[2.267097202775158, 2.1042903898810024]], [[-3.9550020541389035, -0.9279644914539049]], [[-0.04155466762038544, 1.888868723290275]]]"
9,"[4.479203625302147, 2.2673696158139327]",[-59.17688207],[1.44311793],"[array([-3.93424396,  1.43983985]), array([4.55693084, 2.99203865]), array([ 3.15438543, -0.84084723]), array([ 4.59799893, -0.50630725]), array([1.1573554 , 1.55016271]), array([-1.29529621, -4.02968367])]",[0.02114494],9,0.9422327804394462,9.112108579583698,[3.78616363 3.53399854],-60.62,"[[[-3.934243963191538, 1.439839852997816], [4.556930837323896, 2.9920386467573037], [3.154385430551683, -0.8408472253078288], [4.597998927581057, -0.5063072459996623], [1.1573553967714676, 1.5501627088818606], [-1.2952962106233983, -4.02968367283658]], [[3.8309482296106765, 2.524522779142238]], [[3.667762345033807, 1.6660943095484508]], [[-1.5399582229331106, 2.37564290137607]], [[-2.941811504291418, -0.9658155545920801]], [[-3.1357021623387373, -0.61063304096023]], [[-4.438511476850181, -0.37203796138358475]], [[-4.8501431358496845, 4.1907938633055934]], [[4.508816202558923, -0.7158142038466322]], [[-0.6403903872717633, 2.9341325366207736]], [[5.0, 2.6286410975037535]], [[-0.702190838196636, 1.0341072520253423]], [[3.2105538378594938, 3.224179467124068]], [[0.6285381194264551, -0.15405344910808436]], [[-1.0358962589091465, 1.3045351583117484]], [[1.8104213827673121, 1.1248731429183008]], [[1.2394629246821336, -1.6324829789552227]], [[5.0, -5.0]], [[3.39871830957133, 2.9652304876872217]], [[-3.012016647835012, 0.8204023850523114]], [[4.749889203754818, 3.4622780024673703]], [[1.0508190356047238, 5.0]], [[-0.8527271423413226, 0.7777280164542122]], [[3.266517980168181, 1.5299609594915584]], [[4.479203625302147, 2.2673696158139327]], [[1.6505434359345024, 1.3627174340868675]], [[4.461072060206748, 3.607501075173488]]]"
