,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.3253937672080298, 1.8542722442545787]",[311.40100831],[0.78100831],"[[-0.05974467  0.66583781]
 [-2.55127215  4.71082001]
 [ 2.89464615  3.80218523]
 [ 0.20395416 -0.54168017]
 [ 1.27284287 -0.84218175]
 [-3.29616932  3.87948739]]",106184.56909012553,0,1.4152378497423748,6.6114749320120065,[-3.58617067  2.49428077],310.62,"[[[-0.05974466833704195, 0.665837814667432], [-2.5512721536007144, 4.710820006539647], [2.89464615096713, 3.8021852266681044], [0.20395415521670301, -0.5416801726921516], [1.2728428675973182, -0.842181751164448], [-3.2961693203439433, 3.8794873921044317]], [[2.554744807296614, -3.023936706591812]], [[-1.2124252503788946, 1.5170405817662624]], [[1.1032893235067895, -0.9097225024167964]], [[-1.0209328663839725, 1.3756271623471097]], [[-4.32842368438699, 1.5242005292494576]], [[-0.7079966295131018, -3.356471768399889]], [[1.451512930797796, 1.546432769880293]], [[-1.1376104363545794, 1.7907146454526115]], [[-1.33679687620748, -3.1107042423816744]], [[-1.7642252108260144, 1.7791332591869657]], [[0.15280708585478467, -3.1370167170457663]], [[-1.1433171882007158, -3.706595247093223]], [[-1.94058100944737, 5.0]], [[-3.380119193938664, 4.838293263871226]], [[-1.4133430384351544, 2.0159279538195674]], [[0.15051839735860487, 1.30141752972563]], [[-1.8902028804833912, 1.074419075682059]], [[-0.9890801159343097, 2.4450528990069396]], [[1.5496610914318711, -1.7548631743250678]], [[-2.352868721675137, 1.3881190204399223]], [[-1.3253937672080298, 1.8542722442545787]], [[-2.3113648945470184, 0.7191749675161493]], [[1.264945246125401, -2.6116397727882625]], [[-1.853294563366398, 2.595192056822933]], [[1.5519899492659188, -2.9545082829583698]], [[-2.609533007132155, 0.9471058367447645]]]"
1,"[-1.8994416481931258, -0.994013630222044]",[42.28807917],[1.50807917],"[[ 1.61659823  1.26394482]
 [ 0.02855386 -0.69421673]
 [ 4.22365931 -3.43706409]
 [-1.19477239 -0.43131151]
 [-1.59489848 -1.5086338 ]
 [-1.76941262 -4.64530234]]",3091.1720439997625,1,0.9613078828426697,6.937507042122127,[-2.51487651 -1.78747656],40.78,"[[[1.6165982321876111, 1.2639448202715018], [0.02855385909389163, -0.6942167292638048], [4.223659308625837, -3.43706409342177], [-1.1947723856452477, -0.43131150773466853], [-1.5948984836264044, -1.5086338041906142], [-1.7694126233188276, -4.64530233832464]], [[-3.0090919986192786, -1.2114770810200537]], [[-1.9334944600193, 0.4038985167340721]], [[-3.434310051482634, -0.9117603614919272]], [[1.5597841649914568, -4.845179509882439]], [[1.764609896292427, -2.329823520279883]], [[2.156403922464951, 1.830934098119042]], [[1.2097037426510682, 1.9534839888877638]], [[2.756486666476748, 1.0708035503361857]], [[3.9391106184884666, 1.555385822375506]], [[2.081022829268855, 3.811525616461377]], [[3.298464369194383, 3.718246129886974]], [[1.4222181948496646, 3.880737656861822]], [[3.41252579935459, 0.5683911683578678]], [[0.5301371689100983, -5.0]], [[-1.0647282749107123, -1.2221659490873347]], [[2.059720133143469, 4.645388667890852]], [[2.331256506372906, 0.5237839666568442]], [[1.9584890860008732, 3.2329750945600115]], [[-1.8994416481931258, -0.994013630222044]], [[3.0016819842564124, 1.6351824240841146]], [[0.3533141109940889, 1.169274114285567]], [[3.1256749934000054, -0.4196521508261591]], [[-2.1877865676209654, -2.070452785555535]], [[4.8029993184821045, 0.4658753552794691]], [[-1.205301653461615, -2.5901783144090316]], [[5.0, -0.5062846040852733]]]"
2,"[1.1843921066061391, -1.8840169371153568]",[-1.54089698],[0.05910302],"[[-2.80391855 -3.59743974]
 [ 2.04659903 -1.94106169]
 [ 1.04730421 -0.12723622]
 [-1.75964778 -1.1440881 ]
 [-3.27797466 -3.90020709]
 [-1.14584379 -3.95882212]]",265.84716407944757,2,0.9209256889384302,4.793745736810511,[ 1.12844842 -2.01250113],-1.6,"[[[-2.803918545162658, -3.5974397394741633], [2.0465990251785886, -1.9410616855559093], [1.047304207535852, -0.12723622171792037], [-1.7596477783653786, -1.144088103213703], [-3.277974659908809, -3.9002070934435187], [-1.1458437851214667, -3.9588221227963674]], [[1.9826817609452174, 2.580735612489299]], [[-2.895540946776353, -1.9045123228187475]], [[-5.0, -1.9380530515569732]], [[5.0, -1.8804978982399658]], [[-2.4525607409316152, -3.4935094776150795]], [[2.311451435005343, -2.4558842558969785]], [[1.8875474338324703, -2.855183519359397]], [[2.3765825974911094, -1.9860850569738957]], [[2.2517938930399763, 4.710571644136849]], [[-1.8968724971234396, -2.0136733385329726]], [[2.012601186431024, -2.1721400818774286]], [[-2.8134950577714086, -2.4321808056721763]], [[1.1843921066061391, -1.8840169371153568]], [[2.9331035405978545, -2.3202935504040147]], [[0.7876246870346169, -1.5096548791461628]], [[-3.8457218600169725, 2.175499638767361]], [[-3.7752357592463217, 3.03244726551525]], [[0.5063610287833716, -2.118701327352029]], [[-4.916017665543387, 2.9304475419361324]], [[-3.035479635423232, 2.962863409996247]], [[0.9172295814723246, -2.1616661381239863]], [[-3.419024602819271, -2.1159423599120264]], [[0.13622761461327873, -2.5323708481010296]], [[-0.26329442878208853, -2.060242043440128]], [[4.682017934078053, -5.0]], [[-3.2982802082302998, -0.9634847248982475]]]"
3,"[3.5454483740852316, -1.0573979219376262]",[-370.80819993],[0.03180007],"[[ 2.49183052 -2.25275382]
 [-0.32770882 -0.88228026]
 [ 1.44146655 -1.35401477]
 [-1.170818    0.5398005 ]
 [ 4.03002138 -2.01815887]
 [ 3.6890931  -1.16314105]]",126645.295306049,3,0.6749709567985623,4.492633661731394,[ 3.11464116 -0.80875318],-370.84,"[[[2.491830522081843, -2.2527538213344456], [-0.3277088249108431, -0.8822802648176475], [1.4414665499911, -1.3540147698456986], [-1.1708179968336463, 0.5398005006909221], [4.030021378350844, -2.018158872251071], [3.689093099454796, -1.1631410515699727]], [[-1.1229769501166125, 2.0756500836284477]], [[-1.1054633492600674, 2.61509051758249]], [[-1.1542643264197394, 1.9515012805281355]], [[-3.8320757468244038, 0.8333200652743054]], [[1.1854695281445304, 0.3270887692764952]], [[-2.2419387141612104, 2.088826894162943]], [[4.568040131795193, -1.1301107832558177]], [[3.5454483740852316, -1.0573979219376262]], [[4.765731023637672, 4.782441253711072]], [[3.8322549040165295, 4.953682188844092]], [[3.552847734252909, 0.16188324847115207]], [[5.0, 4.58189218911498]], [[0.525682284849907, -0.044450297413444306]], [[0.941311341663296, 2.090594233629145]], [[3.873234782798087, -1.0870010317506322]], [[4.570464085858453, -1.4607329639061502]], [[2.7083724183357027, 0.751095215441053]], [[-2.722209386883047, -4.455922479802384]], [[-0.9367515422748762, -4.445777898466144]], [[-1.2240299207780814, -4.67129161934958]], [[-1.340781577738304, -4.209754321256942]], [[0.02363544720024681, -4.234517631057647]], [[-1.528872744798261, -4.3531733213149835]], [[-1.5506638356000984, -3.867923977285943]], [[-4.0393085295155755, -4.486073770793723]], [[-0.0030400186127511474, -4.635649297718758]]]"
4,"[-4.533607645463587, 2.8565630063398784]",[-30.55642151],[2.00357849],"[[ 4.37066691 -3.28925814]
 [ 1.81329826  1.68056386]
 [-2.37736465  2.46538924]
 [-0.88539459  3.802649  ]
 [-2.61196431 -1.87982131]
 [ 2.90421112 -4.04739816]]",421.2924489435566,4,2.016558804703139,7.317743532359397,[ 1.05007547 -3.25449816],-32.56,"[[[4.370666913299372, -3.2892581411879873], [1.813298258309449, 1.6805638561308296], [-2.3773646506919475, 2.465389237756323], [-0.8853945910636982, 3.802649003413297], [-2.61196431185165, -1.8798213079928794], [2.9042111160338058, -4.047398163000341]], [[-0.7827720715119848, 3.731988338891546]], [[0.49326089387311284, 4.921263891101868]], [[1.8944788006738027, -0.4762033370016409]], [[-5.0, 0.3623542295319395]], [[-0.9811675563087972, 2.5717691537575407]], [[0.9289310637172276, -0.12350790580390851]], [[-5.0, 2.00102152653774]], [[-5.0, 4.648247003318456]], [[5.0, -0.992140674053241]], [[1.7237301190701553, 4.789117332867738]], [[-1.7602000499336814, 2.546737760188976]], [[-4.533607645463587, 2.8565630063398784]], [[3.1858238253114424, 0.8106589776491389]], [[5.0, 2.220812534191906]], [[-5.0, -5.0]], [[-1.1165329669356427, 5.0]], [[-3.369977289425235, 3.3238200827387043]], [[2.2534723655534146, 0.5953647889077573]], [[-3.8432971785417904, 2.254179263429947]], [[-2.348211235082261, 3.714801356467838]], [[-0.4324168642148017, -5.0]], [[-0.21092898780810881, -3.7937277800738265]], [[-0.31247246563212655, 1.5202910495593844]], [[-1.9814837335825388, 1.1532494019566186]], [[-5.0, 3.0793086285779117]], [[-1.3849647891778651, -5.0]]]"
5,"[-3.535717618769965, -0.6851041286816845]",[515.40335611],[0.00335611],"[[-0.07027382  1.18658435]
 [-2.69620057  0.88724352]
 [-2.00413117 -1.66489277]
 [ 2.81665826  2.81350856]
 [ 4.39178757 -3.35265441]
 [ 4.46172845 -1.35524366]]",280978.3560142664,5,1.7415102126718724,8.290568621933149,[-3.47257317 -0.72865779],515.4,"[[[-0.07027381815284972, 1.1865843459929035], [-2.6962005688933264, 0.8872435243131482], [-2.004131174194923, -1.6648927679518657], [2.8166582564319693, 2.8135085632304406], [4.391787570114888, -3.3526544095990563], [4.461728446503555, -1.3552436551685343]], [[4.444225175079247, -4.99898367709932]], [[-3.5035202299195287, -2.9391993765800257]], [[-3.535717618769965, -0.6851041286816845]], [[-0.2254337688267921, 5.0]], [[4.781753120747566, 4.236527305884244]], [[1.452348123281711, 1.8529496567400128]], [[-4.042617626133663, -3.7778154076708597]], [[-1.4729297982975078, -0.8862112946176931]], [[1.8063175367159259, 3.4427343151166783]], [[0.71820873091901, -0.1404528614650276]], [[3.8508022480695963, -0.4648769706708094]], [[-5.0, 0.3650760102626762]], [[-3.350272931448012, 2.3135944944843505]], [[1.7468524630307942, -4.410676420561219]], [[-4.063358314167753, 2.0921572887894735]], [[3.868886102644369, -3.5605498409767895]], [[0.5044567308505863, -3.265962230960106]], [[3.2702939848822314, 0.9373245862997368]], [[-3.429240664317059, -0.45887898146014483]], [[-3.7741380996280713, -2.614400393182407]], [[3.3901352451483215, -2.8987395392702866]], [[-2.1900036928675486, -2.7011083552147515]], [[-1.5393802904864498, 3.1409964291338937]], [[5.0, -1.8726769494561264]], [[-1.5021848857421574, 1.8923289509069412]], [[-1.1282328766441119, 0.332624534156604]]]"
6,"[-3.868203029429775, 3.7378588326213347]",[987.53366754],[1.30366754],"[[-3.08442372 -0.49182773]
 [-4.94020497 -2.06968943]
 [-1.62607237 -1.8507024 ]
 [-4.27574223 -3.64906124]
 [-3.29045078  4.24630533]
 [-4.02456268  1.11209319]]",1002561.9256866989,6,0.6781263364089759,7.81323821194559,[-3.60340225 -3.56066289],986.23,"[[[-3.0844237187915624, -0.49182773133452784], [-4.940204969170125, -2.0696894267667574], [-1.6260723742768413, -1.850702399469053], [-4.27574223309596, -3.649061243835262], [-3.2904507775560274, 4.246305328830124], [-4.0245626829326975, 1.1120931917376096]], [[0.7670830342422041, 0.47734230666680677]], [[-2.964749729002893, 5.0]], [[-3.369122117385475, 4.2055999074288515]], [[0.44509769840912594, 3.715226686273703]], [[-3.2590457447221604, 0.5528791988357852]], [[1.6592399789402112, -0.3447313956952949]], [[-3.3865329106287403, 3.6298596270607972]], [[-0.09857652008294225, 1.216676306355917]], [[-3.868203029429775, 3.7378588326213347]], [[1.5622071503409056, 1.594862932968738]], [[-2.1934795941310945, -0.24202374333958812]], [[-1.7662124815678362, 2.51957857739955]], [[-4.496124319064012, 4.081252062492269]], [[3.0726176433872108, 2.2146335371418275]], [[-3.8381785935921116, 3.344619416021611]], [[5.0, -4.499228171058458]], [[-3.8996571197807812, -0.8439889811198279]], [[-3.4017735909808966, -1.3010879108801703]], [[-3.7799138810755117, -0.35751319680932386]], [[-5.0, 2.9668932373983266]], [[5.0, 5.0]], [[-2.154410192160313, -0.7919435495328946]], [[4.7442709085613055, 1.0933769695486606]], [[5.0, -2.8347069389916832]], [[1.0998722158673164, -2.9267363229296333]], [[-5.0, -5.0]]]"
7,"[-1.944718322818387, -1.309805123374779]",[125.96552522],[1.88552522],"[[ 1.88428874  3.02694856]
 [-1.26335045  3.9298466 ]
 [-0.88290488  1.20624264]
 [ 2.87467197 -3.12639745]
 [ 4.8195058   2.81350308]
 [-3.16023599  2.40899245]]",19707.85005603571,7,3.000787276954657,9.002206606059772,[-3.52272698 -0.56982016],124.08,"[[[1.8842887375444324, 3.026948562507739], [-1.2633504545823504, 3.92984660346492], [-0.8829048807828812, 1.2062426405521975], [2.8746719704469728, -3.1263974524237237], [4.819505795225448, 2.813503081369639], [-3.160235993247158, 2.4089924466463755]], [[0.40947965679281406, 2.7589352126086952]], [[1.1741446820722239, 0.8574275876833619]], [[-0.9554970725551023, -0.8721552571576885]], [[-0.3779901222935221, -5.0]], [[-4.750911754798553, -3.3233623752330743]], [[2.258056991240298, -5.0]], [[-3.9189003096324906, 5.0]], [[-4.090823354121139, 4.46518295534655]], [[-0.5357701450389012, 4.905637044802937]], [[-4.048399744976581, 4.597165167360873]], [[1.770752468354881, 2.908164963318832]], [[2.508665591028219, 3.1836138066141735]], [[2.196126054593654, 3.376079926556346]], [[0.01597398702623601, 1.1738938388746325]], [[-0.1969557490822608, 1.5638955401484254]], [[0.053231227856680094, 3.1196602153933504]], [[-0.31249237285294673, 0.893492385129094]], [[-1.7276701846659963, -5.0]], [[-1.101762708321195, -1.4480257951100193]], [[2.3130192114562855, 3.061967318890812]], [[0.2101593298566348, -4.626285867800579]], [[0.027108696827058684, -1.3314748834391852]], [[-0.14189354892458908, -4.20223464802844]], [[-1.944718322818387, -1.309805123374779]], [[-2.347776665602997, -0.7151743001215186]], [[-1.7420067292326937, -1.7446306467173505]]]"
8,"[-3.50778901322513, 0.9222612598418968]",[-466.26495052],[2.04504948],"[[ 4.83648067 -1.64153232]
 [-3.10943981 -3.07670482]
 [-3.49737111  0.69877535]
 [ 3.72818805 -2.64225027]
 [-0.06615582 -2.21486684]
 [ 1.90262968  0.814066  ]]",206746.2964163749,8,0.7035694892816833,8.17804762795543,[-2.88663302  1.04807323],-468.31,"[[[4.836480671931302, -1.641532315341471], [-3.1094398071305527, -3.076704817551782], [-3.4973711097929074, 0.6987753504536105], [3.7281880496452793, -2.642250273611145], [-0.06615581930457726, -2.214866835035526], [1.902629681944906, 0.814065995568761]], [[-3.4900305663854203, 0.5373853130414331]], [[-2.92464914467776, 4.2288622395682545]], [[-3.3959476344809714, 4.433637372965787]], [[1.647933745527343, 1.6914161472775575]], [[-0.1592806472334587, -0.9869206051251744]], [[1.3478137535970514, -2.2157658949254166]], [[-1.422330054444337, 3.839357259766208]], [[-3.449736389525864, -1.0281014865974802]], [[5.0, -1.0163739476537057]], [[-1.818781573707483, -0.9894203497456878]], [[-2.3583183222317334, -0.9559610664989313]], [[-1.1661698370636255, 2.839833178337856]], [[-2.2330331827686636, 2.7874618302681844]], [[-2.1422446797919643, -0.893967959060548]], [[1.5644693160566128, 2.8285680836478533]], [[-1.9414663397340546, 2.949599617907616]], [[-1.6863110894856739, -0.1682396498121696]], [[0.12727075584722625, -0.17560832621413297]], [[-2.808150412872582, -0.16371073735601632]], [[0.7851125896134304, -2.012391067618439]], [[-0.8426609477435489, 2.710879432736098]], [[-3.50778901322513, 0.9222612598418968]], [[-0.09092853754977089, 2.840883626976715]], [[-1.487219964462568, 2.577567633387606]], [[-4.264974348782928, 0.9012666573371836]], [[-1.4251595302103635, -0.34678482065564137]]]"
9,"[3.769826721286133, 3.754469754824002]",[-60.5851226],[0.0348774],"[[ 0.69565418 -3.45581224]
 [-2.22828949 -0.39983143]
 [ 1.68058805 -1.3584114 ]
 [ 1.80840375 -1.46228592]
 [ 4.10242587  4.78435143]
 [-0.42567075 -2.54877854]]",2253.3467840902304,9,1.2897302650506104,7.642558701340216,[3.78616363 3.53399854],-60.62,"[[[0.695654178402374, -3.4558122445585724], [-2.228289487246381, -0.39983143378717667], [1.6805880463359957, -1.358411402422972], [1.8084037500039516, -1.4622859150933687], [4.102425865354913, 4.784351433970956], [-0.425670748080619, -2.5487785444992426]], [[-1.7199766964031211, -0.5818599527500169]], [[-0.6663399137115086, -2.4581742365592407]], [[2.0209017366536997, -2.581071224161664]], [[0.6932301983620326, 0.5914840009675496]], [[-3.0743281954768005, 0.0938776121701884]], [[1.1739975987983495, 2.157818148314961]], [[-2.7188549437965777, -2.5654108068190333]], [[0.4807704105006098, -0.8890807396933252]], [[0.49718846598356364, 1.2629079914107546]], [[1.099569373542094, 0.4089688911760963]], [[0.54139684448583, 0.3283894583537258]], [[-2.5842412451283416, 0.4655810777063956]], [[-0.43769727505764094, -3.5647302526427165]], [[-0.3842140800053972, -1.740131335267435]], [[-0.05531525463282352, -2.485716233281347]], [[-0.1258689699459843, -2.255595515163795]], [[-3.6518942975283575, 0.2725647935156058]], [[4.756439558358421, 4.85186328907389]], [[3.593828577857756, 4.731840645844924]], [[3.769826721286133, 3.754469754824002]], [[3.5174237170950637, 3.417352523449006]], [[-1.3503997849233838, 5.0]], [[-1.727144933262842, 5.0]], [[-1.3704805382730052, 4.124190509333937]], [[3.817026629560343, 2.985645335209674]], [[3.3734891881906597, 1.8987379598410645]]]"
