,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-2.315936836379584, 2.1604754593946542]",[311.52811264],[0.90811264],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.01225931],0,1.3351862187308574,8.766835909213487,[-3.58617067  2.49428077],310.62,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[-2.2472606633376913, -4.365544969397705]], [[-2.2036744789606058, -4.999999999999998]], [[3.9136919265956216, 2.0720217220173174]], [[-1.8859023240934552, 2.0141571015327577]], [[-1.336639260234577, -3.1584837715895233]], [[-5.0, 2.158574906233847]], [[4.055245870551144, 2.79012304614882]], [[-5.0, -4.946178857685156]], [[-3.8125807683810677, 5.0]], [[-4.023948713380308, 3.0625270296122262]], [[-1.6901040755194534, 5.0]], [[-2.231687023885284, 0.7667888664357123]], [[-0.27161725810066933, -5.0]], [[-4.751417699596387, 4.606384564387244]], [[-1.638793734119461, 1.2381747134965275]], [[-2.459569569346538, 1.637749734589389]], [[3.4892044332764667, 2.6521919093824553]], [[4.21520657379792, 2.0713952350846974]], [[-4.628382705436124, 2.9932591802679784]], [[-2.646645068431043, 0.3803789248252438]], [[-1.7284158235035116, -4.318512208247238]], [[-3.3071310012825514, 1.2724743905485918]], [[-2.1637334379829425, 1.6810082973506724]], [[-5.0, 3.3161271101348166]], [[4.4821285484124465, 2.876626703813004]], [[-2.315936836379584, 2.1604754593946542]]]"
1,"[-2.2862290067918183, -1.5283223437876607]",[40.79165391],[0.01165391],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.0001714],1,2.6443644399087343,7.923332253721165,[-2.51487651 -1.78747656],40.78,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[-1.4207299482329947, -4.130493990541669]], [[-0.3048361277555113, -0.7658998014222318]], [[0.14881974286072794, -4.8205652576332465]], [[3.427641560468488, -3.902927822263509]], [[0.7550868834928641, 0.9847825646922059]], [[-2.9067127857662163, 3.1378113570537893]], [[4.734204540152171, -1.1070132150564975]], [[-2.2556634925269012, -1.3922608376202805]], [[-0.2354042074616269, 3.467337691975583]], [[-2.2862290067918183, -1.5283223437876607]], [[-1.2254490755841392, -0.27661636891233743]], [[-2.523554525526963, -2.738174981373886]], [[2.054752076243687, 1.1551626590748683]], [[0.7480150632053495, -1.7314508820369336]], [[-2.1937147720432497, -2.515885447130738]], [[0.838733151925931, -2.2723153748654052]], [[-0.5392561394159449, 1.6630013781677353]], [[-3.016728051650897, 1.8796302264955913]], [[0.5870171292060479, 1.490749277017493]], [[1.2055740336809602, 2.5096114568281305]], [[-4.196073576441935, -2.0969104816512427]], [[-1.0753946512261783, -2.998401880712469]], [[-3.428199163944932, -1.465636240689431]], [[0.4607667292031468, -4.539658806128194]], [[-4.255939746739704, -3.3289765289212374]], [[0.6165397439780284, -3.015601594099523]]]"
2,"[2.247532428161471, -2.1071047124454814]",[-1.25918971],[0.34081029],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.00489242],2,1.4741327412882548,7.719420428267949,[ 1.12844842 -2.01250113],-1.6,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[-1.1454927588338446, -1.2326010870691406]], [[3.726396022050121, 4.608918704930744]], [[1.9302546385395356, -2.9644809374636916]], [[1.8780852667100632, -0.850481302368257]], [[-2.450069707116522, -0.8356933917393682]], [[-2.5989227193523843, -3.3859375217822074]], [[-1.448239628877569, -1.7413296446641924]], [[4.36531160994326, 4.695625049335968]], [[-2.223964110721147, -4.017964244340017]], [[-2.684140284824572, -2.824480757900223]], [[-1.6058017241524964, 0.7184289065171211]], [[-1.6954248250548172, -3.4554465299066615]], [[2.2161151432526163, -2.204309878755835]], [[4.040438500091958, 4.337516244430651]], [[2.32959833743832, 5.0]], [[2.2073172213732497, -5.0]], [[-1.761574104278217, 0.9294922292602746]], [[-2.6864789695651354, 0.8911649487725776]], [[3.499802168896646, 4.804862085346039]], [[2.1456208693571033, -1.1851162482852284]], [[2.302766072139744, -2.5225053584607444]], [[-1.6740402803879797, 0.25261844780268067]], [[-2.771930575850953, -5.0]], [[2.247532428161471, -2.1071047124454814]], [[-1.5869182493744605, -1.5316477481787627]], [[-1.4339350568815101, -5.0]]]"
3,"[-1.3977213805695374, -4.157253064303834]",[-369.38716929],[1.45283071],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.01818498],3,2.2605706293895027,8.783900529197975,[ 3.11464116 -0.80875318],-370.84,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[-4.943076816187345, 2.7405603859648275]], [[-4.948324462851851, -1.850826609876203]], [[-0.8199583802984644, -4.230403368740709]], [[-1.1412986256452915, -2.808209808099682]], [[-5.0, 0.7753662479694565]], [[-3.168580107933975, -4.152065467867131]], [[0.6663558955218355, -4.054007263842319]], [[-4.433070602009772, 0.08075210228073366]], [[-1.3977213805695374, -4.157253064303834]], [[-4.531997936816713, 0.4223148359089091]], [[-1.6900322424703142, 2.766894374171061]], [[-2.9626378711271886, -3.8248262342211703]], [[-3.7120347881216897, -1.5942264272221711]], [[-5.0, -3.694934854362344]], [[-3.0674176626504464, -3.5980699661558737]], [[-2.9405862117968398, 0.37643764218820425]], [[-2.061143522205203, -4.313271114373624]], [[-4.447627540014191, -3.9179251321891018]], [[-5.0, -4.085298595907247]], [[-4.067999304592936, -3.5084259225143146]], [[-2.099596357170684, -4.085433524239661]], [[-5.0, 0.3771232251741211]], [[-1.3140205932897608, -4.173766897553139]], [[-1.369634252334667, -2.582723679271122]], [[-0.760431896879475, -3.6767147938845435]], [[-4.331211177977547, 4.360867595576785]]]"
4,"[1.3002782384793021, -3.0066530893027275]",[-32.55650845],[0.00349155],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[5.15416593e-05],4,2.4413762811713524,8.499838334332573,[ 1.05007547 -3.25449816],-32.56,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[3.9044258046649354, -2.0111986762852885]], [[3.2164961031372137, 0.2606908054320005]], [[1.8771706465607696, 2.7611422909074603]], [[-4.793798203945904, -0.22061498484026967]], [[-2.1263411024702186, -2.395913203961627]], [[2.431382632640558, 4.828577269553319]], [[1.4368621314083048, -2.722814122683431]], [[1.6038903774472157, -1.0089396191004913]], [[1.2652599280112917, -2.076490556793073]], [[-2.4552007037168466, -3.658313785204715]], [[-1.1206084771295277, 2.753242292902396]], [[2.7919508555916845, -2.7846377291184714]], [[0.01653958154070565, -2.6692566422804465]], [[4.984538518419293, -0.30601801382209876]], [[-3.306531092444195, -4.810957178144779]], [[-4.4482424052153196, -2.7346736866225383]], [[-4.526256513225064, 0.2635158382190078]], [[-4.63830478761324, 0.00795291789762937]], [[-4.131134921552147, 0.16918759903136402]], [[1.5598347102816088, -2.984478081386095]], [[1.583878334348474, -0.4695635438899295]], [[2.0334928681619533, -0.8632512013450108]], [[-4.9091458160849735, 3.321615361132065]], [[1.3002782384793021, -3.0066530893027275]], [[2.1176619000703933, 2.2293997448769676]], [[2.680358281283845, -0.19392762302626276]]]"
5,"[1.9599105154772487, -3.5016089602165175]",[517.25084743],[1.85084743],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.02501612],5,1.5083684053799946,8.596146440440748,[-3.47257317 -0.72865779],515.4,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[-3.00780634170995, 3.3309607765966693]], [[2.0796558797558133, -2.5486449282194945]], [[-3.118940343727403, -0.22159448148487373]], [[3.8003931882071127, 1.6504363619951345]], [[1.9599105154772487, -3.5016089602165175]], [[3.9328068385188213, 3.8181645975910357]], [[1.841972224064834, -4.019035404156244]], [[4.042209361713821, 3.564911458388333]], [[-3.294090964344463, 2.414807350588456]], [[-2.115604489850781, 1.5115616440993334]], [[-2.591250143949983, 0.01966339675503033]], [[0.5546539007875646, 3.5732931327641024]], [[-4.167969754906251, 2.423140812078523]], [[0.3179011141177154, -3.1201203605083654]], [[0.021554910126038808, 1.1240475378241286]], [[-0.22062969616353176, -4.182757663433453]], [[-0.6485086188654682, -1.1032321294808538]], [[2.9637111735320483, -4.484337864194841]], [[-3.698969223291015, 4.643605152000334]], [[1.215126980101294, 0.09966778840554678]], [[1.0876988106187613, 0.223566166231309]], [[3.3461536868289476, 3.445057138131253]], [[4.382604725184392, -0.8718028382062702]], [[4.520475554748931, 1.2463145177323762]], [[-3.8404431137640955, 1.7616652674959665]], [[-3.5553196051604363, 4.905604849421879]]]"
6,"[-1.051481520065272, 1.0243492849957063]",[988.08866862],[1.85866862],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.02706322],6,1.887458575050393,9.611138536717613,[-3.60340225 -3.56066289],986.23,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[3.3425790415932806, 3.5407673001377358]], [[-1.0806483852491926, 2.5526938707135067]], [[-2.2283022781593793, -4.481874247612933]], [[-4.97114623964924, -3.6158231474821534]], [[-3.8100127073872443, -0.032074502808929636]], [[-1.7150770671306368, -1.7081702307384832]], [[-3.546021241394827, 1.8263288626051883]], [[-0.2091630946158666, 3.993982394278294]], [[-1.6623480479442674, -4.59601706000808]], [[-1.6919663722722849, -3.702851738350286]], [[-3.0349608958556007, 3.2681360321344872]], [[-5.0, 3.7484478513092863]], [[-5.0, -0.5655880079982274]], [[0.8635237859506658, -3.456452545998986]], [[0.19782379263300198, 1.4133947463030525]], [[2.0749279871549797, 1.2622249475363032]], [[-3.2217511655023037, 4.800976537497016]], [[5.0, -5.0]], [[-1.051481520065272, 1.0243492849957063]], [[-1.212104960264199, 0.38168197787617103]], [[5.0, -0.9345231814499411]], [[5.0, -2.6582532112696677]], [[5.0, -3.31181332847214]], [[4.32537372267432, -2.1622587057518197]], [[-0.552302404996092, 0.8112809936792933]], [[-0.941278280985157, 0.8574532558685406]]]"
7,"[0.5588574983025392, -5.0]",[125.93912791],[1.85912791],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.02819518],7,1.3647681536266312,8.620323395154372,[-3.52272698 -0.56982016],124.08,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[-4.94262234171999, 2.9174904737728635]], [[-0.9062261336221592, -0.3961913070391396]], [[-0.2303156631178411, 0.9419709226583035]], [[-0.40344169505223404, -2.0468364786970925]], [[0.15359842130777554, 2.7061208687208573]], [[-4.3474557545092685, 5.0]], [[2.1597466827005265, -5.0]], [[0.13637811742493292, -5.0]], [[-1.1218643533438666, 5.0]], [[-1.2924541789677273, -1.663914659149048]], [[-4.263632614864042, 1.7037209990494653]], [[3.1530512100775603, 5.0]], [[-0.32341535494435486, 2.4109557603244216]], [[-5.0, -1.631697476866155]], [[-0.2986400665178201, -5.0]], [[0.5588574983025392, -5.0]], [[-0.9582358420350541, -2.9181514789688503]], [[-1.6046578519424337, 0.15744962474832064]], [[0.8089205937378361, 4.3395762305101355]], [[-4.164090690399138, -2.065216711183479]], [[-3.519822540415533, 5.0]], [[-0.036292687799324125, 0.023977770237170824]], [[-0.006119718655440908, 1.1637978935264695]], [[-0.45815672003630387, -0.14914623599558421]], [[0.9950400820165927, -5.0]], [[0.11899351867026843, -3.8808242588137913]]]"
8,"[-4.1827749191497965, -2.936238858219515]",[-466.84639235],[1.46360765],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.01815223],8,1.830960815961191,7.893302344746656,[-2.88663302  1.04807323],-468.31,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[4.879644117601504, 3.873927462469082]], [[-1.5360566675536378, -4.01433822899912]], [[-3.9218280209245577, 4.409939106260368]], [[-3.604832848624034, -1.4762627814448914]], [[4.499138347716718, -1.8172722033921775]], [[2.2365379195618775, 0.4668582848416663]], [[-5.0, 1.304273623256695]], [[-5.0, 0.6268620615132743]], [[-3.8179871338563514, -2.866510327237141]], [[2.8533875775075725, -3.0599696547342057]], [[5.0, 1.9659478577503755]], [[-5.0, -2.629628759883032]], [[-3.4396651265267004, -2.4094800844686346]], [[-0.9644195782379563, -1.9620307107924173]], [[-4.077793371874125, -2.1805512280933517]], [[1.6310081232386981, 1.5114604440306647]], [[-4.181237165485909, -1.1012320555786077]], [[-3.670299504676886, 0.4221398932656299]], [[4.347902666547886, 0.029239042456205573]], [[-1.5111642672578354, -1.1802238946184047]], [[2.0281478957661667, -0.9206639604372999]], [[4.188202602614593, 5.0]], [[1.8066741330821152, -0.409251498169952]], [[-0.8114811964014788, -0.7834996831256456]], [[-4.1827749191497965, -2.936238858219515]], [[2.488096210467157, -1.0371378168432415]]]"
9,"[4.778116896656232, 0.3632419533619409]",[-59.82912433],[0.79087567],"[array([-4.5635417 ,  0.31295774]), array([ 0.86761907, -0.56162712]), array([-2.38241553, -5.        ]), array([-1.23888036, -4.10361497]), array([-4.87617551,  2.83867844]), array([5.        , 0.72366364])]",[0.01159224],9,3.0612711416180867,10.529981007910214,[3.78616363 3.53399854],-60.62,"[[[-4.563541697932738, 0.3129577389552469], [0.8676190680743958, -0.5616271190387705], [-2.3824155339925417, -5.0], [-1.2388803590254855, -4.1036149684134235], [-4.876175512713944, 2.838678436177943], [5.0, 0.7236636371530922]], [[4.443125839359772, 0.3149739865582799]], [[-1.5470380019432506, -4.761547444479851]], [[-3.7753511715103674, 2.826255405990163]], [[1.2148464630854603, -1.0997009600749355]], [[-4.532680011026753, -1.6579977375817876]], [[0.5086710370593064, -1.7803810856805202]], [[-1.9128157236900165, -3.576080610690541]], [[-0.46754903583816176, -0.18703401093217575]], [[0.2836375145968224, -1.7805606565698686]], [[-2.379553736376394, 2.8408131908237975]], [[-3.0616456763322546, -0.16699749815360318]], [[-1.506687258219509, -0.10730675980480671]], [[4.328500801371933, 0.6823434036201809]], [[-1.164450036479858, -1.831176906021808]], [[-3.090485345146076, 2.787252368251109]], [[2.6845449989705785, 2.5132988757708667]], [[2.0093348044780384, -4.123216902165074]], [[4.778116896656232, 0.3632419533619409]], [[1.1944112231510218, -4.186111366799469]], [[5.0, 0.16586723574092174]], [[-3.3060262158719698, 2.999773104802829]], [[4.94438304826717, 1.002127890780619]], [[-4.080869566116964, 2.4548166728003884]], [[-2.680262091236691, 1.4677289773923268]], [[-2.688423997359467, 3.4766116718152813]], [[-0.6765765616068089, -3.718225966777304]]]"
