,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-0.9315264371581047, 2.3074037263102665]",[8226.97792921],[7931.79792921],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[1.90404444e-06],0,1.0073488549366574,9.279213269843712,[-1.7768 -2.512 ],295.18,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[0.30734749062686206, -3.0288726228914786]], [[4.840947317761698, 4.308754733396796]], [[0.22665736644768222, -2.9726875662402192]], [[-5.0, -3.070941197464207]], [[-5.0, 2.7459922656972617]], [[-3.759291222658966, -4.312409379359343]], [[4.818221316800578, 2.096515217787953]], [[-1.596277443761342, 1.6278221885561854]], [[0.5477420336696832, 2.0345757793895376]], [[-3.4351952394092673, -2.0586553398431455]], [[-0.7523356047674226, 0.06395903561578944]], [[3.686581335715628, -4.406361310261982]], [[2.2112051123923644, 4.335242510631452]], [[5.0, -5.0]], [[-1.0917773897019125, 1.2980168891847508]], [[-5.0, -5.0]], [[-1.439326393823799, 5.0]], [[-4.589081813667724, -3.866713816370205]], [[-1.492298514700715, -5.0]], [[2.929680459726169, 2.7944542859161827]], [[-2.30758181301031, -1.9000025312334399]], [[-2.470355737723989, -5.0]], [[1.0722348181932748, -0.7958349001406503]], [[0.1773082020264437, 4.270532975511281]], [[-0.4502740372153488, -4.294597061467274]], [[-2.027719506369148, -0.32976398284912317]]]"
1,"[-2.653217596181189, 4.012202919439514]",[267.36218066],[888.47218066],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[1.49826327e-08],1,1.6842601433643931,9.34572225165501,[-0.892   3.9912],-621.11,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[3.8937316386813756, -2.588913363775666]], [[-5.0, 5.0]], [[-5.0, 2.96326841327679]], [[1.1482805160359026, 2.5947825615624933]], [[5.0, 5.0]], [[-5.0, 4.653038831749223]], [[1.9868994695066995, -0.8084968913738999]], [[2.3223062672519648, 3.4995081241795205]], [[-5.0, -1.113818717791541]], [[-5.0, 3.8275720906988444]], [[-3.059099548014905, -2.301726834601839]], [[3.6682549697981375, 0.8842933773400349]], [[-1.5985540289122682, -0.4173234750561223]], [[2.328912272732848, 1.1826574082748917]], [[5.0, -3.859940977171636]], [[5.0, 0.20879648591353764]], [[5.0, 3.012613543058812]], [[-1.6398031540402653, 5.0]], [[5.0, 1.49464970475718]], [[-2.653217596181189, 4.012202919439514]], [[-1.3356148058813422, 2.0794421022750287]], [[-1.9245543644460332, 4.831346888591195]], [[0.31378157700443143, -0.8181341604855499]], [[-4.150334168583655, 4.8351505342939465]], [[2.849932341652365, -1.03398892845059]], [[-5.0, 1.6266762796566188]]]"
2,"[1.7037577024927784, 4.061353034199758]",[-170.63826615],[84.18173385],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[4.80553945e-10],2,1.2609218638987774,9.005055404820261,[3.7408 3.7608],-254.82,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[-1.2320052018900822, 5.0]], [[2.4288404077621766, -2.8477104923261143]], [[4.665912115691901, 3.603902090697932]], [[1.8161239502334932, 5.0]], [[4.684435479427927, -5.0]], [[0.24994802045904257, 3.7558553388445173]], [[-5.0, 4.100206477029802]], [[3.9084392209031016, -3.2350947562892274]], [[3.95843692076205, 5.0]], [[1.833043754850971, 2.839504252729181]], [[5.0, 1.8729247461513132]], [[2.821185521724383, 4.679031933604747]], [[-1.3214009319373532, 4.046062029858164]], [[1.347452340426125, 1.6834345255296848]], [[-0.34348728260340045, 5.0]], [[5.0, 3.090198441881752]], [[1.7037577024927784, 4.061353034199758]], [[-5.0, -2.731341140242432]], [[-2.7070360440937242, 4.494305410189958]], [[-4.483433958085341, 5.0]], [[-2.631774930985925, 5.0]], [[3.2679637942663096, -5.0]], [[4.225940908525891, 1.025347034496823]], [[3.6398015672369026, 1.556759908303945]], [[-3.612569094938556, 3.905193984365104]], [[-1.8152376011685547, -2.0649455769268954]]]"
3,"[-5.0, -1.2808017496998085]",[59.66125937],[3.05125937],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[3.01709215e-11],3,3.091062660078911,10.753835267473525,[-3.8512 -2.2808],56.61,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[5.0, 1.073504558076928]], [[-5.0, -4.468582110891564]], [[-5.0, -5.0]], [[-5.0, -1.9920681346609153]], [[-5.0, -3.6955151786409886]], [[-5.0, -2.6793467983115318]], [[-3.0142601988649855, 1.3352933512831455]], [[-1.97887415777462, -5.0]], [[5.0, 1.7993183718743129]], [[-5.0, 0.1701493689666113]], [[-5.0, 0.7897950293529958]], [[-5.0, 2.1775197832799744]], [[5.0, -4.003111155855331]], [[-2.7333004004754633, 4.41946644314546]], [[-5.0, -0.6918474868016931]], [[5.0, -0.35861154703150006]], [[-5.0, -0.27513425727467655]], [[-5.0, 5.0]], [[-5.0, 4.725325948561952]], [[-5.0, -1.2808017496998085]], [[5.0, -3.433194145209697]], [[5.0, -1.05739398093667]], [[-5.0, 1.200202676456977]], [[5.0, -4.768589110682941]], [[-5.0, 2.737032657787042]], [[5.0, -2.096334058215812]]]"
4,"[0.8758527993002796, 0.44139124189405365]",[2180.74282273],[2198.84282273],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[3.86226845e-05],4,1.6195555728070616,6.449718019221273,[-0.6144  0.7192],-18.1,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[-1.055663077562372, 1.3978038621139248]], [[3.6520725932691547, -1.9879730853910325]], [[-0.08235649392781218, -0.046406512724381864]], [[5.0, 0.12579083985889897]], [[-5.0, 1.2082746421852748]], [[5.0, 2.1555412324602305]], [[-5.0, -4.342354369929851]], [[2.676322151946513, -0.08779384725450307]], [[-5.0, 5.0]], [[3.7483878416698246, -4.739929035586067]], [[-2.041421455484238, 1.2808135876287456]], [[-4.929168971075457, 3.6379696031783317]], [[1.0714817898002904, 3.54301808561231]], [[4.038473565298959, -0.2433778456830541]], [[2.7808959417415036, -0.5907946539286666]], [[0.9644118411739688, -3.4227193668494493]], [[-4.501121205167765, -0.2391808414033978]], [[4.713678733468999, 1.0999796692856334]], [[-4.199131817180547, 1.5936435278538899]], [[0.33504619193077545, -1.1696746520543488]], [[-4.0377496380741675, 2.780786198625441]], [[1.7884688174762395, 2.096601476129255]], [[4.38179650668576, 0.1314090598752813]], [[-2.9833028103584924, 1.362276469703655]], [[0.8758527993002796, 0.44139124189405365]], [[3.5454691600416783, -4.155240206237208]]]"
5,"[-5.0, 2.09920515110603]",[1654.34894766],[1616.57894766],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[8.72850568e-07],5,0.2527406938906791,7.535610055873037,[-0.9792  2.0592],37.77,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[4.9161826638402815, -2.5130009285124477]], [[-5.0, 1.3593149225583399]], [[5.0, 1.8449688300930902]], [[-5.0, -1.5116860124696014]], [[-5.0, 2.09920515110603]], [[0.7004658684804831, 0.9330029141817674]], [[-5.0, -5.0]], [[-1.7161285830912547, 1.713902459146022]], [[-4.747212677812263, 0.007383425745563436]], [[-0.14767933336704026, -4.293221976977907]], [[-2.3313008174166794, 0.5640995307650846]], [[-5.0, -0.7830102067785984]], [[5.0, -0.020892225847857847]], [[-3.9705156337516603, 5.0]], [[-2.1070575753853467, -1.049104338981524]], [[-3.200993163578183, 3.950201278278465]], [[-5.0, 4.618863004849963]], [[-0.23480213624668292, 1.6409330943853369]], [[-0.525752711182142, 0.07696844327290196]], [[1.3537852051272974, -2.5776462995233365]], [[3.8240666378101653, 0.5163567425620801]], [[-2.2351586334538243, 2.6565273646245418]], [[-4.0854866045251645, 1.4376707975391545]], [[-2.1706774418160064, -5.0]], [[1.308757588998172, -0.05028442162846236]], [[4.0890302059730175, -3.8001162155123094]]]"
6,"[4.702129422445383, 0.6459052700217103]",[1013.53945565],[1028.76945565],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[1.58119742e-07],6,2.7380959340301017,6.765656769720064,[3.576 1.488],-15.23,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[-1.9318067395729663, 1.9363490727857542]], [[1.0904872207374936, 3.1460385332090124]], [[5.0, -2.0069391526703857]], [[4.225196757372548, 1.1068549007863713]], [[2.8253627494333466, 3.095577923648736]], [[1.038344318141227, 5.0]], [[-4.418367698530509, 2.41037444455687]], [[4.129276600848738, -5.0]], [[1.8258365294294094, 4.592820412064127]], [[-2.0893991324498464, -5.0]], [[-1.9208634123366335, 4.825508229695708]], [[3.8043162629879235, 5.0]], [[1.4348780264603678, 4.263323992364958]], [[4.702129422445383, 0.6459052700217103]], [[5.0, -4.125145567928121]], [[-2.2342171415493612, -3.7477785887065846]], [[0.10601838233174021, -2.0583811878013836]], [[1.3276575926812697, 0.2227393003001363]], [[4.958855882901798, 2.149779475348418]], [[3.889531599083206, -3.1890275660426495]], [[-3.93234204434639, -1.4292122609071733]], [[-4.445373008888158, -3.7679772411943335]], [[1.8328359039008593, 0.9915013187999397]], [[4.373334600661311, 4.097678181332752]], [[-2.343895859103191, 3.303625892029716]], [[-2.1254998554580116, 4.632546801058444]]]"
7,"[5.0, 1.6645549927295058]",[2950.15928812],[3111.58928812],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[8.91431933e-06],7,1.595398713369067,8.725947165313709,[ 0.5056 -3.6528],-161.43,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[-5.0, -3.8796397633736213]], [[-3.8597922024811173, -0.4137207646422412]], [[2.189866824441169, 4.940300471069549]], [[4.693739843725297, 2.996614796499271]], [[1.9024902660612102, -1.0228821725985429]], [[2.883445564651461, -3.6616895298386916]], [[0.9453026317299851, -3.4630181554265573]], [[2.928165028919686, 3.554837820298787]], [[-0.585628129507367, -1.3103679923515201]], [[4.7749424685923705, 0.2295177799148881]], [[-5.0, 3.8871259696362834]], [[-3.45134274674412, 5.0]], [[2.797949979125613, -0.3275767587623556]], [[4.121885527079368, 0.15723186895945543]], [[-2.1280173908748723, -3.8182794290306554]], [[-2.0183225655418306, -1.3632150214553431]], [[5.0, 1.6645549927295058]], [[1.4032259544052825, -3.589371020590494]], [[3.728657490070527, 0.36701477496191076]], [[-0.6973975048938585, -5.0]], [[0.8984330658244608, 1.3087583382962324]], [[2.1548778703628972, -1.8751582942756324]], [[2.881844954627356, -3.644117134967757]], [[-1.334685000927999, -5.0]], [[-0.3041135044452925, -4.360287663609587]], [[0.0564122008521939, -4.673615713656596]]]"
8,"[-2.916400548546673, -4.021340718271419]",[1293.71990943],[965.68990943],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[1.07126245e-06],8,1.847300155582195,8.46458208581565,[3.224  3.3184],328.03,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[4.4366617264734725, -2.982500915588382]], [[-5.0, -5.0]], [[2.919034301915468, 3.2283258530153702]], [[-2.209226234628593, -2.524664248976676]], [[-3.572928293924156, -5.0]], [[-2.916400548546673, -4.021340718271419]], [[4.502290299204607, 5.0]], [[1.2534508267951896, 0.8519042278972137]], [[2.0028209721672496, 2.6264494261687634]], [[-0.8957814474520633, -2.6665507490601468]], [[-1.7903257607200718, 3.5551852564230093]], [[-0.9946504814609168, 0.24793023285806706]], [[-5.0, 1.0518547706514434]], [[-4.0259014435514455, 2.3329572361055986]], [[4.065359998359931, 4.329208659439632]], [[5.0, 5.0]], [[3.5066803501727977, 2.0586407892150387]], [[0.5911896757051729, 1.2946989203571333]], [[-5.0, -2.851110528656252]], [[5.0, 0.6062374599760393]], [[-2.137921067850983, -3.996943497045065]], [[3.777624412151476, 3.641630909948476]], [[1.377832352328848, 0.00990410518004743]], [[2.2796599473372847, 0.8286169921334291]], [[2.194555939398973, 1.985235588491125]], [[2.7957146998811897, 5.0]]]"
9,"[-0.9784297052902168, 1.7907514240272728]",[213.12313828],[245.25313828],"[array([-0.79220632, -2.72490141]), array([ 2.88876123, -1.5640892 ]), array([5.        , 3.82667342]), array([-0.93152644,  2.30740373]), array([ 5.        , -2.45528817]), array([ 1.65767585, -5.        ])]",[4.30878351e-07],9,1.8758085195536414,6.821157315088544,[0.8672 1.7752],-32.13,"[[[-0.7922063240902708, -2.7249014065260293], [2.8887612261873508, -1.564089200225125], [5.0, 3.826673415411433], [-0.9315264371581047, 2.3074037263102665], [5.0, -2.4552881740947776], [1.6576758549038382, -5.0]], [[-0.8371215750395731, -2.789574284130905]], [[-5.0, 1.2017994251481356]], [[5.0, 1.6269552495922632]], [[3.5999958707694617, -4.424176772856764]], [[-4.366655214630731, -4.912251207084814]], [[-5.0, 1.9291877441764675]], [[-5.0, 0.01837634872218347]], [[5.0, 2.295382556712117]], [[-4.283364430050337, 3.7637106247186463]], [[-0.7273215845186985, 1.0907605883529203]], [[-5.0, 5.0]], [[-0.9784297052902168, 1.7907514240272728]], [[2.078947428305924, 1.6360927809094117]], [[5.0, 0.11753604411862642]], [[-5.0, 3.1595820110803023]], [[-5.0, -2.603304707613316]], [[-1.5332231209781821, -0.33157290459034516]], [[2.530702035285885, 0.5063393857479589]], [[-3.29830797185441, 2.5418388358196986]], [[-0.9860813420702621, 0.7740467009953466]], [[-1.1883876247217122, 4.927038977903066]], [[-4.067833300817492, 3.2797886105361123]], [[0.781474237510446, 1.6183387854001194]], [[-3.59316844261062, -1.5179656182141796]], [[-2.7736923832283593, 5.0]], [[1.1742033229591604, -0.2794750902593019]]]"
