,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-2.100048230677825, -1.3514068121262512]",[12854.70379855],[12559.52379855],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",5.963088064849311e+16,0,1.9900622057833688,8.36655506012492,[-1.7768 -2.512 ],295.18,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[4.917461109357697, 1.391624597242891]], [[-5.0, 5.0]], [[-2.2258680619550177, -5.0]], [[3.742718700066046, -5.0]], [[5.0, 2.839638259952066]], [[-1.6088789431010877, -1.946164643408525]], [[5.0, -3.134696916834682]], [[1.5853423842864665, 2.2067297618803887]], [[-1.0033077342019465, 0.152103399623097]], [[-3.681740207486385, -5.0]], [[3.4779698670809536, -1.0705418600519865]], [[1.42314989828449, -5.0]], [[5.0, -5.0]], [[-5.0, 0.5568658805717666]], [[-2.100048230677825, -1.3514068121262512]], [[-0.16116072142523294, 1.289950509288474]], [[-2.3266580265263377, -3.775708509341911]], [[-3.6149957049321104, 1.1604388012444193]], [[5.0, 5.0]], [[5.0, -0.07829518957694848]], [[1.2437237232733813, -2.8805181123793444]], [[5.0, 4.16460818052618]], [[5.0, -1.910739903133282]], [[-5.0, -3.0958055998690805]], [[-0.7059591578709352, -0.49004596123992983]], [[1.0089119325680644, 0.43159354025361757]]]"
1,"[-3.324760906271683, 4.0642379357609535]",[6631.38617084],[7252.49617084],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",1.822327221037523e+20,1,2.16877219824058,8.538123702820364,[-0.892   3.9912],-621.11,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[-5.0, -0.04643248178233762]], [[5.0, 2.6971945467592766]], [[-4.085820891901346, 1.1858846336492994]], [[5.0, 5.0]], [[-5.0, 4.781603247277815]], [[5.0, 4.491310160574196]], [[5.0, 1.7814160129238503]], [[-5.0, 3.2204044343234006]], [[0.028240733406132534, -1.2888867442674456]], [[-3.4575081971346115, -1.6228381928443392]], [[-3.324760906271683, 4.0642379357609535]], [[-5.0, 2.344366484258356]], [[-4.403490933897589, 4.389510236579618]], [[-1.5460440567876779, -0.26737022790605103]], [[-2.642674376524332, 1.432449642010142]], [[-4.5171340588356825, -4.870675975594882]], [[-1.1155806270650812, -3.7156184086829604]], [[-1.5293201237858778, -0.3702283470280019]], [[-2.594852368159822, -2.2010263987155723]], [[-5.0, 3.6222512210689657]], [[-4.885276781812165, 0.8146787836210767]], [[4.04217796779829, 0.47084547283810246]], [[1.4583059882993643, -0.6435505801419303]], [[-1.524671529549816, 3.0689219173554005]], [[-0.06342583982598579, -0.611440144894]], [[3.223576183472804, 2.261882561224702]]]"
2,"[3.8299379717074213, 3.6979704420162935]",[3692.74130201],[3947.56130201],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",2.6085046644927018e+20,2,0.10905563422648515,9.116301630200832,[3.7408 3.7608],-254.82,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[2.810301010094765, 0.6611946500490395]], [[3.280827377023536, -1.4892912793018338]], [[3.014658016013196, -4.523740160836457]], [[3.567236806211116, -2.72471099808999]], [[-0.09493158743189414, -0.27218623117089014]], [[4.147293404151441, -3.518379538541309]], [[1.090349675981741, -0.13402145131088553]], [[-0.7569002808645867, -3.116420092561884]], [[1.7462204097291214, 5.0]], [[-2.6075684428818837, 5.0]], [[-2.174671096077859, 5.0]], [[0.09480531927811169, 5.0]], [[-2.407576205594864, -5.0]], [[5.0, 5.0]], [[3.700613726832054, -4.528024756943593]], [[3.8425879846448443, 4.353239132322086]], [[2.4518615826854937, -4.225251541768875]], [[5.0, -1.8250222668847018]], [[-0.2425998974214087, 1.3012983976732277]], [[5.0, -1.3295444951570508]], [[-2.6584265488079657, 4.420832579526025]], [[-1.0425207234862173, 3.8859384880450345]], [[-4.763206717349524, 1.381513420185975]], [[5.0, 2.888329886556969]], [[4.385134266486854, 1.842294060620162]], [[-5.0, 5.0]]]"
3,"[-0.2809807167051468, -5.0]",[132.8762364],[76.2662364],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",1.0620560140971762e+20,3,0.6670797126905142,9.733733946370904,[-3.8512 -2.2808],56.61,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[2.247450489067374, 0.30720539234342775]], [[-5.0, -5.0]], [[-1.5410935703982467, -4.449067240325453]], [[-0.18623893625487553, 1.299257795080286]], [[-5.0, -1.347973058462217]], [[1.9468801800224054, -2.805268712714644]], [[4.895868244728043, -2.315243674631621]], [[-1.7778727512778945, -4.768606447778709]], [[-5.0, -3.2485061707916016]], [[-1.190360193377237, -4.109685954154571]], [[5.0, -5.0]], [[-4.405442599216886, -4.258512254135853]], [[-1.901022768754419, -2.092891814313674]], [[-3.599220818872065, -0.7856318081403147]], [[-4.118278420262252, 1.5619013529325216]], [[-1.3996071160749868, -0.8909532727186914]], [[-4.5791753856343105, -1.5098140518113572]], [[4.614079910702736, -0.2464247609325068]], [[2.459241544668019, -5.0]], [[0.5067557899338309, -4.650645889729032]], [[-2.534033014155863, -5.0]], [[1.7064659838949507, 5.0]], [[-0.2809807167051468, -5.0]], [[2.631447661063306, 3.3969039299365344]], [[1.2317230722590329, -1.311849190152045]], [[2.8979170417860707, -5.0]]]"
4,"[4.271005994047273, -0.32494763677517]",[549.59310001],[567.69310001],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",160205404945230.34,4,1.1916972452742254,5.587700847357684,[-0.6144  0.7192],-18.1,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[1.2327903009200234, 0.49464098222791336]], [[-4.4444979365213, 0.25703284308092417]], [[4.555621384448318, 2.1026544767525968]], [[-3.540312978370117, 1.6689877944428808]], [[0.38779725747057314, 1.7366091870944704]], [[-2.072392808809257, -2.679066324285198]], [[-1.6994120667043635, 1.5445406710935055]], [[-2.800056721375443, 1.6092099271132305]], [[-0.6182853849134244, -0.6155901566574857]], [[-5.0, 5.0]], [[1.9024596743611724, -0.07795455051002818]], [[-5.0, 4.211026400711354]], [[5.0, -1.1911331706685773]], [[-5.0, 3.2246224354353847]], [[-3.6566674542840696, 2.1462088012191507]], [[5.0, -0.6174369877631672]], [[-2.333621734716757, 5.0]], [[-5.0, -5.0]], [[2.9328051767217147, -0.9373535583927605]], [[5.0, -2.394692212358136]], [[-2.721989052207564, 3.11409073624675]], [[5.0, 0.43526870127777034]], [[1.562485956059393, -2.385290231085939]], [[-0.6183386399486581, -4.3403988527351824]], [[3.6411140415679153, 1.8177228113651234]], [[4.271005994047273, -0.32494763677517]]]"
5,"[-3.881073014742685, 1.9733633464193472]",[7414.12196492],[7376.35196492],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",1.6679180796142722e+16,5,0.632081456923954,6.892904904260563,[-0.9792  2.0592],37.77,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[-0.03459740942988488, -1.7628776743339571]], [[-0.611225970827443, 0.5526094752286583]], [[-4.759636318149549, 5.0]], [[-2.8675843192731265, 5.0]], [[-3.881073014742685, 1.9733633464193472]], [[0.6659276312687026, 0.32931237495978716]], [[1.7957114767125124, -5.0]], [[0.7741888376565155, 5.0]], [[-1.996456519984469, -5.0]], [[-1.345262937814002, 1.4887101950878896]], [[5.0, 1.4030463865531524]], [[-5.0, 2.8321466953475802]], [[-5.0, -3.361199811459817]], [[5.0, -2.3000864275109203]], [[-3.16848325266735, 2.3137441076514556]], [[-5.0, -0.10294074402289409]], [[-5.0, 2.3935516509695414]], [[-1.779189405779921, 3.595663618000702]], [[5.0, -0.22804265091811818]], [[-5.0, -5.0]], [[-0.1178330442232822, 1.256802154903707]], [[3.878816547144234, -0.0974984740640696]], [[-4.339640349356664, 2.421273286515244]], [[-1.4316671484607835, 2.4490140259387023]], [[5.0, -5.0]], [[-3.472784716960694, 3.9439600006035467]]]"
6,"[1.1516952204265103, 5.0]",[450269.23195504],[450284.46195504],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",5.7167452104378886e+17,6,2.2245120471826105,7.822742215698168,[3.576 1.488],-15.23,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[2.4343963181946573, 5.0]], [[5.0, 5.0]], [[0.36588770713581814, -5.0]], [[1.1516952204265103, 5.0]], [[-1.3396280657639303, -5.0]], [[4.8142270883013945, -5.0]], [[3.8880614221439007, -3.7212298374377637]], [[-1.4401833117604546, -0.5421393233141121]], [[4.350376491538265, 5.0]], [[0.7491968695650444, -0.888337589990984]], [[3.2587586141965716, -0.14453208667317005]], [[-2.1507113953017107, 3.935249252886006]], [[-5.0, 5.0]], [[0.21585000080455727, 5.0]], [[0.7437190193282038, -0.5189562283401554]], [[-2.640119778229229, -2.598048247013881]], [[-4.003406116898155, 2.145329001133734]], [[2.577125620169034, 0.19973925029015277]], [[-0.13084448320201392, 3.96502465535242]], [[3.588062494864836, -5.0]], [[5.0, -1.0962720754511552]], [[1.9809140757004788, -5.0]], [[5.0, 2.1220531673270435]], [[-5.0, -5.0]], [[5.0, 3.8081282080037564]], [[-0.6994012098553535, -3.507697774775022]]]"
7,"[3.113440185456001, -0.38726408524967015]",[6762.01499853],[6923.44499853],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",1507524266508370.5,7,2.283299218809763,8.067530541705821,[ 0.5056 -3.6528],-161.43,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[-3.8935958565571216, -4.603865856252214]], [[-2.3838965173486137, 1.9646614654478896]], [[2.7925011936040054, -3.604769372641788]], [[3.8921376059774135, 1.583928852134946]], [[5.0, -4.792397878580609]], [[5.0, 0.37144769430068364]], [[5.0, 2.318096279567297]], [[1.3209112485382268, -1.9642134053790794]], [[5.0, 5.0]], [[2.080600397000214, -1.5393936819109113]], [[1.8045974324178111, -1.8540711250570023]], [[1.0031207113584242, -5.0]], [[3.7011048256127337, -0.13058073151034297]], [[3.113440185456001, -0.38726408524967015]], [[1.5002561677249968, -3.2620055183756405]], [[-5.0, 0.6821479374815316]], [[4.53878423885486, 1.0427395795828287]], [[-0.17926007295447088, -5.0]], [[0.31563512555907863, -3.5127121030494335]], [[-4.413551035446321, 4.345711523841139]], [[1.1075122474059373, 5.0]], [[0.1919514956024013, -5.0]], [[2.4592042072323848, 5.0]], [[0.4304584439541498, -1.6398759087498025]], [[3.8802403641410534, 4.709306651140452]], [[-1.1990786693870072, -5.0]]]"
8,"[-0.5516594145576055, -1.3759703451736804]",[9908.04165012],[9580.01165012],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",3956339381348823.0,8,0.7150066754998503,8.43779077504183,[3.224  3.3184],328.03,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[-2.269780480272794, 4.520657391858379]], [[2.6186403538919927, 2.109480700780485]], [[-1.9174571632699628, -4.377577935530818]], [[-5.0, -4.5774215864327745]], [[-0.5332363637698536, 0.8460883696198755]], [[2.0535026669051417, -1.374499527277289]], [[4.92935545478002, 0.07523908164489251]], [[-0.4635392842492133, 3.218683992688089]], [[4.2877029264893025, 3.5485258294321365]], [[0.757886082811156, 2.5251150163591634]], [[-0.6894521444399897, -2.5606385815422943]], [[5.0, -5.0]], [[-4.672529764292389, -3.045935496378672]], [[5.0, -2.199463366103377]], [[-3.1068882669878004, -0.5481781678848977]], [[-0.2543420191180892, 1.3273393796208162]], [[-0.6046478146093098, 2.297251214292429]], [[0.9170371198889036, -2.422801917133424]], [[-2.2997538737677337, 2.7957632296581876]], [[-4.926858219869735, 3.969405436814462]], [[-3.9300236819595944, -0.7498243877428152]], [[-3.7000614194728607, -4.0154024412808775]], [[1.5110939913754693, 1.5813002047843616]], [[5.0, 2.221288708596282]], [[-0.5516594145576055, -1.3759703451736804]], [[-5.0, -4.092613776805342]]]"
9,"[-4.234907653397538, 1.824612302764042]",[2435.47716695],[2467.60716695],"[array([3.82993797, 3.69797044]), array([-3.58048274, -1.6711218 ]), array([-3.17007254, -0.99634532]), array([1.36891696, 0.51264257]), array([-0.37135416,  1.88584949]), array([ 2.78810256, -3.71311058])]",1127762569501392.2,9,1.243486914867716,5.814758779252359,[0.8672 1.7752],-32.13,"[[[3.8299379717074213, 3.6979704420162935], [-3.5804827418739738, -1.6711217986216127], [-3.170072535000701, -0.9963453165158844], [1.3689169609652918, 0.5126425735201581], [-0.3713541558238065, 1.885849494073888], [2.7881025644715773, -3.7131105778280165]], [[-5.0, 5.0]], [[-0.44761980299206866, 0.29858481273448595]], [[5.0, -0.8687884064962726]], [[-4.234907653397538, 1.824612302764042]], [[3.8060139824473036, 2.46189782672431]], [[1.6719222924157613, 1.1442389987068688]], [[-2.3751614104849272, -3.061761820140591]], [[5.0, 1.8292970339719226]], [[2.404096326627717, -2.1333854198033197]], [[3.8817864819256056, 2.4145557337765076]], [[5.0, -0.02635503789263865]], [[-5.0, 2.419794930608605]], [[5.0, -5.0]], [[5.0, 5.0]], [[-5.0, -5.0]], [[-5.0, 4.170672924166912]], [[1.3082794480024367, -0.5323005635457527]], [[5.0, -2.859169388914287]], [[-5.0, -4.030783464010831]], [[-5.0, -0.341210097335123]], [[-0.35562193911131645, 1.5520344031977102]], [[-5.0, 0.5803210082267951]], [[-5.0, 2.096691994809414]], [[-2.484739059232776, 3.286213591972315]], [[-0.2862492430102074, -4.684784256170267]], [[5.0, 0.6265436315549328]]]"
