,xopt,yopt,regret,doe,normalized_regret,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.8194439359999988, 0.09339906481824121]",[1964.03368589],[1668.85368589],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[4.00611766e-07],0,1.3849551086499805,9.16175662091873,[-1.7768 -2.512 ],295.18,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[1.800707593625125, 2.0085456307511618]], [[0.6959188981013789, -0.31096093997429985]], [[-1.8381951041376599, -2.877121521757419]], [[4.204183937729775, -4.590563519994929]], [[-2.5416622808304448, 2.9452335981529707]], [[2.648979225489999, 5.0]], [[-5.0, -0.2901021603830443]], [[0.572959121396809, -5.0]], [[-3.923164633177263, -5.0]], [[-2.2453575375574784, -5.0]], [[-2.599895893299856, -1.485464813287366]], [[-1.045724284499906, 0.6833621101696427]], [[-3.4367660373664477, -3.5675333258115094]], [[0.26180989166158475, -2.7777406540862963]], [[5.0, -1.3023754388011386]], [[-0.8834856840466438, -5.0]], [[-2.917588080698977, -2.44130356703735]], [[-1.0239580460447273, -2.2636008562607555]], [[-5.0, -3.6602486452773615]], [[2.617332700987029, -0.8209139596269058]], [[-1.8194439359999988, 0.09339906481824121]], [[0.33113318433542566, 5.0]], [[2.502190038138936, -5.0]], [[5.0, 1.9614614502535814]], [[0.14581108301738815, 3.9538214892115295]], [[-1.5150408403403355, -3.248791296378398]]]"
1,"[1.583489414347223, 3.927405624571853]",[2449.0606699],[3070.1706699],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[5.17734157e-08],1,3.1579266943961515,7.938261695829596,[-0.892   3.9912],-621.11,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[-5.0, 4.437287398761566]], [[5.0, 3.6103718904899478]], [[5.0, -0.6337783167699684]], [[-5.0, 1.942555176865004]], [[2.8723702916684632, 1.1232065039112928]], [[0.7792518942927091, 4.148326548526423]], [[-5.0, 3.1223911353465894]], [[-3.1791078597721603, 5.0]], [[5.0, 5.0]], [[0.6777882590936899, 3.0833376699748416]], [[-2.3282448838027117, 1.302484314611242]], [[-1.2665262993282331, 3.4482376333709093]], [[0.8065431365277623, 2.719976676030506]], [[-2.3669373184089237, -0.3265533687374891]], [[-3.9405069444912155, 3.6015307336522584]], [[5.0, 1.6117311127472156]], [[1.583489414347223, 3.927405624571853]], [[-1.5990056301187492, 0.19975852631992375]], [[-1.333509839886461, -3.9926471979951303]], [[1.4286723244330877, 3.240204514555819]], [[-0.8132703338362592, -1.3267941947105943]], [[-3.8456503116280603, -4.569161493250392]], [[3.9639587306660875, -4.106638187699387]], [[-0.472021695359369, 0.35102896845332054]], [[0.868984264574294, 4.981874776625409]], [[1.8851612418153687, -2.0121627602781]]]"
2,"[5.0, 4.043723463818487]",[79792.45196369],[80047.27196369],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[4.56952246e-07],2,0.8384880860955831,9.296651130967179,[3.7408 3.7608],-254.82,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[-1.4526101646551772, -3.000603210554486]], [[5.0, -2.5201815889118837]], [[5.0, 2.544150905872933]], [[-0.5992074767107112, 1.2068780646851636]], [[3.590643335648035, 0.10387446803770622]], [[3.8266967980554116, -5.0]], [[2.4302521827990704, 0.5965824950806058]], [[1.9024113457632301, 5.0]], [[4.665320291591743, 0.20913858884666992]], [[4.872281026401581, 5.0]], [[-0.10478106611953497, 5.0]], [[-1.1190455256091383, 2.4793279211321075]], [[3.132691446296475, -2.251938603617712]], [[0.8127028728690892, 5.0]], [[-2.955547295812888, 5.0]], [[2.6210368359692606, 3.154968373138974]], [[1.135409012648639, -0.9070239933303056]], [[4.494872931321076, 3.2252931100795013]], [[1.5228927741538325, 0.9117052220646126]], [[1.910312479804754, 3.6156351022889615]], [[-2.0905939261760547, 5.0]], [[4.488406588907262, -3.2755234285942363]], [[0.49481851903615226, -4.9544772948046685]], [[5.0, 4.043723463818487]], [[4.1368355873109355, 2.0604142419235574]], [[4.801366392947976, 2.4007115374755923]]]"
3,"[-3.4472718711564765, -2.636343849607054]",[1577.97238934],[1521.36238934],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[1.50432657e-08],3,0.6527163511483995,10.459581727117081,[-3.8512 -2.2808],56.61,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[-5.0, -5.0]], [[-5.0, -4.58357932403062]], [[5.0, -5.0]], [[5.0, -4.024495130883295]], [[-1.2948927000934087, -2.705631093409664]], [[2.101857852427878, -5.0]], [[-4.557584663031103, 5.0]], [[-0.610787869484806, 5.0]], [[5.0, -0.54377853862028]], [[-2.9632302081934703, 2.843103914396305]], [[-2.705718957494126, -5.0]], [[0.9337451722877413, 0.45926100351201293]], [[-5.0, -2.630331145697264]], [[-1.847389725918511, 1.6519039120500874]], [[-5.0, -0.2713853204303824]], [[-3.8125295249962066, -3.373077179548453]], [[5.0, -2.072943270423739]], [[-5.0, -0.832844433664245]], [[5.0, 0.7018136397167467]], [[3.0806067970182505, -4.5118093473823935]], [[-3.5596300779264163, -0.5260429071828514]], [[3.7494007817991353, -5.0]], [[-3.4472718711564765, -2.636343849607054]], [[2.123529522083149, -1.7527204244693233]], [[-4.064340329672265, -0.14983487854054453]], [[3.275644462025737, -2.285356078527857]]]"
4,"[-0.3410797218502229, 0.696021746896455]",[1258.48539637],[1276.58539637],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[2.24232285e-05],4,1.7007415720826662,6.0522714079923325,[-0.6144  0.7192],-18.1,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[-5.0, 3.5622250379634637]], [[-3.927379189075488, -3.100620317933775]], [[-3.307670792232492, 1.9962241407803087]], [[-3.526331552997228, 0.17754794585907]], [[0.9814183905295186, -2.139387601544024]], [[-0.3410797218502229, 0.696021746896455]], [[5.0, -0.34022203185809496]], [[0.5541214427714047, -2.1342799694376047]], [[-2.384008481254314, -0.4486351541138536]], [[-5.0, 3.0177945989306]], [[0.8572596997526212, -0.8824568660374759]], [[-3.7135597330098506, 3.4606652127879225]], [[5.0, 0.759580234208095]], [[5.0, -0.9381677023745383]], [[2.276144077988384, 0.24868501741049087]], [[-2.049239021863524, 1.2704465122573143]], [[3.0784245855252976, -0.9422426370121002]], [[-2.862483252720985, 2.848545899955813]], [[-5.0, 5.0]], [[4.080743281896198, 1.7399513666029003]], [[3.738547728567248, 4.087949794319023]], [[0.8996480786021097, 1.095438001967369]], [[0.5524973591491653, -3.1273757101977684]], [[5.0, -5.0]], [[-3.797277704834585, 1.8386795140993113]], [[4.653727587180484, 4.061719880540279]]]"
5,"[1.5696296521810007, 2.013099784469187]",[323946.80090968],[323909.03090968],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[0.00017489],5,2.1323515061080056,6.278179246610856,[-0.9792  2.0592],37.77,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[1.3238417998183547, -5.0]], [[1.01526022559367, 1.4348606251754117]], [[0.11619917639402466, 0.879213224395853]], [[3.7695667273823403, 4.4042151016828655]], [[-5.0, 3.463293244476412]], [[5.0, -2.3039403479963214]], [[5.0, 3.4444218965902254]], [[5.0, 0.27376122951621507]], [[-5.0, -2.4378194592048996]], [[0.4411620533748707, -2.3870676596350062]], [[2.9882929293849485, 0.5577184247705439]], [[-4.662099284152399, 0.7690805745104857]], [[-2.5630067065675584, -3.6837904256531844]], [[-3.733242922896574, 5.0]], [[2.210290246080508, 5.0]], [[-1.3343538199864398, -0.5575205062654003]], [[1.8070083465419842, -0.8631333909077361]], [[-4.180752557624603, 3.3848688807468705]], [[-2.412253534539276, -1.4991545626015648]], [[2.6863437039142966, -5.0]], [[5.0, -0.8624980969118596]], [[-3.9632024003489636, 1.2986354012666739]], [[-4.951363303837982, 5.0]], [[2.7895080953875184, 2.2883318268700505]], [[1.5836117231776705, 3.8922111942901987]], [[-5.0, -5.0]]]"
6,"[2.2914906787511526, 2.270653252661628]",[49829.4782754],[49844.7082754],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[7.66102879e-06],6,2.073945938605179,8.039091917123638,[3.576 1.488],-15.23,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[-0.908290061358759, 0.5721429111512597]], [[5.0, 5.0]], [[0.9978722176181526, 1.1672698619674482]], [[4.595716617771123, 5.0]], [[-0.33638995994604404, -3.2678759126840595]], [[5.0, -2.571205617196637]], [[-5.0, 2.9648673441444977]], [[5.0, -5.0]], [[-1.8096087542205974, -1.8655651289845043]], [[-3.05170429873799, -5.0]], [[1.1628511331996696, -5.0]], [[2.78797608455763, 5.0]], [[3.8946619364181485, -5.0]], [[2.0710585244582607, 5.0]], [[3.272960703462483, 0.6067351601698449]], [[2.2914906787511526, 2.270653252661628]], [[0.18183997845001204, 5.0]], [[5.0, -1.0244637507032837]], [[-5.0, 4.240022104576633]], [[5.0, 3.330774600364587]], [[1.2245687329062902, -0.830546175459869]], [[5.0, -4.390777096120644]], [[2.4008564442405675, -2.0719755978748196]], [[-5.0, 1.3301875050676297]], [[-0.6259796730845479, -0.13288899577863497]], [[1.6734990718481308, 2.8412949253689663]]]"
7,"[5.0, 1.733023336191348]",[21.50310762],[182.93310762],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[5.24080779e-07],7,1.8761797227895183,8.927016704864062,[ 0.5056 -3.6528],-161.43,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[-1.0878008384315982, 0.08818277586278246]], [[2.249307105924801, -3.1960642088217237]], [[4.41912946751061, 3.2051510650028447]], [[3.7084714314851586, -2.932746619299064]], [[5.0, -5.0]], [[3.1325087515904486, -2.4777108577613896]], [[0.489117581236585, -2.999089021351901]], [[0.7615756475367633, 4.003322176670609]], [[-4.911068347857198, -4.0352988655632]], [[-1.7804928199798236, -3.4007791280826023]], [[4.636698006245517, 2.252504398167061]], [[-3.183044986878042, 2.065533990731196]], [[-4.288588170520498, -3.6601289570212234]], [[1.9651599959851032, -3.918956479001725]], [[0.0003786544582828997, -5.0]], [[-0.4224072833126602, 2.9869720078880917]], [[2.217519223943826, 5.0]], [[-5.0, -2.6361026780721932]], [[5.0, -2.2542141099576884]], [[2.583427021145889, 4.767599891658274]], [[-3.452391559364439, 4.239479449728576]], [[-5.0, -4.834822165278937]], [[5.0, 1.733023336191348]], [[5.0, 2.5407785694046248]], [[4.429760467181774, -1.3893962004098759]], [[5.0, 2.407398336823621]]]"
8,"[1.3913539016836345, 1.134306345105754]",[504.68979061],[176.65979061],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[1.95972846e-07],8,1.484703975660474,8.619304291895276,[3.224  3.3184],328.03,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[2.9365581904901807, -0.11358549429191545]], [[0.19829025561559455, 4.357006772119627]], [[5.0, -5.0]], [[-0.5151180420340685, -1.3040982455428523]], [[-1.0687992591055508, -2.1299140498266955]], [[-5.0, -5.0]], [[-2.6167986814389246, -3.6111786725103037]], [[2.0713887686292987, 0.26629119296688586]], [[5.0, 3.765670110762043]], [[3.460806421110783, 3.24924129415174]], [[1.3913539016836345, 1.134306345105754]], [[0.13678558540200478, -0.8533909381228947]], [[-3.393913098987384, -5.0]], [[2.3175446686958945, 2.1258000514583717]], [[5.0, 4.930074157146491]], [[3.710480867782788, 3.9167120708368124]], [[3.554118353292864, 4.7947703438950064]], [[-2.8809569725698023, -5.0]], [[-3.385751988604803, -4.567868044112995]], [[-2.947343866833473, -2.6238497419717026]], [[-0.2255103061275368, -0.7420398414628978]], [[-0.06923691825000944, -1.92876844509146]], [[2.0554789874554817, -4.72121662667284]], [[-3.4696657905999584, 3.894886086763263]], [[2.733792211850209, 2.2461527146986517]], [[-4.9288521688870714, -4.155840971866176]]]"
9,"[-2.6475841756485727, 1.766529662862392]",[55.39845388],[87.52845388],"[array([-3.83451225, -1.62829701]), array([-1.36187318, -3.83333886]), array([4.09489025, 4.52085419]), array([-2.27858796,  0.36848599]), array([1.56962965, 2.01309978]), array([ 2.39830945, -3.23305515])]",[1.53776282e-07],9,0.7416223592325184,6.035269288944138,[0.8672 1.7752],-32.13,"[[[-3.834512250003068, -1.628297008392666], [-1.3618731783526528, -3.8333388610244192], [4.094890248078814, 4.520854186712841], [-2.278587963451285, 0.36848598928174603], [1.5696296521810007, 2.013099784469187], [2.3983094465183816, -3.2330551517528283]], [[-5.0, 5.0]], [[-3.202303842390252, 5.0]], [[-5.0, -5.0]], [[1.8844155611288973, 5.0]], [[1.2187563716231131, -5.0]], [[5.0, -5.0]], [[1.6195320163368594, 2.0727961100777095]], [[-5.0, 2.1910927008136296]], [[5.0, -0.8811632076794227]], [[-3.6793134847036524, -0.5874807564235129]], [[4.285521177199847, -1.8395346211950416]], [[-1.6990407027339223, 2.1283019955258715]], [[5.0, 0.349335524774499]], [[1.0371645680304606, -0.20214906038132507]], [[-5.0, 2.758916326788446]], [[-5.0, -2.79033649358405]], [[-4.331337582633888, 2.886242124120084]], [[1.699598694077404, -0.1752248122431296]], [[-0.3196372030135993, 3.831828303717346]], [[-2.4550299818195644, 2.9562933235587416]], [[3.7711433098806344, 0.524832272980226]], [[3.6712904672527493, -3.8401153122334764]], [[-3.881210106087697, 1.9694435218674813]], [[0.15752147048488482, 2.6442461228586676]], [[-2.6475841756485727, 1.766529662862392]], [[-4.808354789932014, 1.2962258321412772]]]"
