,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-0.02687472057343563, 0.3236661255354989]",[-359.39806552],[0.04193448],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",1007284983.1465062,0,0.6104158466239402,6.361458420295034,[-0.30217356  0.63928956],-359.44,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[-1.0091864155392223, 5.0]], [[0.7814381529568712, -1.6873729354949574]], [[-1.1337914486692084, -5.0]], [[-2.499168714375801, -0.6814861305355794]], [[1.066341058219045, 0.11301940484701214]], [[0.455773265579149, -0.23489784280573076]], [[4.6115226346791145, -3.6102191015194425]], [[-1.8934476006108982, -1.5457830108634236]], [[-5.0, 1.5588191292417997]], [[5.0, -1.9273661761612695]], [[-3.343309672190025, 1.274821173189024]], [[5.0, -1.2891663833104923]], [[5.0, -3.1323569043188892]], [[5.0, 2.3133761391249568]], [[5.0, 1.260022505419351]], [[-0.7366915907858923, 0.7374442459839556]], [[-5.0, -1.147754572060959]], [[-4.403981770987744, -2.0389436375411973]], [[-5.0, 4.285589763175646]], [[-3.406633481099812, 3.4301735776307]], [[-0.02687472057343563, 0.3236661255354989]], [[-0.7606218359544579, 2.5058679096557315]], [[4.6725628208742105, -2.3122224736104444]], [[-4.134716232542775, -1.6894431020868403]], [[3.6802397184771127, -1.7864963064876416]], [[-2.1144615237408915, 3.484441754574817]]]"
1,"[0.11301708419832135, 1.0867537883790614]",[124.1042442],[0.2742442],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",1670876343.2155151,1,0.4063113953981196,6.599013233889119,[-0.03006086  0.70646751],123.83,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[-1.7502243145230132, 3.862527370729694]], [[5.0, -5.0]], [[-1.5401983430705368, -3.5544465321608176]], [[0.2930531928972905, 0.2974586370981586]], [[-3.204340190676094, -4.741330187325202]], [[-3.7911627476304073, -2.5574254938601335]], [[2.804588501309533, 5.0]], [[5.0, 5.0]], [[3.6712301566406955, 5.0]], [[1.5026007024520587, 3.854991382412131]], [[4.999135780933147, -4.265302070633783]], [[5.0, 2.0321071073703108]], [[5.0, -1.3280498100470133]], [[-3.172269567565876, -3.7698298667692685]], [[5.0, 3.7846941215672745]], [[1.808242472121562, -2.644369447891193]], [[-5.0, -4.641080277873151]], [[2.6865589861801253, 3.4631868376550132]], [[5.0, 3.9429740478379376]], [[3.2869396539578464, -3.6556381028149842]], [[-5.0, 5.0]], [[4.498454624603021, -0.29431072787900714]], [[-1.8057159529688362, -0.1039045335546914]], [[-1.358010379383102, 3.8756822646405915]], [[3.044017239445075, -1.3732569073971193]], [[-0.433336520764783, 4.996468358874505]]]"
2,"[-0.5730808565850526, -2.224872216746295]",[53.14663661],[5.63663661],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",1569781636.1554203,2,1.124374084765405,6.65410507315838,[ 0.70421685 -0.06386419],47.51,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[-0.3501232986345354, -0.5479169394435611]], [[-2.749130702371816, 3.7472529785442994]], [[-1.7069829958888754, 5.0]], [[0.7789437675927804, -5.0]], [[-2.061871143397939, 0.8679331218328542]], [[0.6076249724736429, -1.5393350557387062]], [[-2.4612547585390816, 1.052359319309643]], [[0.1556039634727035, -5.0]], [[-5.0, 2.3560034486880252]], [[-5.0, 4.5649129601319824]], [[5.0, -4.613031983358948]], [[5.0, -2.240904409350137]], [[-3.9439163445961576, 3.432945304657765]], [[3.4537637109684827, -3.4105753281087714]], [[5.0, -3.2422955075022104]], [[1.6500616200695502, 0.08681901527038705]], [[-1.1269455733384823, -5.0]], [[0.9088458054607682, 0.48971960195681996]], [[2.357840917767568, -3.652387568017423]], [[2.9203479915266577, -1.672054914405815]], [[-3.906730012478987, 5.0]], [[-0.2560223220452034, -3.485923983103219]], [[2.6686530851557784, -3.094673663253774]], [[-0.5730808565850526, -2.224872216746295]], [[2.0463461477583014, 1.5076412521546343]], [[-5.0, 5.0]]]"
3,"[-3.374041344677907, 0.25826330258129937]",[56.17313619],[0.83313619],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",1210519356.6424215,3,0.45379358343774834,5.638635995922023,[-0.67832142 -0.1996999 ],55.34,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[4.631197760845492, -1.832611874452612]], [[-0.7939953274771794, -3.9100747795958233]], [[3.8670644203103155, 4.198206704717592]], [[3.251661797934526, 1.820915225091194]], [[-0.29989178405105676, -0.5497401145104726]], [[3.6263425279353125, -2.2562455883766614]], [[5.0, -5.0]], [[-2.040967484304853, 1.627010438219854]], [[3.567544857241596, -0.6455588642281698]], [[2.9210385071380975, -0.5702399599943974]], [[1.009236265189187, -1.2058674293046892]], [[-5.0, 4.0101076510023335]], [[-1.8324033804348965, 3.059913109633594]], [[-5.0, -0.010512006056794518]], [[-5.0, 2.586257832805148]], [[-5.0, 0.9131723988803873]], [[0.015371928023489684, 2.39815712155826]], [[-3.531838689319816, 5.0]], [[5.0, -3.490215610018413]], [[-3.374041344677907, 0.25826330258129937]], [[1.0534751381090526, 0.2637580924106947]], [[2.8449878507356274, -3.54319786404129]], [[-1.8726925945748158, -0.0060650344540727165]], [[-2.8256145304891414, 4.359850783893116]], [[0.1821344033725405, 0.24420645314628717]], [[-0.7422971397989389, -1.5961134874774827]]]"
4,"[-2.724657635032522, 1.4956631744623858]",[-56.02102616],[34.30897384],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",683069106.7996922,4,0.7671599453752741,6.205623637653947,[-0.43917136  0.55419177],-90.33,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[1.153228762791187, -0.02237867376449465]], [[-3.421987036451385, -1.355327728208057]], [[0.8669424160304772, -5.0]], [[1.3089374634063957, 1.6170931796558035]], [[1.9548503738322025, -0.8900098867202021]], [[1.3868269841877772, -3.0722582296357728]], [[-1.9708517551272067, 5.0]], [[1.361593081183724, -2.1855037067992718]], [[3.2868971954188617, 2.1634245083245607]], [[-5.0, 2.9923943668245867]], [[-3.4098748031245028, 2.164077046965026]], [[-5.0, -0.1868212714253665]], [[-5.0, -2.430267794190196]], [[5.0, -1.4994941284848666]], [[-2.3026581176122836, 2.0065853114917362]], [[-2.240763548828707, 0.9869444211229688]], [[-2.724657635032522, 1.4956631744623858]], [[1.586025671849594, -2.629461067942004]], [[-3.0534518570614577, 4.205162090137888]], [[3.7066228195935516, 1.9555582025056761]], [[2.4108233875942666, 2.0405033420407506]], [[3.3755136953736216, -3.818011582283659]], [[4.049171899683943, 2.274841059043567]], [[1.0329962728822562, -1.7221529955613422]], [[-3.6660023394727435, 2.790929158194763]], [[1.1634814363317139, -0.7114800998419923]]]"
5,"[-0.33406417197466887, -0.4953611361146333]",[66.29831332],[0.68831332],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",650915682.2181503,5,0.10979036194681704,5.7159967412140755,[-0.40073477 -0.58259046],65.61,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[-4.905066524712315, 0.3552689151977084]], [[-0.06023829764144236, 1.0808437125949895]], [[-3.397257619201226, -2.42333320774862]], [[0.5825428077952978, -0.7646112747483178]], [[-2.492968204945052, 5.0]], [[-1.727497457644284, 0.488738725887422]], [[1.7800348170629805, 5.0]], [[2.1600639660874417, -3.542494111302338]], [[-2.3878672743335914, -0.3130013542346426]], [[1.6514571310632302, -0.4281378229637456]], [[-1.008675504914153, -1.054062690845501]], [[5.0, 5.0]], [[-0.771272878438725, -5.0]], [[3.935135082593667, -5.0]], [[3.442165028579593, -4.900221139697861]], [[3.3069178453091426, -2.70056324441163]], [[-0.7221079070142197, 4.4233457604579165]], [[-0.5274293820437304, 5.0]], [[1.6455636209703155, -5.0]], [[2.983643380149325, 0.38226470094824194]], [[2.867878170585579, -1.1199521328309194]], [[2.4454662926883364, 1.0120757585169435]], [[-3.7723185074705885, 3.1562262256161175]], [[0.8814394387808016, 0.9005975188080596]], [[4.300755165273215, -4.47711916292698]], [[-1.8053401860293279, 5.0]]]"
6,"[-3.383022973280899, -3.7175614206918755]",[-277.01888438],[13.06111562],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",857774156.5916548,6,0.8854284354950032,5.9292536454853355,[-0.61821562  0.3432338 ],-290.08,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[-2.046924645995994, -0.2601636483063068]], [[-3.0492287857898948, 0.24378848478542015]], [[-1.1369764706363714, -1.0072948393781358]], [[-3.13752491757045, 2.6834733318170167]], [[-4.765923099934957, -0.043591865918022776]], [[-4.596667300904164, -0.07540509610579411]], [[-4.332541254728283, -3.3321121694137363]], [[1.1740519746253206, -1.4925060419268112]], [[4.541289821183416, -2.326981014107501]], [[-3.5923481362690635, -2.9692991511600866]], [[4.964080125171555, 1.3801130443520988]], [[-2.3212422203174117, -5.0]], [[-0.8526202321225045, -2.0003830074870015]], [[-5.0, 5.0]], [[-3.0745210346729888, 0.9609637029137824]], [[4.742301016115178, -3.9164056732141734]], [[5.0, -0.21149699078603584]], [[3.319023059921375, 0.15199559267837234]], [[-3.5000168224124617, -4.332356345112894]], [[-3.383022973280899, -3.7175614206918755]], [[-0.23789149530298648, 1.7563447735263527]], [[-5.0, 0.8536640136873621]], [[-1.9537227234980612, 4.354816852057118]], [[-3.7573743491335407, -3.296204453383052]], [[4.577209085293516, -3.3800740458238776]], [[-1.021950355678578, -0.7769366461700686]]]"
7,"[0.1021746014779862, 0.2996433480755546]",[30.97419044],[5.87419044],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",1255817653.3657417,7,0.7647465072770702,5.770633476990778,[-0.68234872  0.18547298],25.1,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[-3.050832473121736, -2.29908092830596]], [[3.8997287902250672, -1.2917366206499334]], [[0.2758277214032327, 1.106045006318877]], [[4.602028415252449, -0.11776882468199742]], [[4.6219162827693685, -0.6420217984918369]], [[0.09493051746372425, -3.296130253875175]], [[0.1021746014779862, 0.2996433480755546]], [[5.0, 1.4050674483857792]], [[-0.5429222351384111, -1.9928223685429267]], [[-1.8696454810751373, -0.31648975631911885]], [[-4.215962864656396, 2.806665726840286]], [[5.0, 2.7213579582178484]], [[-1.3336860480471409, -1.2391045201555453]], [[-1.2625691062256752, 0.3273989852650542]], [[-1.494880657691166, -5.0]], [[3.410915522136761, -5.0]], [[-3.5509408215975933, -5.0]], [[-2.4630987035511036, -4.4393885990743955]], [[1.8864608149920465, -0.899653202128625]], [[3.4793803575621576, 1.5522062674706594]], [[-1.8341937873331338, -2.45947425280998]], [[0.35893587189773574, 5.0]], [[4.979320845813708, -4.445013052443866]], [[-5.0, -1.3002345683892373]], [[1.2477985906269293, -1.9292243057889995]], [[-5.0, -0.16071824224109685]]]"
8,"[-3.549126750332805, 0.6996340967601576]",[-79.65433411],[7.90566589],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",1377197342.3433607,8,0.3855090981363745,6.66932329610968,[0.07234558 0.70339613],-87.56,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[-2.4381289108640587, -2.7381685392131527]], [[-0.44969291864341987, -1.644904053424831]], [[-0.02558347048279408, 5.0]], [[0.7365022691438662, -5.0]], [[0.03125799565913309, -5.0]], [[5.0, -5.0]], [[-3.676237462141627, -1.79082279999117]], [[4.348333132063449, -4.651501302768515]], [[0.4835970421186909, 5.0]], [[0.20216045968311375, 5.0]], [[-0.3922948677160122, 5.0]], [[-0.19797296801171524, -0.01185161224021212]], [[2.2138879334315162, -0.7677674112352729]], [[-4.728509300237284, 2.35128108900689]], [[-3.549126750332805, 0.6996340967601576]], [[-5.0, 5.0]], [[-4.4644058633792865, 0.7844430030859173]], [[1.299884515533549, 0.651086223588868]], [[5.0, -2.399672581534377]], [[-2.481854157782614, -0.47762305722791293]], [[-3.4658299783201585, 5.0]], [[3.116319942127118, -0.27731607508143313]], [[2.2846466200658826, -3.5222164720376132]], [[0.8257122780494459, -1.895058393432164]], [[-1.4037500184495055, 3.3898619598656627]], [[2.947260137755909, -5.0]]]"
9,"[-1.0678009901256453, 2.635202263740114]",[66.698923],[6.628923],"[array([0.11301708, 1.08675379]), array([-4.67429411, -3.98161026]), array([2.69203464, 3.28765987]), array([-0.33406417, -0.49536114]), array([-1.86738938, -2.7505496 ]), array([3.44599144, 3.64533057])]",868680572.6868147,9,0.38024456085010666,5.673349386271962,[-0.64858395 -0.28167155],60.07,"[[[0.11301708419832135, 1.0867537883790614], [-4.67429411178075, -3.9816102554315176], [2.6920346361043537, 3.2876598738810863], [-0.33406417197466887, -0.4953611361146333], [-1.867389375888437, -2.7505495996761864], [3.445991442346207, 3.6453305651210073]], [[3.6676589594865323, 2.7937649901945525]], [[-3.314583104295259, -2.7919853259539487]], [[3.0230224573651814, -2.5024522634349404]], [[4.156739502080554, -0.29795799225445074]], [[3.9329238496008965, 1.2824516302871098]], [[-4.7810734517466775, 3.265428042704856]], [[-1.0678009901256453, 2.635202263740114]], [[-3.030176376551686, 2.882882410901851]], [[-0.1939444135972624, -1.7822254193994986]], [[1.5647526991647982, 0.34550036664415595]], [[-5.0, -0.10183811421489798]], [[-2.5075380540621977, 0.10102371179890887]], [[5.0, -3.6183398100008257]], [[-3.3544032587526065, 5.0]], [[-3.195539419285302, 4.044080213156146]], [[-3.1555038878541413, -0.9596651086639689]], [[-5.0, 5.0]], [[0.17757748509145807, 0.3030542980448815]], [[4.4675502705486885, -5.0]], [[-2.148976112406344, 3.51987117636281]], [[-3.624616972733967, 1.9700098574062697]], [[-3.323302610502006, 3.673472324141514]], [[0.015572481983867625, -0.8439372301244896]], [[3.210838276093236, -3.935132211261234]], [[-3.5540716773300165, 3.705657562198896]], [[-1.5071947975602134, 0.758075205671788]]]"
