,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,max_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-1.3693441870401704, -5.0]",[1597.92680855],[1302.74680855],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",5.84760024345221e+16,0,0.782657035855309,7.1317516202617535,[-1.7768 -2.512 ],295.18,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[-1.8673913533262665, -3.2020256502958686]], [[-0.6008587904978477, -3.0030403468910705]], [[0.7900889043730874, -2.578165067936297]], [[-1.5904438789047375, -1.8352728647283774]], [[-3.369429132790128, -2.4826318460558667]], [[-0.07844256875636574, 0.783284246562309]], [[-1.3693441870401704, -5.0]], [[-4.3290948381253305, 0.5035473394209189]], [[-3.302475269868869, -5.0]], [[-2.8567700201129558, -1.9289246698151286]], [[-2.965722631488837, 3.6528310498817307]], [[0.26529285947799675, -5.0]], [[2.5372503449476973, -5.0]], [[-1.025091428963143, 2.6668031675556088]], [[0.7782988041982402, 5.0]], [[-2.776343286559769, -3.5334587078968736]], [[1.363951944560874, -5.0]], [[-4.818690816691986, -5.0]], [[0.9321654813716379, 1.969865816215291]], [[4.248555369022405, 5.0]], [[-5.0, -2.4426406783627668]], [[2.6665201384538535, -1.0393922196977392]], [[0.20953538499371316, 5.0]], [[0.3313824618364176, 3.6296088083426667]], [[3.6737032732784494, 0.722485921962101]], [[-4.040356988088572, -5.0]]]"
1,"[4.107336668974991, 4.010739982204287]",[-567.97446545],[53.13553455],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",1.8178457736576405e+20,1,0.7184111078173934,8.519374991202026,[-0.892   3.9912],-621.11,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[-1.4059929659473647, 2.5717597651606914]], [[-5.0, 1.310070142467387]], [[5.0, 5.0]], [[-5.0, 5.0]], [[-5.0, 1.8734846388768944]], [[5.0, 1.6142090749286127]], [[5.0, 4.65089386054606]], [[-0.8461280547387062, -0.12046360555441818]], [[0.056837528741883435, 1.3750421427072241]], [[0.09668780184676494, 5.0]], [[3.6676125018169214, 2.3804781771864545]], [[-4.200885567696278, 1.7484196182808922]], [[-2.6171198337338817, -1.3289163359311518]], [[3.4858585863401474, 2.936229826311316]], [[-3.066805163856697, 3.282457306455533]], [[4.107336668974991, 4.010739982204287]], [[0.2693560762758478, 4.5131869948438]], [[-4.282797677274744, -0.2910718057974518]], [[-4.6754758435737624, 3.826390725047637]], [[0.4754797124333578, 4.321708846298564]], [[1.1680148825840855, 4.849618621685527]], [[-3.732260069147356, 2.7460416977303725]], [[-4.115968463861961, 3.6397288919718234]], [[0.06398621804206162, -4.552613640855666]], [[-4.099025261441868, 2.0767384035435175]], [[-0.6734844459847661, 1.0954923834731083]]]"
2,"[0.1708318470710371, 5.0]",[5406.68223321],[5661.50223321],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",2.3429516786037205e+20,2,1.6051928938632594,7.630735859991447,[3.7408 3.7608],-254.82,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[4.200740542614506, 4.7144445016788055]], [[2.5131427558063315, -3.510494492853892]], [[1.3273492225617525, 0.9829428358400875]], [[4.822137018400609, 1.512468231065546]], [[1.7296607332913303, 0.39391627301000354]], [[2.850010783691775, -3.043524895973308]], [[-4.431429177446463, 5.0]], [[3.211438283656745, 0.6088874361554635]], [[-4.194354868258968, -2.8512835057639663]], [[-0.7631539589160794, 0.06094936216115997]], [[5.0, -5.0]], [[0.9396681284995906, 5.0]], [[5.0, -2.0173016808934157]], [[0.5568961272962409, 3.280983016854358]], [[3.1998633714041387, 5.0]], [[3.481100112814733, -5.0]], [[-1.2300832084318383, 1.9317715312754926]], [[-3.2583057107706503, 5.0]], [[3.766271843279907, 3.317352831801814]], [[5.0, 5.0]], [[0.8140307681477837, -1.8228308664873014]], [[0.1708318470710371, 5.0]], [[5.0, 2.780795650815414]], [[4.520806714781176, -5.0]], [[2.923926102046756, -2.997390946232108]], [[4.49036866259007, -3.4860769635808087]]]"
3,"[-5.0, -1.3078379209594915]",[592.83822027],[536.22822027],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",8.718021440219618e+19,3,2.1230749054709643,8.297510264002696,[-3.8512 -2.2808],56.61,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[5.0, -5.0]], [[5.0, 2.3945495678968567]], [[3.421085615667422, -4.646492810741932]], [[-3.555570737204404, 2.9325053433933226]], [[-2.1307096931489116, 0.7048133421555909]], [[-0.8419369421982345, -5.0]], [[4.215041299242712, -4.131495822336209]], [[-5.0, -5.0]], [[1.363409942282835, -3.755378835311553]], [[-5.0, -2.607113061378992]], [[-3.0117409840703013, -5.0]], [[-5.0, -1.3078379209594915]], [[-2.38829848433363, 1.8261070099084313]], [[1.4666202508623083, -0.034772209808837384]], [[-0.5413704001063405, 0.5259483373340695]], [[-5.0, -3.98931350690039]], [[5.0, -1.1225204735553533]], [[1.9187082188539903, -1.605253988045003]], [[-2.483495395543618, -3.077709334271733]], [[1.4771503492880649, -2.833904393108189]], [[-5.0, -0.2767435596772186]], [[-5.0, 5.0]], [[2.3738701469605648, -0.6487896196352522]], [[-1.0860307616341882, -4.447061921026038]], [[-4.391732144292617, -0.6103536381319993]], [[-3.4172793316894436, -2.1299896261332107]]]"
4,"[3.0770862978075404, -0.02945903264446104]",[3243.70093299],[3261.80093299],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",178863736564032.0,4,2.3255262902493685,6.022186100723798,[-0.6144  0.7192],-18.1,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[-2.957764773792125, 3.0258094652725784]], [[-2.7499072806228435, 5.0]], [[1.7667508908085452, -0.7809532334784901]], [[-5.0, 1.7195479935840212]], [[3.900851247786303, -3.895033129899196]], [[5.0, -1.3131825249307203]], [[5.0, -0.3682335866619484]], [[2.500821330624108, -4.677543285100787]], [[5.0, 1.0218318315054284]], [[3.7474335733137822, -0.39529690997418443]], [[1.8039362841625524, 0.1200128617552857]], [[2.295587515150025, 1.3195821309170794]], [[-4.866832933749093, -4.520853708838786]], [[-2.1069100381666184, 1.0239565412004885]], [[4.704364857138565, 4.194382465973575]], [[-5.0, 3.487833176284473]], [[2.8061341315103148, 2.7633334568406926]], [[-4.995606442518904, 1.804902008314123]], [[1.8280861566072666, -1.6025224415504145]], [[-0.7696877723997788, 0.4339045143360149]], [[3.0770862978075404, -0.02945903264446104]], [[4.603908729863539, -0.9894495612471148]], [[1.9367146482599482, -4.952718213974835]], [[-4.800473998064113, -4.034111946181716]], [[-3.923775547594912, -2.93738744948574]], [[0.5500802205096774, 0.8015898340133465]]]"
5,"[2.0202562081650086, 1.537235706854253]",[8144.49922496],[8106.72922496],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",1.0814279471052374e+16,5,1.301237881380355,7.149657618035305,[-0.9792  2.0592],37.77,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[-0.4068238558739898, 3.687120401451176]], [[-2.479612911648336, 1.475422146939441]], [[1.9669665782578072, -2.7480278668254687]], [[-4.865146020524146, -3.5291443911046128]], [[2.3586258313614312, 1.9519515457702843]], [[1.9232724380066273, 3.125780653330377]], [[4.016398582076337, 3.6210012194013235]], [[2.1480645132746874, 0.2743651072779123]], [[3.129401548696875, -5.0]], [[-3.5152584253545798, 4.216409630336799]], [[-4.160740647174683, 1.19100459679889]], [[0.5781498146058854, -5.0]], [[-5.0, 3.6396516654567086]], [[-4.114105448287355, 2.8466327063193404]], [[-1.161182729869694, 0.9987301911804178]], [[-2.841188158831279, -5.0]], [[-5.0, 1.0135905698934145]], [[0.06185973349432537, -0.25306891910057333]], [[-1.3081054512244343, 5.0]], [[2.0202562081650086, 1.537235706854253]], [[-4.531582593724255, 5.0]], [[3.022033441538002, -0.5854865285565852]], [[-0.06790826150463812, -1.9382383460707466]], [[5.0, -5.0]], [[-0.3923549974402687, 1.631767436587408]], [[2.4335734896244983, 0.9582410263792636]]]"
6,"[4.433729146450937, 0.7904888830600827]",[4900.6442712],[4915.8742712],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",4.9463166310094426e+17,6,2.395381525499713,6.235792168429786,[3.576 1.488],-15.23,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[-1.3941120408946248, -1.9264730033027646]], [[3.2078340913443735, 0.1423758377410001]], [[0.9890045575046735, 4.8811759272185204]], [[4.124984506996503, 2.952197674860597]], [[5.0, 0.2787166442231377]], [[1.241361105700135, 1.7276547238814486]], [[5.0, 5.0]], [[2.3006459786460822, -5.0]], [[2.193316293346156, 1.1414747321328356]], [[4.433729146450937, 0.7904888830600827]], [[1.2880314641073503, 3.423370389754799]], [[3.012765989720723, 2.272537626739971]], [[2.9631316812840636, 5.0]], [[-5.0, -5.0]], [[1.337508855441829, -1.4002350384310953]], [[5.0, -1.2883597882369167]], [[3.474851882734807, -0.9111718234281181]], [[-2.8383301409711836, 2.9007454578113947]], [[-1.830313132038881, 4.236417702937555]], [[3.775309673455551, 0.9597951018752724]], [[-2.809220844364365, -1.734326583602436]], [[4.30927352947937, 3.2745709414783573]], [[-0.16092591098133494, -0.4722850744812594]], [[0.12160747726098255, -5.0]], [[3.4575128491656195, 1.8459519204788475]], [[3.6019326902954667, -0.05188208529940397]]]"
7,"[2.3486479041225046, -1.3944152722650385]",[581.06667647],[742.49667647],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",1633639044044299.2,7,2.7537324514503103,7.826621173747982,[ 0.5056 -3.6528],-161.43,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[-0.09975088899832, -2.2528145684818015]], [[0.05282537094010863, -2.181764708734647]], [[2.436637325830267, -1.5064814355057123]], [[2.0813495564486804, -3.080972973079936]], [[5.0, 2.909126466987483]], [[0.7433802543011803, 1.0094722442275819]], [[1.5109040656365105, 1.7086628748929824]], [[-4.946935814568403, -5.0]], [[-1.497992713732944, -5.0]], [[5.0, 5.0]], [[5.0, -5.0]], [[-0.020645569191652946, -5.0]], [[2.3486479041225046, -1.3944152722650385]], [[-3.1002699155510314, 4.132773039816676]], [[-2.2898925522235283, 0.3997812187286449]], [[-1.1770115471167648, -5.0]], [[-0.7798514285624023, -2.056672884491617]], [[2.5465210583273654, 1.2115768770686994]], [[2.9630914888037996, 0.25321756153277786]], [[-3.5746634747257096, 0.3496859123591342]], [[3.816530553173319, -1.9245445472267706]], [[0.0011898631689860565, -1.0036661143349994]], [[1.0272773344682353, -5.0]], [[0.33655902756200184, 1.490568034270292]], [[5.0, 0.044792699068473114]], [[3.222016947215518, -5.0]]]"
8,"[4.538842390359066, 5.0]",[2675.01846743],[2346.98846743],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",3930017905238847.5,8,1.0591148041416727,6.954473218902636,[3.224  3.3184],328.03,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[0.3932591962809351, 1.3399525323439985]], [[0.298068769143617, 3.2761045773694573]], [[-1.839540394546794, -2.526508638203909]], [[1.1611490878922641, 2.8962316426356756]], [[-0.9913651758349907, -3.775814060286383]], [[2.758565016191378, 5.0]], [[2.531571611656562, 1.2636974663369323]], [[-3.1003910125301832, -2.3807022606700046]], [[0.17314900442410705, -3.1466175227332047]], [[-3.732885632267742, 0.6305951375705028]], [[-2.895576793562239, -5.0]], [[1.953562014380195, -1.5887659753023011]], [[-5.0, -5.0]], [[0.7203847782554559, 1.7359093576019882]], [[-3.914910083061132, -5.0]], [[-0.5222133402587411, -1.8464482476433983]], [[0.44457142892104234, -0.8516638949097267]], [[5.0, 3.3304594485744534]], [[4.431049344361423, 0.9138352054554194]], [[-3.524366774675139, -3.992208072823046]], [[-5.0, -3.0827980997445885]], [[5.0, 4.654257887354359]], [[3.701982832519313, 3.836588497303856]], [[-5.0, -0.9126232276733376]], [[4.538842390359066, 5.0]], [[1.7839339028075067, 0.5178019047481879]]]"
9,"[5.0, 0.9774719010877887]",[6.4812483],[38.6112483],"[array([2.17054301, 3.42772763]), array([-1.50978724, -1.77629882]), array([-2.11762885, -1.05516624]), array([-0.18978119,  4.14286828]), array([-1.79572371,  3.07236783]), array([ 4.29727019, -2.76536903])]",1177292130346440.2,9,2.104649750594114,5.690531493380597,[0.8672 1.7752],-32.13,"[[[2.170543006626598, 3.4277276335823883], [-1.5097872436913968, -1.7762988217065976], [-2.1176288451373115, -1.0551662434199243], [-0.18978119400117222, 4.142868283886234], [-1.7957237064568299, 3.0723678344347665], [4.2972701924541665, -2.7653690339420955]], [[-4.488613980540057, 0.8246256799839635]], [[-2.9091849409406816, 1.6869431725747697]], [[-2.120080605284197, 1.6825871774068355]], [[-5.0, -5.0]], [[-5.0, 5.0]], [[2.884534100874337, 2.807933495478485]], [[5.0, 0.9774719010877887]], [[-5.0, 1.873147259235161]], [[2.375196826238222, 0.9182485312677657]], [[5.0, 1.566408101360768]], [[-2.4235271732961934, 2.305353908499278]], [[-5.0, 3.426089769618334]], [[-0.08969670479087528, 2.034347487512999]], [[-5.0, -1.219283561158114]], [[5.0, -0.1653702439090409]], [[-1.3059390013179542, 1.9033162844321556]], [[-5.0, 1.382783232402254]], [[-0.06678830000201168, 1.7441374827334715]], [[5.0, 5.0]], [[-5.0, 4.383322659438432]], [[1.6745903402296134, -5.0]], [[1.313564220339449, -1.0659436097741672]], [[-2.0569530594852705, -5.0]], [[0.27441086279444027, 0.11375376836882137]], [[-3.5976699718744594, -2.9509748647175793]], [[0.5940205135504433, 3.3045163815345924]]]"
