,xopt,yopt,regret,doe,precision,f_s,min_dist_to_opt,maxx_dist_to_opt,real_xopt,real_yopt,bo_history
0,"[-2.9483397553500126, -1.2407966095932519]",[-351.45273228],[7.98726772],"[[ 0.66410938 -1.0893432 ]
 [-4.41518938  3.69291987]
 [ 3.18530537 -1.76911257]
 [ 3.75860533  1.50695805]
 [-2.51311506  3.05006739]
 [-0.63148087 -4.18630738]]",1011123378.495582,0,1.9803721728242034,5.122651392295343,[-0.30217356  0.63928956],-359.44,"[[[0.6641093836074807, -1.0893432007169004], [-4.415189384786383, 3.6929198738337075], [3.1853053650321534, -1.7691125674143962], [3.7586053266898283, 1.5069580491122734], [-2.513115056118, 3.050067387766866], [-0.6314808670281886, -4.186307384794586]], [[2.6243945010287852, -4.610524327426388]], [[2.1117940006982785, -1.413843678595975]], [[3.2098390758726474, 3.9570905786946025]], [[0.6519610873274075, 3.171171432137358]], [[-1.0518059047701978, 2.9678170882441197]], [[3.4988973198458533, 2.6672213358533945]], [[2.428824730809045, -2.731808894443073]], [[-1.6922709641383804, 2.48883905743941]], [[2.6704366778819035, -2.789999967169767]], [[-5.0, -1.213770803305846]], [[-5.0, 2.5837056150581486]], [[-3.030097803190328, -1.7934854077603366]], [[-3.8984294031424054, -0.5644882063741357]], [[0.7471570747114343, 1.1320209546525188]], [[-2.9483397553500126, -1.2407966095932519]], [[-0.1287873233818252, -1.6756408886112624]], [[4.8726478161532425, -0.3652003807959751]], [[2.59280789603586, -0.3894296335019406]], [[-4.525667825503147, -1.2736197775482094]], [[-3.363237792685676, 1.7456829631914603]], [[-4.8446884387661555, -1.8309964536036616]], [[-3.420340335769568, 2.2008095237289513]], [[4.329552183505086, -4.54383168778457]], [[4.79071673177263, -3.8634532135908417]], [[4.752184259880202, 1.3643955066605216]], [[1.598228383233958, -3.3161987980734664]]]"
1,"[1.289870331640067, 3.664893651859858]",[125.08932952],[1.25932952],"[[ 3.56883557 -0.05634502]
 [-1.23086178  0.14220393]
 [ 1.94274882 -2.78370152]
 [-4.87677347 -3.42948516]
 [-2.71584922  2.02676493]
 [ 0.63083496  4.5000213 ]]",1514662190.13498,1,1.3267691003064477,6.371556135827087,[-0.03006086  0.70646751],123.83,"[[[3.568835569674496, -0.056345016109490054], [-1.2308617804757067, 0.14220392863468412], [1.9427488162509041, -2.7837015171668438], [-4.876773468961789, -3.42948515531683], [-2.7158492153960396, 2.026764934738379], [0.6308349577385268, 4.500021303653927]], [[0.46389654864983054, 2.3476246495513564]], [[-2.282924626347044, 1.3121944926018472]], [[1.289870331640067, 3.664893651859858]], [[2.082615621046033, -4.934070953173761]], [[1.5013654998046462, -2.7648935917330957]], [[-2.5935411471752228, 2.4797414963053988]], [[1.4769191818119987, -2.6162883336296874]], [[2.451763850185974, 1.5421437933920732]], [[-1.4375330144664134, -2.7052186188382543]], [[0.49742914026719115, 0.9720241658845864]], [[5.0, 5.0]], [[-5.0, -0.524741711350493]], [[5.0, 0.47431474118641137]], [[-5.0, -5.0]], [[5.0, 3.0208643227421]], [[5.0, -1.0319697353468724]], [[1.8081954532614004, 2.796476617826648]], [[3.5189824627359947, 0.6460767766366142]], [[2.0540541487481354, 5.0]], [[-4.127250413999464, -1.9555959398374]], [[-3.071326467095571, -4.367692771165762]], [[0.029499905237754476, 0.21709421979620558]], [[5.0, 1.7491805299521477]], [[1.8941670871912204, -0.4531329060234933]], [[-0.5443678446012884, 0.8597159853314955]], [[-5.0, 5.0]]]"
2,"[4.3184644095104225, -2.3405372506388433]",[58.90782307],[11.39782307],"[[ 0.72358887  2.22112187]
 [ 4.84931479  0.3749377 ]
 [-1.30652439 -3.27731137]
 [-3.53828985 -3.9377817 ]
 [ 2.28160057  3.42148328]
 [-3.23594104 -1.00632158]]",1911880532.9285824,2,2.2850681791093375,5.745093551248362,[ 0.70421685 -0.06386419],47.51,"[[[0.7235888721699135, 2.2211218701690703], [4.849314786511766, 0.37493770469712384], [-1.3065243925748167, -3.2773113722104457], [-3.5382898537959195, -3.937781696087834], [2.2816005664197387, 3.421483276155664], [-3.2359410438214438, -1.006321575076421]], [[0.4905229030862269, 2.224980751635921]], [[2.4211329874999796, -4.869630382020468]], [[-0.13223618545492716, -1.104475681423664]], [[2.3652291046686575, -3.1617967443841386]], [[1.3184098231212813, -2.07503186793058]], [[-3.9016035427729747, -1.2263170034711308]], [[1.7012394194637102, 2.320911383492848]], [[-0.9070251876973869, -2.999899767163004]], [[0.5398405972166207, -1.9520337056491144]], [[3.6953061528642697, -1.7980873002468365]], [[-4.348988940605758, 2.0409581261556173]], [[-0.37569549806008506, -0.6143168349724251]], [[4.721045312104159, -1.094683988464026]], [[-1.0249733182906262, 1.7183983602005983]], [[-0.3122821105556938, -5.0]], [[1.3282979270861246, 0.5932279096886571]], [[-5.0, 5.0]], [[-2.8233367358625916, 5.0]], [[-3.778041102343721, 0.5588058882561958]], [[-3.5944311295978357, 3.8256821426990726]], [[5.0, -5.0]], [[5.0, -2.723039272087562]], [[4.3184644095104225, -2.3405372506388433]], [[-1.482414435456879, 4.396818720796357]], [[0.29161795809430213, -1.470323684121185]], [[5.0, -4.49284571754767]]]"
3,"[-0.20712711606662026, -0.20323781423488294]",[55.42965655],[0.08965655],"[[ 4.393104   -0.48147783]
 [-0.25836188 -4.74494042]
 [-3.79331228 -2.51303291]
 [ 1.58285457  4.60323674]
 [ 2.31289124  3.16773251]
 [-3.17517496  0.80212008]]",1399816354.6767647,3,2.690338439018904,5.308589007175728,[-0.67832142 -0.1996999 ],55.34,"[[[4.39310399503257, -0.4814778338042789], [-0.2583618805796366, -4.744940418050793], [-3.793312282538188, -2.513032908871601], [1.582854569262036, 4.60323673834684], [2.3128912435197932, 3.1677325074231852], [-3.175174964739619, 0.8021200843908538]], [[3.7760893977079713, -0.059614993777904954]], [[-5.0, -0.05161733960595845]], [[-5.0, 1.3800666992698518]], [[5.0, 1.52815379015132]], [[-5.0, 2.904435939185038]], [[-5.0, 3.594286349060153]], [[1.774137220362202, -4.100185814753717]], [[-4.010424400042782, 0.13997444382785867]], [[-0.18361621924298022, -0.7026256133600375]], [[-4.8948440042173145, 3.8848184998767232]], [[-1.4509986945281979, 2.617274415864367]], [[5.0, -3.523663743248062]], [[0.9161911974872629, 0.6262537178987737]], [[2.804870736337291, -1.8838660128025742]], [[1.8334018728033168, -0.5803205460716404]], [[0.21756674766835848, 1.9370079436442325]], [[-1.794484832224564, -0.12468510599356028]], [[-2.6345015570506027, 4.051370170477699]], [[1.2378488866127262, 1.2270660327811482]], [[-0.20712711606662026, -0.20323781423488294]], [[1.4662250078583918, 0.1895828473749237]], [[-1.28512914395779, 3.2459382139117765]], [[-4.082374777384355, 0.08761015552903456]], [[-2.298688492660373, 3.4802657137085773]], [[-3.6767546700480493, 0.3826544546442085]], [[4.923518447311484, -5.0]]]"
4,"[-3.438172411730307, 1.938324999860468]",[-89.23882886],[1.09117114],"[[-3.427505    3.99482742]
 [ 4.5069369  -1.08922599]
 [ 1.63686689 -3.10012234]
 [ 2.96257368  0.34489468]
 [-2.66897305  2.33055379]
 [-0.81502601 -4.21677864]]",727218880.7718986,4,2.850873128939052,5.211987033275509,[-0.43917136  0.55419177],-90.33,"[[[-3.427504996348646, 3.9948274246746642], [4.5069368972382335, -1.0892259949142815], [1.636866888194187, -3.1001223393127524], [2.9625736774211306, 0.34489467888399883], [-2.6689730460131935, 2.3305537920008668], [-0.8150260130648235, -4.216778643720463]], [[4.450286815545276, -1.9039698853271103]], [[4.731250246782526, -1.8741270831986054]], [[4.131173020241013, 1.6104578284965785]], [[3.3355663048015756, -0.3438499176397712]], [[0.7977988050325866, 2.1374604153495693]], [[-2.3559142807166062, 0.4510732154455565]], [[2.578970827585461, 2.731719958390621]], [[1.843728772343644, 1.0281160000599905]], [[1.958955409145225, 0.9172614021986767]], [[1.627177785052487, -0.9776384247507093]], [[-1.290293434789465, 1.3065040164024353]], [[0.11528593005595976, -0.24003804981740515]], [[-5.0, 2.3520970030230415]], [[-5.0, -1.9077586247301168]], [[-1.5018899274092856, -1.0885043862045918]], [[-3.5174535527771744, -1.9207803075040433]], [[-1.5642333052146897, 3.6474999973985653]], [[-3.438172411730307, 1.938324999860468]], [[-0.9504100274749058, -1.7154921136457975]], [[-5.0, -1.0276100743207184]], [[-4.202843102822397, 2.201378259501376]], [[-5.0, -2.4808703824167457]], [[1.7511781007994927, -1.3052048244098877]], [[-0.019535764133411265, -1.1677130974938201]], [[4.922203396416304, 4.509624828659272]], [[1.780259417137147, -4.785632235056622]]]"
5,"[-0.8409127950607491, -3.161291065406732]",[69.02018803],[3.41018803],"[[-2.94669503 -4.64932887]
 [ 2.10547623  2.98875893]
 [ 4.61540833 -2.97779368]
 [-3.39585367  4.83284001]
 [-1.37645344 -0.46166997]
 [ 0.976549    0.83530646]]",689053811.7777184,5,0.9831829347989741,6.188507445643618,[-0.40073477 -0.58259046],65.61,"[[[-2.946695028395634, -4.649328868171197], [2.1054762252336907, 2.9887589253815827], [4.61540833396038, -2.9777936808008985], [-3.395853669889301, 4.832840009065736], [-1.376453436856187, -0.4616699733227012], [0.9765490018447878, 0.8353064625365025]], [[2.2956781293236075, 4.369191537628701]], [[-0.3155756642265999, 4.4562580596568]], [[0.9095031064982594, 0.7762693263170821]], [[3.7445502097101415, 0.6097940392223825]], [[0.11803136132510592, 2.219585564859099]], [[-0.06044449760130142, -2.371645452562699]], [[1.9841982303829493, -0.929771592385674]], [[-0.6105823592507548, 0.5327876607511642]], [[3.0434488785941123, -5.0]], [[-0.9422765416029485, -5.0]], [[-5.0, -5.0]], [[5.0, 5.0]], [[3.696126118778705, -3.8094932195886644]], [[-1.5131485110219351, 3.2247156359720255]], [[1.723383529111335, -5.0]], [[4.4169292182531334, -4.925670429458874]], [[3.456653850604246, -3.8076614725448263]], [[-2.109771042173933, 4.300087481300911]], [[-3.5529576492386394, -0.9636636934491429]], [[0.24233854263205662, 0.017413723597824986]], [[-0.8409127950607491, -3.161291065406732]], [[-0.5432506073560233, -5.0]], [[0.882857265494418, 0.8954610542948029]], [[2.9420530451868663, -1.3137987099275041]], [[1.0890897681364824, 4.664124369714041]], [[3.5867655244171446, -4.454011147188437]]]"
6,"[-1.7082174643625736, 0.4883456747018844]",[-289.48564337],[0.59435663],"[[-4.10050609  3.85422135]
 [ 2.64835998 -0.04075914]
 [ 3.69121822  2.01759567]
 [-1.70821746  0.48834567]
 [-0.87316818 -4.83274093]
 [ 1.53848369 -3.09407503]]",751773817.7262129,6,1.0996187823209722,5.182250016577716,[-0.61821562  0.3432338 ],-290.08,"[[[-4.100506094056488, 3.854221347437411], [2.6483599750575966, -0.04075914039270678], [3.691218219799847, 2.01759566932597], [-1.7082174643625736, 0.4883456747018844], [-0.8731681838799483, -4.832740932460899], [1.5384836909398638, -3.094075033605659]], [[4.050286951221911, -1.5549803959123705]], [[1.4688888993168872, -3.89183174808877]], [[4.481690731677565, 1.3832711455277262]], [[-4.058252337073348, -2.3243903349487045]], [[-4.7161016435791945, -0.7732752881812024]], [[-5.0, 0.6471154269217413]], [[-2.420808813457335, 5.0]], [[0.8191166986983722, 2.801149870326686]], [[1.126143961375349, -1.216619386413659]], [[5.0, -0.9357746423313725]], [[-1.2958953982302337, -1.7170403352831811]], [[-0.6573087547020301, -0.7915417295507143]], [[-5.0, -5.0]], [[-5.0, -4.028188610058582]], [[-0.9789740952104652, 1.5932743981976845]], [[-5.0, 0.2700104135303683]], [[-1.9294283306467133, -4.302249207104313]], [[0.5900457609999192, -0.23687009162766148]], [[-3.1839375058336747, 5.0]], [[3.1137152427420536, -5.0]], [[5.0, 3.391065812339075]], [[5.0, 4.5541810377155825]], [[-5.0, -4.665477786353059]], [[-5.0, 2.383709243134271]], [[-5.0, -2.7417080207809885]], [[5.0, -2.6951598981493183]]]"
7,"[-0.32272613971539776, 0.09367342377161325]",[28.53342059],[3.43342059],"[[ 3.89053355  3.36130097]
 [ 2.00395859 -0.17334406]
 [ 0.72999742  2.85796765]
 [-2.97667143 -3.28361197]
 [-3.99509491 -4.63016488]
 [-0.32272614  0.09367342]]",1471628751.797083,7,0.37115435833186317,5.845053921176271,[-0.68234872  0.18547298],25.1,"[[[3.8905335483028978, 3.3613009720276903], [2.003958590579069, -0.1733440554330965], [0.7299974191214584, 2.8579676503718785], [-2.9766714331713957, -3.2836119665300636], [-3.995094914247853, -4.630164877135639], [-0.32272613971539776, 0.09367342377161325]], [[-4.384799793322236, 3.1330328558330827]], [[-0.9141906973728098, -5.0]], [[0.12770426988792657, -1.0633366164886873]], [[1.545541432813661, 0.941960258671977]], [[5.0, -0.7285491436806161]], [[-2.878587965803972, -5.0]], [[4.15424553039432, -5.0]], [[2.3232237296925837, 5.0]], [[5.0, 1.6862957712221007]], [[-5.0, -1.622687461880098]], [[-2.4375226852164404, -1.2102932753825566]], [[0.25834993805815165, -0.34559314091621063]], [[-5.0, -2.9425790422949816]], [[-5.0, -0.3989166213711677]], [[3.0817582048487306, 2.032492345160804]], [[-1.8383316748431553, -3.9785507514829503]], [[-5.0, -5.0]], [[-3.912387854012814, -0.6043553506140577]], [[5.0, 5.0]], [[0.8170914334953893, -0.6780402063824682]], [[-1.8482661846425132, 0.15644768582879318]], [[3.6509816260604984, 0.9785984933462344]], [[-1.2608426370128958, -3.0563908802931]], [[-0.5775527288242985, 4.34246594642347]], [[-4.517560805660532, -1.6963632176778998]], [[-1.5693861639513242, 0.5459981731944887]]]"
8,"[0.34321573813938544, -0.4774894768554409]",[-78.08359011],[9.47640989],"[[ 4.67775015  4.48447093]
 [-3.08165847 -3.58325672]
 [-0.03686265 -2.2564042 ]
 [ 0.95919406  0.2082726 ]
 [-4.07986595  2.86560689]
 [ 2.46081213 -0.49563337]]",1449279853.5701933,8,1.0157005099028058,5.95871444987837,[0.07234558 0.70339613],-87.56,"[[[4.677750154172777, 4.484470928820345], [-3.081658473489979, -3.5832567213538065], [-0.036862647495095935, -2.2564041967808417], [0.9591940554991414, 0.20827259832476486], [-4.07986594983332, 2.8656068851454277], [2.4608121261528098, -0.49563336842689143]], [[2.1807466637595017, -0.46359825983670166]], [[-2.288071188488648, 2.1856191363114865]], [[4.248306920598511, -5.0]], [[-3.3439568464634064, 2.544295509109624]], [[-1.771271673283056, 1.3524059436443658]], [[2.85372047777596, -2.6916532507727675]], [[0.5473910993361537, -5.0]], [[0.34321573813938544, -0.4774894768554409]], [[3.346087923561207, 0.5854974862961759]], [[-5.0, -1.5228512956996116]], [[5.0, -4.42429497040463]], [[-5.0, 2.3132655564865163]], [[-5.0, -0.10395497126381821]], [[-5.0, 1.7007662174058915]], [[0.8290936198385547, 3.258079255025308]], [[4.7178220712873244, -3.0340827225663354]], [[-2.4854035085350845, 0.7014805274472904]], [[-3.747821491869553, 3.3835218636188937]], [[2.1215757994106754, -2.731124958459381]], [[2.733598045785036, -2.4240178818900904]], [[-1.0104383552872038, 5.0]], [[3.8184346507062266, 1.2624226744139975]], [[-0.44688279954272886, 3.1462660696039446]], [[-0.5120422687441026, 4.8419164628903335]], [[-4.97385827372574, 2.7026688235298018]], [[-2.55349620358277, 4.424249813196129]]]"
9,"[-0.6851735982317061, -0.1423039450093396]",[69.33182018],[9.26182018],"[[ 1.75986018  4.56156142]
 [ 4.92926674 -1.83225555]
 [ 1.26353713 -0.1481383 ]
 [-4.90993765  0.19246908]
 [-0.70980799 -4.48303085]
 [-1.80575807  1.71390482]]",959351178.7148169,9,1.9167780592202939,5.789363435127741,[-0.64858395 -0.28167155],60.07,"[[[1.7598601768786164, 4.561561423496984], [4.929266736413995, -1.8322555547100383], [1.2635371263310642, -0.14813829538749168], [-4.909937654999038, 0.1924690778797311], [-0.709807989090482, -4.483030851268426], [-1.8057580741680002, 1.7139048182890857]], [[3.644963048885298, 4.26110504191711]], [[-3.133867760623138, -0.9323692043984657]], [[5.0, 1.2306640215217113]], [[1.2628999315182408, -0.371661441919785]], [[4.6877756040973955, -4.226607327515689]], [[-1.5928381816189199, -1.0846163132997177]], [[-2.9010456024399933, -0.7122289199655615]], [[-4.677119523587648, 2.317862909631517]], [[-2.856810744324247, 0.8996032880816448]], [[-3.8989647084725134, 5.0]], [[-0.6851735982317061, -0.1423039450093396]], [[-3.137853556892315, 4.0861190214181216]], [[-2.894188945996014, 5.0]], [[2.685060778052992, -2.021071844574852]], [[-4.6167490579097485, 4.497161596413917]], [[0.9108640018234132, 0.6037458200125508]], [[-5.0, -0.037994850189940754]], [[-1.617034080552616, 2.1286181655957246]], [[-1.2333182732469807, 3.6038032121780295]], [[1.9626346217919197, -3.311946703442528]], [[-2.3801052502335094, -2.715585104329294]], [[-0.18321684711505135, 1.6859843053950831]], [[5.0, -0.4326478474144505]], [[1.9117257815507411, -2.4077672052650936]], [[2.7625645162876333, -3.219370854552034]], [[1.2632192769086996, -0.2596374806376374]]]"
